partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,candidate,role,candidate_scope,fill_delay_min,prefill_bar_count,immediate_fill,prefill_last_close_location_R,prefill_last_close_distance_H_R,prefill_min_low_location_R,prefill_max_close_location_R,prefill_close_range_R,prefill_realized_close_path_R,prefill_signed_efficiency,prefill_upstep_fraction,prefill_upper80_close_fraction,prefill_upper90_close_fraction,prefill_nearH10_high_fraction,prefill_nearH05_high_fraction,prefill_nearH05_episode_count,prefill_last30_range_R,prefill_last30_efficiency,prefill_last30_upstep_fraction,prefill_last60_range_R,prefill_last60_efficiency,prefill_last60_upstep_fraction,stress_outcome,raw_outcome,btc_ref6_return_pct,btc_ref6_range_pct,btc_ref6_close_location,btc_last60_return_pct,btc_last120_return_pct,btc_prefill_return_pct,btc_prefill_close_vs_refH_pct,eth_ref6_return_pct,eth_ref6_range_pct,eth_ref6_close_location,eth_last60_return_pct,eth_last120_return_pct,eth_prefill_return_pct,eth_prefill_close_vs_refH_pct,market_ref6_mean_return_pct,market_ref6_breadth,market_last60_mean_return_pct,market_last120_mean_return_pct,market_last60_breadth,market_last120_breadth,market_prefill_mean_return_pct,market_prefill_breadth
development,0.0,360,15,2022-01-01 15:00:00+00:00,E0_RESTING_H,0.4,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,173.37,1.0,2022-01-01 15:50:00+00:00,173.3,FAILED_BREAK,-0.0004037607429197,-0.2018803714598505,-0.0009037607429197,-0.4518803714598505,False,False,True,2022-01-01 15:45:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,25.0,5.0,0.0,0.9087719298245645,0.0912280701754355,0.6315789473684164,0.9087719298245645,0.143859649122816,0.2350877192982616,0.8805970149253199,0.8,0.4,0.2,0.2,0.0,0.0,,,,,,,FAIL,FAIL,-0.004447908031574688,0.012655726382031789,0.352232721882525,-0.0020497579541141064,-0.0032546172239096283,0.0012643575247499594,-0.006877228623818454,-0.0067132852098102935,0.016190476190476106,0.4034090909090909,-0.003413631877821066,-0.005229542744715876,0.002410714285714155,-0.007179033684379776,-0.005580596620692491,0.0,-0.0027316949159675863,-0.004242079984312752,0.0,0.0,0.0018375359052320572,2.0
development,0.0,360,15,2022-01-02 15:00:00+00:00,E0_RESTING_H,0.4,176.75,174.66,2.0900000000000034,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,176.75,1.0,2022-01-02 16:20:00+00:00,176.53,FAILED_BREAK,-0.0012446958981612,-0.622347949080615,-0.0017446958981612,-0.872347949080615,False,False,True,2022-01-02 16:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,70.0,14.0,0.0,0.9282296650717676,0.0717703349282322,0.2009569377990503,0.9282296650717676,0.6937799043062135,1.2009569377990368,0.5059760956175244,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,1.0,0.5502392344497626,1.0,1.0,0.6555023923444987,0.5789473684210555,0.75,FAIL,FAIL,-0.00214270463718913,0.010560982547303957,0.21652965650311776,-0.0004854340094049281,-0.0035825191340532747,0.006663100559963775,-0.0015978947368421315,0.0024297341726473576,0.010945966124834726,0.5369062119366593,0.0018272158999839139,-0.0006395497569711139,0.010465996842868641,0.005369768521589213,0.00014351476772911376,1.0,0.0006708909452894929,-0.0021110344455121943,1.0,0.0,0.008564548701416208,2.0
development,0.0,360,15,2022-01-04 15:00:00+00:00,E0_RESTING_H,0.4,173.43,167.32,6.110000000000014,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,173.43,1.0,2022-01-04 15:20:00+00:00,173.09,FAILED_BREAK,-0.0019604451363662,-0.9802225681831422,-0.0024604451363662,-1.2302225681831422,False,False,True,2022-01-04 15:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,FAIL,FAIL,0.017792155538007837,0.024455948997748694,0.8924916150893851,0.007880785304371418,0.014457566739232597,,,0.027968892202619777,0.034146051870818525,0.8567541008390636,0.002382905177967354,0.011337027939260835,,,0.022880523870313807,2.0,0.005131845241169386,0.012897297339246716,2.0,2.0,,
development,0.0,360,15,2022-01-06 15:00:00+00:00,E0_RESTING_H,0.4,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,151.09,1.0,2022-01-06 17:15:00+00:00,150.76,FAILED_BREAK,-0.0021841286650341,-1.0920643325170731,-0.0026841286650341,-1.3420643325170731,False,False,True,2022-01-06 17:10:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,125.0,25.0,0.0,0.9117043121149884,0.0882956878850115,0.2114989733059548,0.9117043121149884,0.5831622176591378,1.2813141683778355,0.3397435897435868,0.6,0.2,0.04,0.04,0.0,0.0,0.3080082135523611,1.0,1.0,0.3942505133470196,0.3310344827586228,0.75,FAIL,FAIL,-0.005755399359953839,0.01969289457748009,0.4940206430181463,-0.007441480374573817,-0.005726298673016106,0.0029107922429338906,-0.006971289695533511,-0.0037826058865335632,0.038774475411092635,0.7592944575382022,-0.0031033813926424347,0.009727638041375108,0.004867004890588111,-0.004410252815552185,-0.004769002623243701,0.0,-0.005272430883608126,0.0020006696841795013,0.0,1.0,0.003888898566761001,2.0
development,0.0,360,15,2022-01-09 15:00:00+00:00,E0_RESTING_H,0.4,141.07,137.8,3.269999999999982,2022-01-09 16:05:00+00:00,,2022-01-09 16:05:00+00:00,141.07,1.0,2022-01-09 16:50:00+00:00,142.378,TARGET,0.0092719926277733,4.63599631388667,0.0087719926277733,4.38599631388667,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,65.0,13.0,0.0,0.9755351681957234,0.0244648318042766,0.0091743119266059,0.9755351681957234,0.7889908256880817,1.685015290519893,0.2196007259528137,0.4615384615384615,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,1.0,0.5382262996941898,0.4918032786885263,0.6666666666666666,0.9877675840978616,0.2352941176470579,0.5,WIN,WIN,-0.0030354721749584757,0.014447043039426703,0.21831666666666327,0.001529870947282852,-0.0049461598378243155,0.0027586635326206643,-0.00843928571428565,-0.0031096989772759764,0.01641721159279895,0.2869787568843451,0.0037632003734029418,-0.003616485252526447,0.0020763703883102114,-0.009518033833386563,-0.003072585576117226,0.0,0.002646535660342897,-0.004281322545175381,2.0,0.0,0.002417516960465438,2.0
development,0.0,360,15,2022-01-11 15:00:00+00:00,E0_RESTING_H,0.4,137.73,134.23,3.5,2022-01-11 15:05:00+00:00,,2022-01-11 15:05:00+00:00,137.73,1.0,2022-01-11 16:15:00+00:00,139.13,TARGET,0.0101648152181805,5.082407609090289,0.0096648152181805,4.832407609090289,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,5.0,1.0,0.0,0.9714285714285732,0.0285714285714269,0.5628571428571425,0.9714285714285732,0.0,0.3457142857142879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,WIN,WIN,-0.008654856252635179,0.02114518327675726,0.41087966908714935,-0.001805149833912334,-0.004311814376175782,0.007468249307218233,-0.004968791970758724,0.0022758585169257994,0.019491969077495622,0.6604053386060338,0.0005462918033736219,-0.0020256994592792177,0.007502593469274954,0.000877416884691451,-0.00318949886785469,1.0,-0.000629429015269356,-0.0031687569177275,1.0,0.0,0.007485421388246594,2.0
development,0.0,360,15,2022-01-12 15:00:00+00:00,E0_RESTING_H,0.4,147.67,139.5,8.169999999999987,2022-01-12 15:15:00+00:00,2022-01-12 15:25:00+00:00,2022-01-12 15:15:00+00:00,147.67,1.0,2022-01-12 15:35:00+00:00,147.23,FAILED_BREAK,-0.002979616712941,-1.4898083564705011,-0.003479616712941,-1.7398083564705011,False,False,True,2022-01-12 15:30:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,15.0,3.0,0.0,0.9265605875153003,0.0734394124846995,0.8249694002448004,0.9265605875153003,0.064871481028152,0.1199510403916792,0.0816326530612067,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.0,,,,,,,FAIL,FAIL,0.02877153639300012,0.0350737385576526,0.822860005725737,-0.0014149383673447424,0.013273236372566277,0.0013028392722174154,-0.0048798045356600595,0.044062097493312136,0.045870933877410563,0.937742435996899,0.0015087659898009864,0.017525701646655678,0.0023486987260088465,-0.000502705739716669,0.03641681694315613,2.0,4.691381122812199e-05,0.015399469009610978,1.0,2.0,0.001825768999113131,2.0
development,0.0,360,15,2022-01-14 15:00:00+00:00,E0_RESTING_H,0.4,147.32,141.91,5.409999999999997,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,147.32,1.0,2022-01-14 15:15:00+00:00,147.37,FAILED_BREAK,0.0003393972305185,0.1696986152592838,-0.0001606027694814,-0.0803013847407161,True,False,True,2022-01-14 15:10:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,5.0,1.0,0.0,0.7837338262476916,0.2162661737523083,0.6894639556377065,0.7837338262476916,0.0,0.0591497227356734,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,FAIL,WIN,0.010341242657131877,0.03276276752476244,0.9090902629708575,0.01909617784561446,0.0217876213704844,-0.0014288012902055058,-0.00439416804030357,0.00603869556803982,0.031438053570174686,0.9141497523550537,0.02088313857988422,0.020259851913690063,-0.003053211367716524,-0.005764013434140236,0.008189969112585849,2.0,0.01998965821274934,0.021023736642087232,2.0,2.0,-0.002241006328961015,0.0
development,0.0,360,15,2022-01-15 15:00:00+00:00,E0_RESTING_H,0.4,146.8,143.8,3.0,2022-01-15 15:40:00+00:00,2022-01-15 15:40:00+00:00,2022-01-15 15:40:00+00:00,146.8,1.0,2022-01-15 15:50:00+00:00,148.0,TARGET,0.0081743869209809,4.087193460490468,0.0076743869209809,3.837193460490468,True,True,True,,A20_Z1_R360_H15,CANDIDATE,A17,40.0,8.0,0.0,0.8833333333333258,0.1166666666666742,0.6699999999999969,0.9099999999999966,0.1733333333333367,0.5266666666666803,0.0,0.625,0.625,0.125,0.375,0.125,1.0,0.3100000000000023,0.2473118279569688,0.6666666666666666,,,,WIN,WIN,0.004515435495624054,0.017824860138005057,0.8208770926484382,0.006364536356688211,0.010824358506875686,-0.00024512188906022914,-0.0034267898383371076,0.00836970474967913,0.030034806467652744,0.8065223895482189,0.01123166675753784,0.01759359168967989,0.0022585331516122853,-0.0035349895469138914,0.006442570122651592,2.0,0.008798101557113025,0.014208975098277787,2.0,2.0,0.001006705631276028,1.0
development,0.0,360,15,2022-01-18 15:00:00+00:00,E0_RESTING_H,0.4,138.23,134.24,3.9899999999999807,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,138.23,1.0,2022-01-18 21:15:00+00:00,139.826,TARGET,0.0115459741011358,5.772987050567946,0.0110459741011358,5.522987050567946,True,True,True,,A20_Z1_R360_H15,CANDIDATE,A17,370.0,74.0,0.0,0.8646616541353397,0.1353383458646603,0.3258145363408494,0.8646616541353397,0.4586466165413516,5.203007518797001,0.0761078998073212,0.527027027027027,0.054054054054054,0.0,0.0,0.0,0.0,0.3433583959899706,0.3304347826086901,0.6666666666666666,0.3433583959899706,0.1074766355140205,0.6666666666666666,WIN,WIN,-0.0064368272445041175,0.018701056018470368,0.23420645161290585,-0.004774458985905894,-0.00841761516376649,0.009004170192497885,-0.005179017485428705,-0.01172913649342866,0.029707732861293322,0.2063903281519853,-0.006249223228882106,-0.013791947476114674,0.0032420679968443444,-0.019865910586171376,-0.009082981868966389,0.0,-0.005511841107394,-0.011104781319940582,0.0,0.0,0.0061231190946711145,2.0
development,0.0,360,15,2022-01-19 15:00:00+00:00,E0_RESTING_H,0.4,138.55,133.25,5.300000000000011,2022-01-19 15:00:00+00:00,,2022-01-19 15:00:00+00:00,138.55,1.0,2022-01-20 02:55:00+00:00,136.21,TIME,-0.0168892096715986,-8.44460483579934,-0.0173892096715986,-8.69460483579934,False,False,False,,A20_Z1_R360_H15,CANDIDATE,A17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,FAIL,FAIL,0.02691109200111108,0.029403905594666522,0.9447460286958733,0.007226488953134824,0.009515006783022084,,,0.030848757167674545,0.034940113975095326,0.9712601994560284,0.011123923000544433,0.012271689497716842,,,0.028879924584392813,2.0,0.009175205976839629,0.010893348140369463,2.0,2.0,,
development,0.0,360,15,2022-01-20 15:00:00+00:00,E0_RESTING_H,0.4,141.9,135.58,6.319999999999993,2022-01-20 15:00:00+00:00,2022-01-20 15:00:00+00:00,2022-01-20 15:00:00+00:00,141.9,1.0,2022-01-20 15:20:00+00:00,141.84,FAILED_BREAK,-0.0004228329809725,-0.2114164904862825,-0.0009228329809725,-0.4614164904862825,False,False,True,2022-01-20 15:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,FAIL,FAIL,0.023461406549897923,0.02880463031445682,0.9203256502089864,0.013536204094330095,0.021929133577186066,,,0.027891743353783305,0.03267441535147305,0.9608981067453133,0.011403437065729216,0.026252153384801913,,,0.025676574951840614,2.0,0.012469820580029656,0.02409064348099399,2.0,2.0,,
development,0.0,360,15,2022-01-21 15:00:00+00:00,E0_RESTING_H,0.4,125.69,115.5,10.189999999999998,2022-01-21 17:00:00+00:00,2022-01-21 17:05:00+00:00,2022-01-21 17:00:00+00:00,125.69,1.0,2022-01-21 17:15:00+00:00,125.22,FAILED_BREAK,-0.0037393587397565,-1.869679369878252,-0.0042393587397565,-2.119679369878252,False,False,True,2022-01-21 17:10:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,120.0,24.0,0.0,0.8469087340529928,0.1530912659470071,0.1570166830225706,0.906771344455348,0.6977428851815506,1.5250245338567203,0.3449163449163454,0.5416666666666666,0.125,0.0416666666666666,0.125,0.0,0.0,0.2492639842983309,-0.0107526881720434,0.3333333333333333,0.4023552502453381,0.3040103492884872,0.4166666666666667,FAIL,FAIL,-0.018640878100276814,0.0396196529974038,0.5014193344898257,-0.0019368192615558666,0.006337547361311424,0.007624539525923346,-0.01188741383712022,-0.03716531836709269,0.05936786875819822,0.34079903147699814,-0.004877891778034438,0.002092306362627916,0.00939392305895459,-0.028621327661634832,-0.027903098233684753,0.0,-0.003407355519795152,0.00421492686196967,0.0,2.0,0.008509231292438968,2.0
