partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,candidate,scope
development,0,360,15,2022-01-01 15:00:00+00:00,E0_RESTING_H,0.4,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,173.37,1.0,2022-01-01 15:50:00+00:00,173.3,FAILED_BREAK,-0.000403760742919701,-0.2018803714598505,-0.000903760742919701,-0.4518803714598505,False,False,True,2022-01-01 15:45:00+00:00,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-02 15:00:00+00:00,E0_RESTING_H,0.4,176.75,174.66,2.0900000000000034,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,176.75,1.0,2022-01-02 16:20:00+00:00,176.53,FAILED_BREAK,-0.00124469589816123,-0.622347949080615,-0.00174469589816123,-0.872347949080615,False,False,True,2022-01-02 16:15:00+00:00,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-04 15:00:00+00:00,E0_RESTING_H,0.4,173.43,167.32,6.110000000000014,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,173.43,1.0,2022-01-04 15:20:00+00:00,173.09,FAILED_BREAK,-0.0019604451363662845,-0.9802225681831422,-0.0024604451363662845,-1.2302225681831422,False,False,True,2022-01-04 15:15:00+00:00,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-06 15:00:00+00:00,E0_RESTING_H,0.4,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,151.09,1.0,2022-01-06 17:15:00+00:00,150.76,FAILED_BREAK,-0.0021841286650341463,-1.0920643325170731,-0.0026841286650341463,-1.3420643325170731,False,False,True,2022-01-06 17:10:00+00:00,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-09 15:00:00+00:00,E0_RESTING_H,0.4,141.07,137.8,3.269999999999982,2022-01-09 16:05:00+00:00,,2022-01-09 16:05:00+00:00,141.07,1.0,2022-01-09 16:50:00+00:00,142.378,TARGET,0.00927199262777334,4.63599631388667,0.00877199262777334,4.38599631388667,True,True,False,,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-11 15:00:00+00:00,E0_RESTING_H,0.4,137.73,134.23,3.5,2022-01-11 15:05:00+00:00,,2022-01-11 15:05:00+00:00,137.73,1.0,2022-01-11 16:15:00+00:00,139.13,TARGET,0.010164815218180578,5.082407609090289,0.009664815218180578,4.832407609090289,True,True,False,,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-12 15:00:00+00:00,E0_RESTING_H,0.4,147.67,139.5,8.169999999999987,2022-01-12 15:15:00+00:00,2022-01-12 15:25:00+00:00,2022-01-12 15:15:00+00:00,147.67,1.0,2022-01-12 15:35:00+00:00,147.23,FAILED_BREAK,-0.0029796167129410023,-1.4898083564705011,-0.0034796167129410023,-1.7398083564705011,False,False,True,2022-01-12 15:30:00+00:00,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-14 15:00:00+00:00,E0_RESTING_H,0.4,147.32,141.91,5.409999999999997,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,147.32,1.0,2022-01-14 15:15:00+00:00,147.37,FAILED_BREAK,0.00033939723051856774,0.16969861525928387,-0.00016060276948143227,-0.08030138474071613,True,False,True,2022-01-14 15:10:00+00:00,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-15 15:00:00+00:00,E0_RESTING_H,0.4,146.8,143.8,3.0,2022-01-15 15:40:00+00:00,2022-01-15 15:40:00+00:00,2022-01-15 15:40:00+00:00,146.8,1.0,2022-01-15 15:50:00+00:00,148.0,TARGET,0.008174386920980936,4.087193460490468,0.007674386920980936,3.837193460490468,True,True,True,,BASE_E0_E40,BASELINE
development,0,360,15,2022-01-18 15:00:00+00:00,E0_RESTING_H,0.4,138.23,134.24,3.9899999999999807,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,138.23,1.0,2022-01-18 21:15:00+00:00,139.826,TARGET,0.011545974101135892,5.772987050567946,0.011045974101135891,5.522987050567946,True,True,True,,BASE_E0_E40,BASELINE
