feature,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_win_n,external_fail_n,external_win_median,external_fail_median,external_gap,external_effect_IQR,reference_win_n,reference_fail_n,reference_win_median,reference_fail_median,reference_gap,reference_effect_IQR,counts_ok,dev_effect_ok,block_ok,oos_sign_ok,oos_effect_ok,replicated_directional,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR
realized_close_path_R,242,359,4.592306557992363,4.202380952380903,0.3899256056114604,0.2515361406609532,6,5,114,167,4.223404589036728,3.9948320413436935,0.2285725476930347,0.14751075119388946,148,189,4.371473354231984,4.251764705882318,0.11970864834966655,0.07817912428496318,True,False,True,True,False,False,0.8185761416723771,0.5160854224513551,0.8146910279263331,0.535158115017946,-0.07455522574601048,0.05011222231247022,0.18813521027816016,0.12680266121934083,0.39491405669668556,0.24909185894688685,0.2850950662188554,0.212803856212907
mean_bar_range_R,242,359,0.1305220036324476,0.1202799279190738,0.010242075713373794,0.23433935934330433,6,5,114,167,0.12322814164937576,0.11317826035781545,0.010049881291560314,0.23969565152599515,148,189,0.12332346293157756,0.11840277777777806,0.004920685153799495,0.1161307023473457,True,False,True,True,True,False,0.027153044033926182,0.5637085114838317,0.021625868904094736,0.5221713470007491,-0.0006870214848944817,0.016910179488707412,0.008043042103091952,0.19075819835248944,0.01092275011895047,0.2447335339964166,0.008313262519768327,0.2157203067583269
first_half_range_fraction,242,359,0.6739968075691797,0.6129032258064516,0.061093581762728055,0.1878352184220529,6,4,114,167,0.659343742811425,0.7273584905660394,-0.06801474775461436,0.1931251821156158,148,189,0.5737342847434594,0.5895522388059733,-0.01581795406251385,0.04682696578924583,True,False,True,False,False,False,-0.028615141493080753,0.07385516247987055,0.10502910894395734,0.3372713951226993,0.05803581002842895,0.1401294468058955,0.16726405670343814,0.6874816967395457,-0.050410160024465966,0.16111846698751106,0.05630189701964239,0.1906447117765083
range_width_pct,242,359,0.02895344500362225,0.0327879889584596,-0.003834543954837351,0.1767506714259715,6,4,114,167,0.05010427722395358,0.05873723741344913,-0.008632960189495546,0.24223174396727715,148,189,0.023667651093992756,0.02432614143389762,-0.0006584903399048624,0.041529954317879404,True,False,True,True,False,False,-0.0048896853670682555,0.16858829345909748,0.001902252170026781,0.09631160814241244,0.0008499878102289256,0.04200480135983483,-0.002569173322077376,0.11081150087341032,-0.010173628353247303,0.45378600460637275,-0.005919114312771843,0.42121944985958387
low_time_fraction,242,359,0.5422535211267605,0.43661971830985913,0.10563380281690138,0.1612903225806451,6,4,114,167,0.4436619718309859,0.38028169014084506,0.06338028169014082,0.10315186246418336,148,189,0.6338028169014085,0.5211267605633803,0.11267605633802824,0.17344173441734428,True,False,True,True,True,False,0.16197183098591547,0.2839506172839506,0.04929577464788737,0.08917197452229307,0.035211267605633756,0.05076142131979689,-0.04929577464788737,0.06982543640897762,0.06338028169014082,0.10619469026548667,-0.07746478873239437,0.10918114143920597
open_location_R,242,359,0.5055289905625642,0.4181299385425804,0.08739905201998377,0.161037565161386,6,4,114,167,0.3768694597407752,0.47389358528095493,-0.09702412554017975,0.18492872284944545,148,189,0.4043165858905714,0.4871794871794806,-0.08286290128890922,0.1580871644973647,True,False,True,False,True,False,0.15234569698146033,0.24146365800666764,-0.01640846853277489,0.03271828600309249,0.21308837947452708,0.4403630096343372,-0.06410667197511871,0.11794272160436364,0.03563197600405349,0.06575944400881176,0.05965641735158783,0.1360026586915713
first_half_return_R,242,359,0.012697794865279784,0.07338129496402641,-0.06068350009874663,0.12721532257340035,6,5,114,167,0.0339079888712249,0.02855288773523954,0.005355101135985359,0.00987319181045239,148,189,0.0033898305084747067,0.019480519480520136,-0.01609068897204543,0.037502775307387916,True,False,True,False,False,False,-0.007181196891347094,0.011579799071139478,-0.0790552584670238,0.15898328150759225,-0.1035646144039688,0.2696704348458564,-0.07206972282877112,0.1577053683577214,-0.037909258665598924,0.08886820219007632,0.06501838674006727,0.13383290520011193
signed_path_efficiency,242,359,0.02615804121736555,0.041923444145473374,-0.015765402928107825,0.08640123348696527,6,6,114,167,0.06336833614975984,0.022793203481143127,0.04057513266861672,0.21823292760348523,148,189,0.02370734398263116,0.04059539918809178,-0.016888055205460623,0.09377291286194332,True,False,True,False,False,False,-0.05274032986872745,0.30385464733222617,-0.01618465961767418,0.0900898068522506,-0.03858069738904371,0.23522194415646283,-0.00545505115381251,0.02812883549073626,-0.011269537116932606,0.07066660528692298,-0.017575632476254342,0.1047663339596366
second_half_range_fraction,242,359,0.8604103907044042,0.8396501457725957,0.020760244931808502,0.0814045968415932,6,3,114,167,0.7911081563460394,0.7692734331669446,0.02183472317909474,0.07783497330150861,148,189,0.9406742861113064,0.8506944444444419,0.08997984166686457,0.369193269778706,True,False,False,True,False,False,0.06110290201199353,0.2525219872550047,0.06683885316616567,0.2671961469689789,-0.021863356319742677,0.08553476399280742,-0.08328743882603185,0.3108806490059644,0.047978492170289044,0.2217776359048265,-0.043972003069086774,0.19336582411074765
net_return_R,242,359,0.1396563988743131,0.19788425637834348,-0.05822785750403037,0.07786362045903612,6,6,114,167,0.3105579585918047,0.11428571428571409,0.19627224430609058,0.2461511637013184,148,189,0.12276295133437694,0.15129151291512744,-0.028528561580750497,0.03503656012642667,True,False,True,False,False,False,-0.2390054352668648,0.320249974099906,-0.0660572076612933,0.0923660605958308,-0.19816652394151346,0.30047362001969247,-0.05234073675481651,0.06624906260376057,-0.02303328377474867,0.03332407042784032,-0.03579072149292073,0.05360936950095812
