role,partition,ref_min,hour,parent_entry_ts,outcome_class,recovery_win,snapshot_min,close_R,running_mfe_from_entry_R,running_mae_from_entry_R,closes_above_H,closes_le_H
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,REC_TARGET,True,5,0.3192982456140345,0.13684210526316334,0.038596491228065063,1,0
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,REC_TARGET,True,10,0.2561403508771899,0.19298245614035525,0.038596491228065063,2,0
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,REC_TARGET,True,15,0.2140350877192935,0.19298245614035525,0.07017543859648738,3,0
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,REC_TARGET,True,5,0.2248803827751187,0.2153110047846832,0.052631578947374864,1,0
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,REC_TARGET,True,10,0.2870813397129155,0.3349282296650658,0.052631578947374864,2,0
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,REC_TARGET,True,15,0.5789473684210555,0.5598086124401845,0.052631578947374864,3,0
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,REC_TARGET,True,5,0.16427104722792243,0.010266940451747704,0.13347022587269097,1,0
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,REC_TARGET,True,10,0.2874743326488715,0.0903490759753588,0.13347022587269097,2,0
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,REC_TARGET,True,15,0.3264887063655035,0.11704312114989582,0.13347022587269097,3,0
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,REC_TARGET,True,30,0.22792607802874418,0.11704312114989582,0.13347022587269097,6,0
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,REC_TARGET,True,5,-0.008567931456547526,0.024479804161565352,0.09547123623011045,0,1
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,REC_TARGET,True,10,0.10159118727050352,0.05507955936352379,0.09547123623011045,1,1
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,REC_TARGET,True,15,0.17747858017136098,0.16891064871480999,0.09547123623011045,2,1
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,REC_TARGET,True,30,0.4320685434516532,0.4259485924112601,0.09547123623011045,5,1
CENTRAL,development,360,15,2022-01-20 15:00:00+00:00,REC_FAIL,False,5,0.14873417721518967,0.10443037974683501,0.025316455696202018,1,0
CENTRAL,development,360,15,2022-01-20 15:00:00+00:00,REC_FAIL,False,10,0.09810126582278564,0.10443037974683501,0.04113924050633222,2,0
CENTRAL,development,360,15,2022-01-20 15:00:00+00:00,REC_FAIL,False,15,0.10443037974683501,0.10443037974683501,0.04113924050633222,3,0
CENTRAL,development,360,15,2022-01-20 15:00:00+00:00,REC_FAIL,False,30,0.1740506329113917,0.10443037974683501,0.04113924050633222,6,0
CENTRAL,development,360,15,2022-01-20 15:00:00+00:00,REC_FAIL,False,60,0.12974683544303703,0.16930379746835353,0.1250000000000034,12,0
CENTRAL,development,360,15,2022-02-01 16:30:00+00:00,REC_FAIL,False,5,0.24828532235939457,0.19753086419753038,0.08504801097393745,1,0
CENTRAL,development,360,15,2022-02-01 16:30:00+00:00,REC_FAIL,False,10,0.24828532235939457,0.19753086419753038,0.08504801097393745,2,0
CENTRAL,development,360,15,2022-02-01 16:30:00+00:00,REC_FAIL,False,15,0.19615912208504682,0.19753086419753038,0.08504801097393745,3,0
CENTRAL,development,360,15,2022-02-01 16:30:00+00:00,REC_FAIL,False,30,0.1385459533607668,0.19753086419753038,0.1165980795610436,6,0
CENTRAL,development,360,15,2022-02-20 17:40:00+00:00,REC_TARGET,True,5,0.23822714681440432,0.21883656509695074,0.08033240997230091,1,0
CENTRAL,development,360,15,2022-02-20 17:40:00+00:00,REC_TARGET,True,10,0.20775623268698065,0.21883656509695074,0.08033240997230091,2,0
CENTRAL,development,360,15,2022-02-20 17:40:00+00:00,REC_TARGET,True,15,0.2520775623268689,0.21883656509695074,0.08033240997230091,3,0
CENTRAL,development,360,15,2022-02-20 17:40:00+00:00,REC_TARGET,True,30,0.38781163434902816,0.33518005540166035,0.08033240997230091,6,0
CENTRAL,development,360,15,2022-03-15 15:15:00+00:00,REC_TARGET,True,5,0.15789473684210328,0.06315789473684431,0.010526315789471559,1,0
CENTRAL,development,360,15,2022-03-15 15:15:00+00:00,REC_TARGET,True,10,0.04736842105263323,0.11578947368420958,0.06842105263157634,2,0
CENTRAL,development,360,15,2022-03-15 15:15:00+00:00,REC_TARGET,True,15,0.06315789473683683,0.11578947368420958,0.09473684210526646,3,0
CENTRAL,development,360,15,2022-03-15 15:15:00+00:00,REC_TARGET,True,30,0.03684210526315419,0.11578947368420958,0.27368421052631287,6,0
CENTRAL,development,360,15,2022-03-30 15:15:00+00:00,REC_TARGET,True,5,0.3517534537725827,0.34325185972369876,0.04038257173219932,1,0
CENTRAL,development,360,15,2022-03-30 15:15:00+00:00,REC_TARGET,True,10,0.4548352816153032,0.4420828905419764,0.04038257173219932,2,0
CENTRAL,development,360,15,2022-04-10 15:05:00+00:00,REC_FAIL,False,5,0.0700389105058335,0.02723735408560591,0.062256809338519896,1,0
CENTRAL,development,360,15,2022-04-10 15:05:00+00:00,REC_FAIL,False,10,0.08949416342412027,0.0894941634241258,0.0700389105058335,2,0
CENTRAL,development,360,15,2022-04-10 15:05:00+00:00,REC_FAIL,False,15,0.05836575875486033,0.0894941634241258,0.0700389105058335,3,0
CENTRAL,development,360,15,2022-04-10 15:05:00+00:00,REC_FAIL,False,30,-0.062256809338525426,0.16731517509727845,0.12451361867703979,5,1
CENTRAL,development,360,15,2022-04-17 15:15:00+00:00,REC_FAIL,False,5,0.07829181494661874,0.021352313167260578,0.03202846975088581,1,0
CENTRAL,development,360,15,2022-04-17 15:15:00+00:00,REC_FAIL,False,10,0.053380782918151445,0.021352313167260578,0.07829181494661874,2,0
CENTRAL,development,360,15,2022-04-17 15:15:00+00:00,REC_FAIL,False,15,0.07117437722420024,0.04626334519573294,0.07829181494661874,3,0
CENTRAL,development,360,15,2022-04-17 15:15:00+00:00,REC_FAIL,False,30,0.06405693950178173,0.18861209964412837,0.07829181494661874,6,0
CENTRAL,development,360,15,2022-04-17 15:15:00+00:00,REC_FAIL,False,60,0.19572953736654689,0.224199288256231,0.07829181494661874,12,0
CENTRAL,development,360,15,2022-05-01 15:25:00+00:00,REC_TARGET,True,5,0.014545454545451652,0.167272727272725,0.07272727272727376,1,0
CENTRAL,development,360,15,2022-05-01 15:25:00+00:00,REC_TARGET,True,10,0.09090909090909091,0.167272727272725,0.09090909090909091,2,0
CENTRAL,development,360,15,2022-05-01 15:25:00+00:00,REC_TARGET,True,15,0.5236363636363628,0.5090909090909111,0.09090909090909091,3,0
CENTRAL,development,360,15,2022-05-14 21:40:00+00:00,REC_FAIL,False,5,0.01734104046242702,0.0,0.0732177263969162,1,0
CENTRAL,development,360,15,2022-05-14 21:40:00+00:00,REC_FAIL,False,10,-0.034682080924855405,0.0,0.07899807321772567,1,1
CENTRAL,development,360,15,2022-05-14 21:40:00+00:00,REC_FAIL,False,15,-0.05587668593448919,0.0,0.10211946050096214,1,2
CENTRAL,development,360,15,2022-05-19 15:20:00+00:00,REC_FAIL,False,5,-0.023861171366594238,0.04555314533622579,0.03253796095444655,0,1
CENTRAL,development,360,15,2022-05-19 15:20:00+00:00,REC_FAIL,False,10,0.06290672451193041,0.058568329718003485,0.0542299349240781,1,1
CENTRAL,development,360,15,2022-05-19 15:20:00+00:00,REC_FAIL,False,15,0.08459869848156196,0.09110629067245157,0.0542299349240781,2,1
CENTRAL,development,360,15,2022-05-19 15:20:00+00:00,REC_FAIL,False,30,0.0,0.13665943600867583,0.0542299349240781,3,3
CENTRAL,development,360,15,2022-06-07 18:10:00+00:00,REC_FAIL,False,5,0.054263565891473124,0.04651162790697854,0.031007751937983857,1,0
CENTRAL,development,360,15,2022-06-07 18:10:00+00:00,REC_FAIL,False,10,0.08527131782945697,0.04651162790697854,0.031007751937983857,2,0
CENTRAL,development,360,15,2022-06-07 18:10:00+00:00,REC_FAIL,False,15,-0.031007751937983857,0.058139534883720416,0.08139534883720968,2,1
CENTRAL,development,360,15,2022-06-12 15:05:00+00:00,REC_FAIL,False,5,-0.04477611940298413,0.011194029850744042,0.14552238805970172,0,1
CENTRAL,development,360,15,2022-06-12 15:05:00+00:00,REC_FAIL,False,10,-0.029850746268656084,0.011194029850744042,0.14552238805970172,0,2
CENTRAL,development,360,15,2022-06-12 15:05:00+00:00,REC_FAIL,False,15,-0.02238805970149339,0.011194029850744042,0.14552238805970172,0,3
CENTRAL,development,360,15,2022-07-05 19:10:00+00:00,REC_TARGET,True,5,0.24870466321243365,0.16580310880829033,0.005181347150258037,1,0
CENTRAL,development,360,15,2022-07-05 19:10:00+00:00,REC_TARGET,True,10,0.3782383419689104,0.2797927461139929,0.005181347150258037,2,0
CENTRAL,development,360,15,2022-07-12 15:10:00+00:00,REC_FAIL,False,5,0.13223140495867478,0.14049586776859635,0.008264462809915706,1,0
CENTRAL,development,360,15,2022-07-12 15:10:00+00:00,REC_FAIL,False,10,0.09090909090909037,0.14049586776859635,0.08264462809917467,2,0
CENTRAL,development,360,15,2022-07-12 15:10:00+00:00,REC_FAIL,False,15,0.008264462809915706,0.14049586776859635,0.11570247933884337,3,0
CENTRAL,development,360,15,2022-07-12 15:10:00+00:00,REC_FAIL,False,30,-0.09917355371900607,0.14049586776859635,0.2561983471074397,4,2
CENTRAL,development,360,15,2022-08-21 16:45:00+00:00,REC_FAIL,False,5,0.24050632911391928,0.050632911392403585,0.07594936708860987,1,0
CENTRAL,development,360,15,2022-08-21 16:45:00+00:00,REC_FAIL,False,10,0.1645569620253094,0.050632911392403585,0.1645569620253184,2,0
CENTRAL,development,360,15,2022-08-21 16:45:00+00:00,REC_FAIL,False,15,0.26582278481011656,0.07594936708860987,0.1645569620253184,3,0
CENTRAL,development,360,15,2022-08-21 16:45:00+00:00,REC_FAIL,False,30,0.1392405063291121,0.07594936708860987,0.1645569620253184,6,0
CENTRAL,development,360,15,2022-09-05 15:00:00+00:00,REC_FAIL,False,5,0.07692307692307819,0.10769230769230836,0.0,1,0
CENTRAL,development,360,15,2022-09-05 15:00:00+00:00,REC_FAIL,False,10,0.13846153846153855,0.15384615384615638,0.0,2,0
CENTRAL,development,360,15,2022-09-05 15:00:00+00:00,REC_FAIL,False,15,0.07692307692307819,0.1692307692307687,0.0,3,0
CENTRAL,development,360,15,2022-09-05 15:00:00+00:00,REC_FAIL,False,30,0.1999999999999989,0.2615384615384647,0.015384615384612357,6,0
CENTRAL,development,360,15,2022-09-06 15:45:00+00:00,REC_FAIL,False,5,-0.07964601769911789,0.06194690265486737,0.11504424778760633,0,1
CENTRAL,development,360,15,2022-09-06 15:45:00+00:00,REC_FAIL,False,10,-0.026548672566372628,0.06194690265486737,0.14159292035397897,0,2
CENTRAL,development,360,15,2022-09-06 15:45:00+00:00,REC_FAIL,False,15,-0.008849557522122114,0.06194690265486737,0.14159292035397897,0,3
CENTRAL,development,360,15,2022-09-19 19:00:00+00:00,REC_FAIL,False,5,0.05208333333333403,0.06249999999999861,0.03645833333333345,1,0
CENTRAL,development,360,15,2022-09-19 19:00:00+00:00,REC_FAIL,False,10,0.05208333333333403,0.09895833333333207,0.03645833333333345,2,0
CENTRAL,development,360,15,2022-09-19 19:00:00+00:00,REC_FAIL,False,15,0.1562499999999984,0.18229166666666724,0.03645833333333345,3,0
CENTRAL,development,360,15,2022-09-19 19:00:00+00:00,REC_FAIL,False,30,0.09374999999999976,0.2187500000000007,0.03645833333333345,6,0
CENTRAL,development,360,15,2022-09-19 19:00:00+00:00,REC_FAIL,False,60,0.10416666666666806,0.2187500000000007,0.03645833333333345,12,0
CENTRAL,development,360,15,2022-09-26 18:05:00+00:00,REC_FAIL,False,5,0.20610687022901078,0.022900763358779577,0.06870229007633331,1,0
CENTRAL,development,360,15,2022-09-26 18:05:00+00:00,REC_FAIL,False,10,0.16030534351145162,0.038167938931301104,0.06870229007633331,2,0
CENTRAL,development,360,15,2022-09-26 18:05:00+00:00,REC_FAIL,False,15,0.267175572519086,0.06870229007633874,0.06870229007633331,3,0
CENTRAL,development,360,15,2022-09-26 18:05:00+00:00,REC_FAIL,False,30,0.2519083969465699,0.08396946564885484,0.08396946564885484,6,0
CENTRAL,development,360,15,2022-09-26 18:05:00+00:00,REC_FAIL,False,60,0.3511450381679409,0.1450381679389355,0.08396946564885484,12,0
CENTRAL,development,360,15,2022-10-05 16:05:00+00:00,REC_TARGET,True,5,0.1111111111111111,0.0317460317460253,0.1111111111111111,1,0
CENTRAL,development,360,15,2022-10-05 16:05:00+00:00,REC_TARGET,True,10,0.15873015873016033,0.0317460317460253,0.14285714285714768,2,0
CENTRAL,development,360,15,2022-10-05 16:05:00+00:00,REC_TARGET,True,15,0.19047619047618564,0.1111111111111111,0.14285714285714768,3,0
CENTRAL,development,360,15,2022-10-05 16:05:00+00:00,REC_TARGET,True,30,0.2857142857142841,0.19047619047618564,0.14285714285714768,6,0
CENTRAL,development,360,15,2022-10-11 16:45:00+00:00,REC_FAIL,False,5,-0.015151515151517516,0.04545454545454717,0.09090909090908895,0,1
CENTRAL,development,360,15,2022-10-11 16:45:00+00:00,REC_FAIL,False,10,0.0,0.04545454545454717,0.13636363636363613,0,2
CENTRAL,development,360,15,2022-10-11 16:45:00+00:00,REC_FAIL,False,15,0.015151515151512134,0.04545454545454717,0.13636363636363613,1,2
CENTRAL,development,360,15,2022-10-17 23:35:00+00:00,REC_FAIL,False,5,0.15533980582524268,0.04854368932038899,0.019417475728154904,1,0
CENTRAL,development,360,15,2022-10-17 23:35:00+00:00,REC_FAIL,False,10,0.26213592233009636,0.1262135922330086,0.019417475728154904,2,0
CENTRAL,development,360,15,2022-10-17 23:35:00+00:00,REC_FAIL,False,15,0.1941747572815525,0.1262135922330086,0.019417475728154904,3,0
CENTRAL,development,360,15,2022-10-17 23:35:00+00:00,REC_FAIL,False,30,0.05825242718446472,0.1262135922330086,0.09708737864077797,6,0
CENTRAL,development,360,15,2022-10-17 23:35:00+00:00,REC_FAIL,False,60,0.07766990291261962,0.1262135922330086,0.1067961165048537,12,0
CENTRAL,development,360,15,2022-11-10 15:00:00+00:00,REC_FAIL,False,5,0.16073997944501542,0.11161356628982512,0.039465570400822235,1,0
CENTRAL,development,360,15,2022-11-10 15:00:00+00:00,REC_FAIL,False,10,0.07646454265159298,0.11161356628982512,0.14326824254881793,2,0
CENTRAL,development,360,15,2022-11-10 15:00:00+00:00,REC_FAIL,False,15,0.0339157245632064,0.11161356628982512,0.19588900308324755,3,0
CENTRAL,development,360,15,2022-11-10 15:00:00+00:00,REC_FAIL,False,30,0.043165467625899456,0.11161356628982512,0.19588900308324755,6,0
CENTRAL,development,360,15,2022-11-22 15:20:00+00:00,REC_FAIL,False,5,0.09613572101790793,0.11027332704995203,0.05089538171536312,1,0
CENTRAL,development,360,15,2022-11-22 15:20:00+00:00,REC_FAIL,False,10,-0.019792648444862414,0.11027332704995203,0.13289349670122527,1,1
CENTRAL,development,360,15,2022-11-22 15:20:00+00:00,REC_FAIL,False,15,0.014137606032045776,0.11027332704995203,0.13289349670122527,2,1
CENTRAL,development,360,15,2022-11-24 16:00:00+00:00,REC_FAIL,False,5,0.16129032258064727,0.15395894428152587,0.026392961876831295,1,0
CENTRAL,development,360,15,2022-11-24 16:00:00+00:00,REC_FAIL,False,10,0.09970674486803743,0.15395894428152587,0.026392961876831295,2,0
CENTRAL,development,360,15,2022-11-24 16:00:00+00:00,REC_FAIL,False,15,0.19354838709677671,0.1627565982404705,0.026392961876831295,3,0
CENTRAL,development,360,15,2022-11-24 16:00:00+00:00,REC_FAIL,False,30,0.18475073313783208,0.25953079178885624,0.026392961876831295,6,0
CENTRAL,development,360,15,2022-11-24 16:00:00+00:00,REC_FAIL,False,60,0.06598240469208475,0.25953079178885624,0.07917888563049909,12,0
CENTRAL,development,360,15,2022-11-26 01:20:00+00:00,REC_FAIL,False,5,-0.019531249999999636,0.023437500000000947,0.05664062499999998,0,1
CENTRAL,development,360,15,2022-11-26 01:20:00+00:00,REC_FAIL,False,10,-0.019531249999999636,0.023437500000000947,0.06640624999999806,0,2
CENTRAL,development,360,15,2022-11-26 01:20:00+00:00,REC_FAIL,False,15,0.021484375000002026,0.023437500000000947,0.06640624999999806,1,2
CENTRAL,development,360,15,2022-12-06 23:00:00+00:00,REC_TARGET,True,5,0.3090909090909138,0.19272727272727025,0.021818181818182757,1,0
CENTRAL,development,360,15,2022-12-06 23:00:00+00:00,REC_TARGET,True,10,0.3418181818181879,0.30181818181818404,0.021818181818182757,2,0
CENTRAL,development,360,15,2022-12-12 19:55:00+00:00,REC_TARGET,True,5,0.551886792452835,0.3679245283018928,0.042452830188672526,1,0
CENTRAL,development,360,15,2022-12-12 19:55:00+00:00,REC_TARGET,True,10,0.43867924528301927,0.3679245283018928,0.042452830188672526,2,0
CENTRAL,development,360,15,2023-01-01 18:05:00+00:00,REC_FAIL,False,5,0.038759689922479926,0.02713178294573526,0.12403100775193852,1,0
CENTRAL,development,360,15,2023-01-01 18:05:00+00:00,REC_FAIL,False,10,0.09302325581395733,0.02713178294573526,0.12403100775193852,2,0
CENTRAL,development,360,15,2023-01-01 18:05:00+00:00,REC_FAIL,False,15,0.02713178294573526,0.05426356589147052,0.12403100775193852,3,0
CENTRAL,development,360,15,2023-01-12 17:35:00+00:00,REC_FAIL,False,5,-0.04735883424407975,0.001821493624774538,0.1557377049180321,0,1
CENTRAL,development,360,15,2023-01-12 17:35:00+00:00,REC_FAIL,False,10,0.025500910746811177,0.001821493624774538,0.1557377049180321,1,1
CENTRAL,development,360,15,2023-01-12 17:35:00+00:00,REC_FAIL,False,15,0.051001821493622354,0.03005464480874429,0.1557377049180321,2,1
CENTRAL,development,360,15,2023-01-12 17:35:00+00:00,REC_FAIL,False,30,-0.06921675774134832,0.039162112932607275,0.21766848816028875,3,3
CENTRAL,development,360,15,2023-01-27 15:00:00+00:00,REC_FAIL,False,5,-0.06360946745562003,0.05029585798816394,0.29881656804733897,0,1
CENTRAL,development,360,15,2023-01-27 15:00:00+00:00,REC_FAIL,False,10,-0.27514792899408197,0.05029585798816394,0.47337278106508784,0,2
CENTRAL,development,360,15,2023-01-27 15:00:00+00:00,REC_FAIL,False,15,-0.2352071005917137,0.05029585798816394,0.5266272189349122,0,3
CENTRAL,development,360,15,2023-02-02 17:00:00+00:00,REC_TARGET,True,5,0.09640287769784193,0.01294964028777027,0.13525179856115274,1,0
CENTRAL,development,360,15,2023-02-02 17:00:00+00:00,REC_TARGET,True,10,0.027338129496400496,0.020143884892085382,0.13525179856115274,2,0
CENTRAL,development,360,15,2023-02-02 17:00:00+00:00,REC_TARGET,True,15,0.21151079136690418,0.12374100719424243,0.13525179856115274,3,0
CENTRAL,development,360,15,2023-02-02 17:00:00+00:00,REC_TARGET,True,30,0.15827338129496316,0.15539568345323812,0.13525179856115274,6,0
CENTRAL,development,360,15,2023-02-13 23:25:00+00:00,REC_FAIL,False,5,0.11854951185495258,0.10460251046025024,0.023709902370989525,1,0
CENTRAL,development,360,15,2023-02-13 23:25:00+00:00,REC_FAIL,False,10,0.0013947001394717209,0.11297071129707065,0.06276150627615311,2,0
CENTRAL,development,360,15,2023-02-13 23:25:00+00:00,REC_FAIL,False,15,0.09483960948396306,0.11297071129707065,0.07391910739191201,3,0
CENTRAL,development,360,15,2023-02-13 23:25:00+00:00,REC_FAIL,False,30,0.043235704323568845,0.11715481171548087,0.16736401673640336,5,1
CENTRAL,development,360,15,2023-02-17 17:05:00+00:00,REC_TARGET,True,5,0.06352087114337572,0.11615245009074379,0.0036297640653337286,1,0
CENTRAL,development,360,15,2023-02-17 17:05:00+00:00,REC_TARGET,True,10,0.06533575317603936,0.17967332123411953,0.0036297640653337286,2,0
CENTRAL,development,360,15,2023-02-17 17:05:00+00:00,REC_TARGET,True,15,0.029038112522682725,0.17967332123411953,0.04174228675136045,3,0
CENTRAL,development,360,15,2023-02-17 17:05:00+00:00,REC_TARGET,True,30,0.1488203266787667,0.17967332123411953,0.0907441016333948,6,0
CENTRAL,development,360,15,2023-02-17 17:05:00+00:00,REC_TARGET,True,60,0.2032667876587984,0.37749546279491414,0.0907441016333948,12,0
CENTRAL,development,360,15,2023-02-19 15:10:00+00:00,REC_TARGET,True,5,0.26967370441458577,0.10172744721688862,0.058541266794625575,1,0
CENTRAL,development,360,15,2023-02-19 15:10:00+00:00,REC_TARGET,True,10,0.3905950095969284,0.2197696737044135,0.058541266794625575,2,0
CENTRAL,development,360,15,2023-03-19 15:00:00+00:00,REC_FAIL,False,5,0.07703927492447434,0.10574018126888277,0.0785498489425977,1,0
CENTRAL,development,360,15,2023-03-19 15:00:00+00:00,REC_FAIL,False,10,0.0317220543806659,0.13897280966767203,0.0785498489425977,2,0
CENTRAL,development,360,15,2023-03-19 15:00:00+00:00,REC_FAIL,False,15,-0.05287009063444138,0.13897280966767203,0.12990936555891033,2,1
CENTRAL,development,360,15,2023-04-06 15:25:00+00:00,REC_FAIL,False,5,-0.019047619047616874,0.03333333333333164,0.03809523809523375,0,1
CENTRAL,development,360,15,2023-04-06 15:25:00+00:00,REC_FAIL,False,10,0.01666666666666159,0.03333333333333164,0.05714285714285908,1,1
CENTRAL,development,360,15,2023-04-06 15:25:00+00:00,REC_FAIL,False,15,0.009523809523804206,0.03333333333333164,0.05714285714285908,2,1
CENTRAL,development,360,15,2023-04-06 15:25:00+00:00,REC_FAIL,False,30,0.09285714285713755,0.21428571428571308,0.05714285714285908,5,1
