minute_k,motif,dev_fail_n,dev_target_n,dev_fail_hit,dev_target_hit,dev_gap,dev_ratio,adequate_dev_blocks,same_direction_dev_blocks,development_supported,external_fail_n,external_target_n,external_fail_hit,external_target_hit,external_gap,external_ratio,reference_fail_n,reference_target_n,reference_fail_hit,reference_target_hit,reference_gap,reference_ratio,replicated
1,ANY_CLOSE_LE_H_BY_K,233,63,0.6824034334763949,0.6031746031746031,0.07922883030179173,1.1313530607634967,6,5,False,,,,,,,,,,,,,False
1,CURRENT_CLOSE_LE_H,233,63,0.6824034334763949,0.6031746031746031,0.07922883030179173,1.1313530607634967,6,5,False,,,,,,,,,,,,,False
1,NO_CLOSE_ABOVE_H10_BY_K,233,63,0.871244635193133,0.8412698412698413,0.02997479392329172,1.0356304154182525,6,4,False,,,,,,,,,,,,,False
1,NO_HIGH_ABOVE_H10_BY_K,233,63,0.7939914163090128,0.7619047619047619,0.03208665440425096,1.0421137339055795,6,3,False,,,,,,,,,,,,,False
1,REJECT_H10_TO_H05_BY_K,233,63,0.02145922746781116,0.015873015873015872,0.005586211594795287,1.351931330472103,6,3,False,,,,,,,,,,,,,False
1,CURRENT_BEARISH,233,63,0.3562231759656652,0.3333333333333333,0.022889842632331903,1.0686695278969958,6,4,False,,,,,,,,,,,,,False
2,ANY_CLOSE_LE_H_BY_K,233,63,0.7081545064377682,0.6349206349206349,0.07323387151713334,1.115343347639485,6,5,False,,,,,,,,,,,,,False
2,CURRENT_CLOSE_LE_H,233,63,0.5536480686695279,0.5238095238095238,0.029838544860004035,1.056964494732735,6,4,False,,,,,,,,,,,,,False
2,NO_CLOSE_ABOVE_H10_BY_K,233,63,0.8412017167381974,0.7619047619047619,0.07929695483343557,1.1040772532188843,6,6,False,,,,,,,,,,,,,False
2,NO_HIGH_ABOVE_H10_BY_K,233,63,0.7296137339055794,0.6349206349206349,0.09469309898494449,1.1491416309012876,6,4,False,,,,,,,,,,,,,False
2,REJECT_H10_TO_H05_BY_K,233,63,0.060085836909871244,0.031746031746031744,0.0283398051638395,1.8927038626609443,6,4,False,,,,,,,,,,,,,False
2,CURRENT_BEARISH,233,63,0.3090128755364807,0.2698412698412698,0.03917160569521089,1.1451653622822522,6,3,False,,,,,,,,,,,,,False
2,TWO_PLUS_NEAR_H10_BY_K,233,63,0.15021459227467812,0.14285714285714285,0.007357449417535272,1.051502145922747,6,4,False,,,,,,,,,,,,,False
2,TWO_PLUS_NEAR_H05_BY_K,233,63,0.060085836909871244,0.031746031746031744,0.0283398051638395,1.8927038626609443,6,4,False,,,,,,,,,,,,,False
2,H_LOSS_THEN_RECLAIM_BY_K,233,63,0.15450643776824036,0.1111111111111111,0.04339532665712925,1.3905579399141632,6,3,False,,,,,,,,,,,,,False
2,LAST2_LOWER_CLOSES,233,63,0.3090128755364807,0.2857142857142857,0.023298589822195015,1.0815450643776825,6,3,False,,,,,,,,,,,,,False
2,LAST2_LOWER_HIGHS,233,63,0.31759656652360513,0.4126984126984127,-0.09510184617480755,0.7695609111918125,6,2,False,,,,,,,,,,,,,False
3,ANY_CLOSE_LE_H_BY_K,233,63,0.7381974248927039,0.6349206349206349,0.10327678997206902,1.1626609442060087,6,5,False,,,,,,,,,,,,,False
3,CURRENT_CLOSE_LE_H,233,63,0.4206008583690987,0.4126984126984127,0.007902445670686042,1.0191482337405084,6,2,False,,,,,,,,,,,,,False
3,NO_CLOSE_ABOVE_H10_BY_K,233,63,0.7939914163090128,0.7142857142857143,0.07970570202329852,1.1115879828326178,6,5,False,,,,,,,,,,,,,False
3,NO_HIGH_ABOVE_H10_BY_K,233,63,0.630901287553648,0.5714285714285714,0.05947271612507665,1.104077253218884,6,3,False,,,,,,,,,,,,,False
