partition,dev_block,entry_ts,warning_ts,terminal_label,terminal_event_ts,H,L,R,available_5x1m,ohlc_parity,five_open,five_high,five_low,five_close,agg_open,agg_high,agg_low,agg_close
development,0.0,2022-01-01 15:25:00+00:00,2022-01-01 15:25:00+00:00,FAILED_BREAK,2022-01-01 15:45:00+00:00,173.37,170.52,2.8499999999999943,True,True,173.14,173.44,173.13,173.43,173.14,173.44,173.13,173.43
development,0.0,2022-01-02 16:10:00+00:00,2022-01-02 16:10:00+00:00,FAILED_BREAK,2022-01-02 16:15:00+00:00,176.75,174.66,2.0900000000000034,True,True,176.6,176.95,176.53,176.94,176.6,176.95,176.53,176.94
development,0.0,2022-01-04 15:00:00+00:00,2022-01-04 15:00:00+00:00,FAILED_BREAK,2022-01-04 15:15:00+00:00,173.43,167.32,6.110000000000014,True,True,173.03,173.88,173.0,173.66,173.03,173.88,173.0,173.66
development,0.0,2022-01-06 17:05:00+00:00,2022-01-06 17:05:00+00:00,FAILED_BREAK,2022-01-06 17:10:00+00:00,151.09,146.22,4.8700000000000045,True,True,150.64,151.55,150.5,151.48,150.64,151.55,150.5,151.48
development,0.0,2022-01-12 15:15:00+00:00,2022-01-12 15:25:00+00:00,FAILED_BREAK,2022-01-12 15:30:00+00:00,147.67,139.5,8.169999999999987,True,True,147.42,148.6,147.23,148.07,147.42,148.6,147.23,148.07
development,0.0,2022-01-14 15:05:00+00:00,2022-01-14 15:05:00+00:00,FAILED_BREAK,2022-01-14 15:10:00+00:00,147.32,141.91,5.409999999999997,True,True,146.16,147.48,146.15,147.36,146.16,147.48,146.15,147.36
development,0.0,2022-01-20 15:00:00+00:00,2022-01-20 15:00:00+00:00,FAILED_BREAK,2022-01-20 15:15:00+00:00,141.9,135.58,6.319999999999993,True,True,141.51,142.5,141.22,142.34,141.51,142.5,141.22,142.34
development,0.0,2022-01-21 17:00:00+00:00,2022-01-21 17:05:00+00:00,FAILED_BREAK,2022-01-21 17:10:00+00:00,125.69,115.5,10.189999999999998,True,True,125.43,126.77,125.12,126.56,125.43,126.77,125.12,126.56
development,0.0,2022-01-24 17:50:00+00:00,2022-01-24 18:00:00+00:00,RECOVER_E40,2022-01-24 18:15:00+00:00,88.0,80.7,7.299999999999997,True,True,88.89,89.09,87.93,88.47,88.89,89.09,87.93,88.47
development,0.0,2022-01-28 15:50:00+00:00,2022-01-28 15:50:00+00:00,FAILED_BREAK,2022-01-28 16:00:00+00:00,90.92,87.1,3.820000000000008,True,True,90.54,91.34,90.48,91.26,90.54,91.34,90.48,91.26
development,0.0,2022-01-31 15:00:00+00:00,2022-01-31 15:00:00+00:00,RECOVER_E40,2022-01-31 15:15:00+00:00,92.6,89.87,2.7299999999999898,True,True,92.44,92.82,92.42,92.67,92.44,92.82,92.42,92.67
development,0.0,2022-02-01 16:30:00+00:00,2022-02-01 16:30:00+00:00,FAILED_BREAK,2022-02-01 16:40:00+00:00,111.04,103.75,7.290000000000006,True,True,109.91,111.79,109.72,111.18,109.91,111.79,109.72,111.18
development,0.0,2022-02-07 15:35:00+00:00,2022-02-07 15:35:00+00:00,FAILED_BREAK,2022-02-07 15:40:00+00:00,121.09,115.37,5.719999999999999,True,True,120.09,121.73,119.92,121.27,120.09,121.73,119.92,121.27
development,0.0,2022-02-09 00:45:00+00:00,2022-02-09 00:55:00+00:00,FAILED_BREAK,2022-02-09 01:00:00+00:00,114.72,111.12,3.5999999999999943,True,True,114.61,114.92,114.4,114.82,114.61,114.92,114.4,114.82
development,0.0,2022-02-15 01:25:00+00:00,2022-02-15 01:25:00+00:00,RECOVER_E40,2022-02-15 01:35:00+00:00,97.92,91.78,6.140000000000001,True,True,97.35,98.46,97.33,98.19,97.35,98.46,97.33,98.19
development,0.0,2022-02-19 16:05:00+00:00,2022-02-19 16:05:00+00:00,FAILED_BREAK,2022-02-19 16:40:00+00:00,91.22,88.51,2.7099999999999937,True,True,90.92,91.49,90.92,91.43,90.92,91.49,90.92,91.43
development,0.0,2022-02-20 17:40:00+00:00,2022-02-20 17:40:00+00:00,FAILED_BREAK,2022-02-20 17:55:00+00:00,90.98,87.37,3.61,True,True,90.7,91.5,90.68,91.31,90.7,91.5,90.68,91.31
development,0.0,2022-02-23 00:15:00+00:00,2022-02-23 00:15:00+00:00,FAILED_BREAK,2022-02-23 00:20:00+00:00,87.6,83.05,4.549999999999997,True,True,86.82,88.32,86.81,87.65,86.82,88.32,86.81,87.65
