role,partition,dev_block,execution_start,component,outcome,entry_ts,e20_ts,trigger_ts,baseline_exit_ts,baseline_exit_reason,H,L,R,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mae_R_to_e20,closes_gt_H_to_e20,trigger_close_R,trigger_close_vs_E10_R,trigger_high_R,trigger_low_R,trigger_body_R,trigger_upper_wick_R,trigger_lower_wick_R,trigger_traded_E25,trigger_traded_E30,post_e20_peak_R,giveback_peak_to_trigger_close_R,running_mfe_R_to_trigger
CENTRAL,development,0.0,2022-01-14 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2022-01-14 19:35:00+00:00,2022-01-14 19:35:00+00:00,2022-01-14 19:40:00+00:00,2022-01-14 20:00:00+00:00,FAILED_BREAK,148.55,142.89,5.660000000000025,0.0,0.0,0.1466431095406326,-0.05335689045936742,0.11484098939929378,1,0.054770318021201574,-0.04522968197879843,0.1802120141342716,0.045936395759715504,0.10247349823321228,0.022968197879857752,0.008833922261486068,False,False,0.2067137809187248,0.15194346289752322,0.2067137809187248
CENTRAL,development,0.0,2022-02-16 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2022-02-16 19:00:00+00:00,2022-02-16 19:00:00+00:00,2022-02-16 19:05:00+00:00,2022-02-16 19:15:00+00:00,TARGET,100.23,98.11,2.1200000000000045,0.0,,-0.16509433962264516,-0.36509433962264515,0.5047169811320779,0,0.004716981132071171,-0.09528301886792884,0.09433962264151058,-0.25,0.15566037735848942,0.0896226415094394,0.09905660377358175,False,False,0.2169811320754683,0.21226415094339712,0.2169811320754683
CENTRAL,development,0.0,2022-05-15 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2022-05-15 18:10:00+00:00,2022-05-15 18:15:00+00:00,2022-05-15 18:20:00+00:00,2022-05-15 18:30:00+00:00,FAILED_BREAK,54.78,52.16,2.6200000000000045,5.0,5.0,0.25954198473282386,0.05954198473282385,0.14885496183206104,2,0.06488549618320665,-0.03511450381679336,0.25954198473282386,0.01908396946564774,0.19465648854961723,0.0,0.04580152671755891,True,False,0.3320610687022885,0.26717557251908186,0.3320610687022885
CENTRAL,development,0.0,2022-05-25 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2022-05-25 18:30:00+00:00,2022-05-25 19:05:00+00:00,2022-05-25 19:10:00+00:00,2022-05-26 05:00:00+00:00,REFERENCE_INVALIDATION,48.86,47.78,1.0799999999999983,35.0,,0.07407407407407261,-0.12592592592592738,0.4722222222222211,2,0.08333333333333662,-0.016666666666663388,0.2500000000000033,0.037037037037036306,0.0,0.16666666666666666,0.04629629629630032,True,False,0.2500000000000033,0.16666666666666666,0.2500000000000033
CENTRAL,development,0.0,2022-06-15 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2022-06-15 18:00:00+00:00,2022-06-15 18:00:00+00:00,2022-06-15 18:05:00+00:00,2022-06-15 18:40:00+00:00,TARGET,29.92,28.39,1.5300000000000011,0.0,,-0.6732026143790852,-0.8732026143790852,0.849673202614379,0,-0.7973856209150336,-0.8973856209150336,-0.594771241830065,-1.0588235294117645,0.12418300653594845,0.0784313725490202,0.26143790849673093,False,False,0.3725490196078407,1.1699346405228743,0.3725490196078407
CENTRAL,development,0.0,2022-06-27 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2022-06-27 18:15:00+00:00,2022-06-27 18:30:00+00:00,2022-06-27 18:35:00+00:00,2022-06-27 19:20:00+00:00,REFERENCE_INVALIDATION,38.97,38.13,0.8399999999999963,15.0,,0.17857142857142766,-0.02142857142857235,0.4761904761904766,1,0.04761904761904681,-0.052380952380953194,0.21428571428571488,-0.059523809523806405,0.13095238095238085,0.035714285714287225,0.10714285714285321,False,False,0.21428571428571488,0.16666666666666807,0.21428571428571488
CENTRAL,development,1.0,2022-07-02 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2022-07-02 18:05:00+00:00,2022-07-02 18:50:00+00:00,2022-07-02 18:55:00+00:00,2022-07-02 21:50:00+00:00,TARGET,33.29,32.56,0.7299999999999969,45.0,,0.13698630136986556,-0.06301369863013445,0.4794520547945246,1,-0.06849315068492791,-0.16849315068492793,0.21917808219178683,-0.09589041095890491,0.20547945205479345,0.08219178082192127,0.027397260273977004,False,False,0.2739726027397311,0.342465753424659,0.2739726027397311
CENTRAL,development,1.0,2022-08-16 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2022-08-16 18:10:00+00:00,2022-08-17 00:35:00+00:00,2022-08-17 00:40:00+00:00,2022-08-17 02:30:00+00:00,TARGET,43.52,42.6,0.9200000000000016,385.0,,0.13043478260869265,-0.06956521739130736,1.0869565217391286,1,0.03260869565216737,-0.06739130434783264,0.14130434782608176,-0.04347826086957194,0.08695652173913615,0.021739130434778247,0.0760869565217393,False,False,0.21739130434782108,0.18478260869565372,0.21739130434782108
CENTRAL,development,1.0,2022-08-17 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2022-08-17 18:00:00+00:00,2022-08-17 18:00:00+00:00,2022-08-17 18:05:00+00:00,2022-08-17 19:25:00+00:00,REFERENCE_INVALIDATION,41.6,40.72,0.8800000000000026,0.0,,-0.1477272727272752,-0.3477272727272752,0.32954545454545264,0,-0.3636363636363629,-0.46363636363636296,-0.0568181818181865,-0.625000000000003,0.2159090909090877,0.0909090909090887,0.26136363636364013,False,False,0.3068181818181764,0.6704545454545393,0.3068181818181764
CENTRAL,development,1.0,2022-09-03 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2022-09-03 22:15:00+00:00,2022-09-04 00:25:00+00:00,2022-09-04 00:30:00+00:00,2022-09-04 02:00:00+00:00,TARGET,31.19,30.98,0.2100000000000008,130.0,,0.09523809523809285,-0.10476190476190717,0.9523809523809623,1,0.09523809523809285,-0.00476190476190716,0.1428571428571308,-0.28571428571429547,0.0,0.047619047619037964,0.3809523809523883,False,False,0.3333333333333334,0.23809523809524058,0.3333333333333334
