role,partition,dev_block,execution_start,component,parent_entry_ts,entry_ts,exit_ts,exit_reason,baseline_pnl,baseline_pnl_5bps,outcome,H,L,R,e20_ts,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mfe_R_at_E20,running_mae_R_to_E20,closes_gt_H_to_E20,closes_ge_E10_to_E20
CENTRAL,development,0.0,2022-01-01 18:00:00+00:00,PARENT,2022-01-01 18:55:00+00:00,2022-01-01 18:55:00+00:00,2022-01-01 19:35:00+00:00,TARGET,3.9662639617050734,3.7162639617050734,E20_TO_E40_CONTINUATION,175.48,172.0,3.4799999999999898,2022-01-01 19:00:00+00:00,5.0,0.0,0.1724137931034553,-0.0275862068965447,0.261494252873563,0.09770114942528862,1,1
CENTRAL,development,0.0,2022-01-06 18:00:00+00:00,PARENT,2022-01-06 18:05:00+00:00,2022-01-06 18:05:00+00:00,2022-01-06 20:20:00+00:00,FAILED_BREAK,-2.783235101506188,-3.033235101506188,E20_STALLER,152.7,147.25,5.449999999999989,2022-01-06 18:45:00+00:00,40.0,40.0,0.1981651376146816,-0.0018348623853184087,0.2660550458715633,0.06972477064220114,9,4
CENTRAL,development,0.0,2022-01-14 18:00:00+00:00,PARENT,2022-01-14 19:35:00+00:00,2022-01-14 19:35:00+00:00,2022-01-14 20:00:00+00:00,FAILED_BREAK,-1.0770784247728926,-1.3270784247728926,E20_STALLER,148.55,142.89,5.660000000000025,2022-01-14 19:35:00+00:00,0.0,0.0,0.1466431095406326,-0.05335689045936742,0.2067137809187248,0.11484098939929378,1,1
CENTRAL,development,0.0,2022-01-18 18:00:00+00:00,PARENT,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:15:00+00:00,TARGET,5.195182121607855,4.945182121607855,E20_TO_E40_CONTINUATION,137.82,134.24,3.579999999999984,2022-01-18 21:10:00+00:00,0.0,0.0,0.29329608938547935,0.09329608938547934,0.3156424581005588,0.05586592178770657,1,1
CENTRAL,development,0.0,2022-01-26 18:00:00+00:00,PARENT,2022-01-26 19:00:00+00:00,2022-01-26 19:00:00+00:00,2022-01-26 19:05:00+00:00,TARGET,8.904579778366228,8.654579778366228,E20_TO_E40_CONTINUATION,101.97,97.43,4.539999999999992,2022-01-26 19:05:00+00:00,5.0,0.0,0.3788546255506612,0.17885462555066117,0.5462555066079313,0.9339207048458155,1,1
CENTRAL,development,0.0,2022-02-02 18:00:00+00:00,PARENT,2022-02-02 18:55:00+00:00,2022-02-02 18:55:00+00:00,2022-02-02 20:05:00+00:00,FAILED_BREAK,-3.146948827875584,-3.396948827875584,E20_STALLER,109.63,103.54,6.089999999999989,2022-02-02 19:00:00+00:00,5.0,0.0,0.29392446633826097,0.09392446633826096,0.3070607553366187,0.1954022988505747,1,1
CENTRAL,development,0.0,2022-02-03 18:00:00+00:00,PARENT,2022-02-03 21:15:00+00:00,2022-02-03 21:15:00+00:00,2022-02-03 21:20:00+00:00,TARGET,6.935483870967762,6.685483870967762,E20_TO_E40_CONTINUATION,99.2,95.76,3.4399999999999977,2022-02-03 21:15:00+00:00,0.0,0.0,0.3779069767441855,0.17790697674418549,0.45930232558139517,0.19767441860465326,1,1
CENTRAL,development,0.0,2022-02-06 18:00:00+00:00,PARENT,2022-02-07 03:15:00+00:00,2022-02-07 03:15:00+00:00,2022-02-07 03:35:00+00:00,TARGET,8.331895808176615,8.081895808176615,E20_TO_E40_CONTINUATION,115.94,111.11,4.829999999999998,2022-02-07 03:20:00+00:00,5.0,5.0,0.22981366459627325,0.029813664596273243,0.24016563146997869,0.08488612836438855,2,2
CENTRAL,development,0.0,2022-02-08 18:00:00+00:00,PARENT,2022-02-08 20:40:00+00:00,2022-02-08 20:40:00+00:00,2022-02-08 23:30:00+00:00,TARGET,5.442176870748328,5.192176870748328,E20_TO_E40_CONTINUATION,113.19,110.11,3.0799999999999983,2022-02-08 23:20:00+00:00,160.0,,0.24675324675324856,0.046753246753248545,0.24999999999999883,0.30519480519480463,4,2
CENTRAL,development,0.0,2022-02-09 18:00:00+00:00,PARENT,2022-02-09 19:45:00+00:00,2022-02-09 19:45:00+00:00,2022-02-09 20:00:00+00:00,FAILED_BREAK,-0.5211952744961779,-0.7711952744961779,E20_STALLER,115.12,112.36,2.760000000000005,2022-02-09 20:00:00+00:00,15.0,15.0,0.18115942028985474,-0.018840579710145272,0.2753623188405759,0.13405797101449415,3,3
