partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,role,candidate_scope
development,0,240,18,2022-01-01 18:00:00+00:00,E0_RESTING_H,0.4,175.48,172.0,3.4799999999999898,2022-01-01 18:55:00+00:00,2022-01-01 19:00:00+00:00,2022-01-01 18:55:00+00:00,175.48,1.0,2022-01-01 19:35:00+00:00,176.87199999999999,TARGET,0.007932527923410149,3.9662639617050743,0.007432527923410148,3.7162639617050743,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-06 18:00:00+00:00,E0_RESTING_H,0.4,152.7,147.25,5.449999999999989,2022-01-06 18:05:00+00:00,2022-01-06 18:05:00+00:00,2022-01-06 18:05:00+00:00,152.7,1.0,2022-01-06 20:20:00+00:00,151.85,FAILED_BREAK,-0.005566470203012375,-2.7832351015061874,-0.006066470203012375,-3.033235101506188,False,False,True,2022-01-06 20:15:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-07 18:00:00+00:00,E0_RESTING_H,0.4,140.65,132.98,7.670000000000016,2022-01-07 20:00:00+00:00,2022-01-07 20:00:00+00:00,2022-01-07 20:00:00+00:00,140.65,1.0,2022-01-07 20:10:00+00:00,140.41,FAILED_BREAK,-0.0017063633131888523,-0.8531816565944261,-0.0022063633131888523,-1.1031816565944261,False,False,True,2022-01-07 20:05:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-08 18:00:00+00:00,E0_RESTING_H,0.4,146.15,135.0,11.150000000000006,2022-01-08 22:00:00+00:00,2022-01-08 22:15:00+00:00,2022-01-08 22:00:00+00:00,146.15,1.0,2022-01-08 22:35:00+00:00,145.19,FAILED_BREAK,-0.006568593910366127,-3.2842969551830636,-0.007068593910366128,-3.5342969551830636,False,False,True,2022-01-08 22:30:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-09 18:00:00+00:00,E0_RESTING_H,0.4,144.71,137.83,6.8799999999999955,2022-01-09 18:00:00+00:00,2022-01-09 18:15:00+00:00,2022-01-09 18:00:00+00:00,144.71,1.0,2022-01-09 18:25:00+00:00,144.69,FAILED_BREAK,-0.0001382074493816443,-0.06910372469082215,-0.0006382074493816443,-0.31910372469082215,False,False,True,2022-01-09 18:20:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-10 18:00:00+00:00,E0_RESTING_H,0.4,137.5,129.45,8.050000000000011,2022-01-11 04:00:00+00:00,2022-01-11 04:00:00+00:00,2022-01-11 04:00:00+00:00,137.5,1.0,2022-01-11 04:10:00+00:00,137.06,FAILED_BREAK,-0.0031999999999999806,-1.5999999999999903,-0.0036999999999999806,-1.8499999999999903,False,False,True,2022-01-11 04:05:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-11 18:00:00+00:00,E0_RESTING_H,0.4,143.02,135.01,8.01000000000002,2022-01-11 18:35:00+00:00,,2022-01-11 18:35:00+00:00,143.02,1.0,2022-01-12 05:55:00+00:00,140.25,TIME,-0.01936792057054959,-9.683960285274795,-0.01986792057054959,-9.933960285274795,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-12 18:00:00+00:00,E0_RESTING_H,0.4,152.13,145.52,6.609999999999985,2022-01-12 19:50:00+00:00,2022-01-12 19:55:00+00:00,2022-01-12 19:50:00+00:00,152.13,1.0,2022-01-12 20:05:00+00:00,152.01,FAILED_BREAK,-0.0007887990534412026,-0.3943995267206013,-0.0012887990534412026,-0.6443995267206013,False,False,True,2022-01-12 20:00:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-14 18:00:00+00:00,E0_RESTING_H,0.4,148.55,142.89,5.660000000000025,2022-01-14 19:35:00+00:00,2022-01-14 19:35:00+00:00,2022-01-14 19:35:00+00:00,148.55,1.0,2022-01-14 20:00:00+00:00,148.23,FAILED_BREAK,-0.0021541568495457852,-1.0770784247728926,-0.0026541568495457852,-1.3270784247728926,False,False,True,2022-01-14 19:55:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-15 18:00:00+00:00,E0_RESTING_H,0.4,148.83,145.0,3.8300000000000125,2022-01-15 20:10:00+00:00,2022-01-15 20:15:00+00:00,2022-01-15 20:10:00+00:00,148.83,1.0,2022-01-15 20:25:00+00:00,148.7,FAILED_BREAK,-0.0008734798091784013,-0.43673990458920064,-0.0013734798091784013,-0.6867399045892006,False,False,True,2022-01-15 20:20:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-18 18:00:00+00:00,E0_RESTING_H,0.4,137.82,134.24,3.579999999999984,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:10:00+00:00,137.82,1.0,2022-01-18 21:15:00+00:00,139.25199999999998,TARGET,0.01039036424321571,5.195182121607855,0.00989036424321571,4.945182121607855,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-24 18:00:00+00:00,E0_RESTING_H,0.4,90.14,80.83,9.310000000000002,2022-01-24 18:05:00+00:00,2022-01-24 18:10:00+00:00,2022-01-24 18:05:00+00:00,90.14,1.0,2022-01-24 18:25:00+00:00,89.29,FAILED_BREAK,-0.009429775904149063,-4.714887952074531,-0.009929775904149063,-4.964887952074531,False,False,True,2022-01-24 18:20:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-25 18:00:00+00:00,E0_RESTING_H,0.4,97.92,90.5,7.420000000000002,2022-01-25 18:30:00+00:00,2022-01-25 18:30:00+00:00,2022-01-25 18:30:00+00:00,97.92,1.0,2022-01-25 18:45:00+00:00,97.63,FAILED_BREAK,-0.0029616013071895875,-1.4808006535947937,-0.0034616013071895875,-1.7308006535947937,False,False,True,2022-01-25 18:40:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-26 18:00:00+00:00,E0_RESTING_H,0.4,101.97,97.43,4.539999999999992,2022-01-26 19:00:00+00:00,2022-01-26 19:05:00+00:00,2022-01-26 19:00:00+00:00,101.97,1.0,2022-01-26 19:05:00+00:00,103.786,TARGET,0.017809159556732457,8.904579778366228,0.017309159556732456,8.654579778366228,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-28 18:00:00+00:00,E0_RESTING_H,0.4,92.7,88.16,4.540000000000006,2022-01-28 18:30:00+00:00,2022-01-28 18:30:00+00:00,2022-01-28 18:30:00+00:00,92.7,1.0,2022-01-28 18:40:00+00:00,92.01,FAILED_BREAK,-0.007443365695792847,-3.7216828478964237,-0.007943365695792848,-3.9716828478964237,False,False,True,2022-01-28 18:35:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-01-31 18:00:00+00:00,E0_RESTING_H,0.4,98.77,91.13,7.640000000000001,2022-01-31 20:00:00+00:00,2022-01-31 20:00:00+00:00,2022-01-31 20:00:00+00:00,98.77,1.0,2022-01-31 20:10:00+00:00,97.89,FAILED_BREAK,-0.00890958793155816,-4.45479396577908,-0.009409587931558161,-4.70479396577908,False,False,True,2022-01-31 20:05:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-02 18:00:00+00:00,E0_RESTING_H,0.4,109.63,103.54,6.089999999999989,2022-02-02 18:55:00+00:00,2022-02-02 19:00:00+00:00,2022-02-02 18:55:00+00:00,109.63,1.0,2022-02-02 20:05:00+00:00,108.94,FAILED_BREAK,-0.006293897655751168,-3.146948827875584,-0.006793897655751169,-3.396948827875584,False,False,True,2022-02-02 20:00:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-03 18:00:00+00:00,E0_RESTING_H,0.4,99.2,95.76,3.4399999999999977,2022-02-03 21:15:00+00:00,2022-02-03 21:15:00+00:00,2022-02-03 21:15:00+00:00,99.2,1.0,2022-02-03 21:20:00+00:00,100.57600000000001,TARGET,0.013870967741935525,6.935483870967762,0.013370967741935524,6.685483870967762,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-04 18:00:00+00:00,E0_RESTING_H,0.4,111.3,101.98,9.319999999999993,2022-02-04 23:45:00+00:00,2022-02-04 23:45:00+00:00,2022-02-04 23:45:00+00:00,111.3,1.0,2022-02-05 00:05:00+00:00,111.31,FAILED_BREAK,8.98472596586597e-05,0.04492362982932985,-0.0004101527403413403,-0.20507637017067015,True,False,True,2022-02-05 00:00:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-06 18:00:00+00:00,E0_RESTING_H,0.4,115.94,111.11,4.829999999999998,2022-02-07 03:15:00+00:00,2022-02-07 03:15:00+00:00,2022-02-07 03:15:00+00:00,115.94,1.0,2022-02-07 03:35:00+00:00,117.872,TARGET,0.01666379161635323,8.331895808176615,0.01616379161635323,8.081895808176615,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-08 18:00:00+00:00,E0_RESTING_H,0.4,113.19,110.11,3.0799999999999983,2022-02-08 20:40:00+00:00,,2022-02-08 20:40:00+00:00,113.19,1.0,2022-02-08 23:30:00+00:00,114.422,TARGET,0.010884353741496655,5.442176870748328,0.010384353741496655,5.192176870748328,True,True,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-09 18:00:00+00:00,E0_RESTING_H,0.4,115.12,112.36,2.760000000000005,2022-02-09 19:45:00+00:00,2022-02-09 19:45:00+00:00,2022-02-09 19:45:00+00:00,115.12,1.0,2022-02-09 20:00:00+00:00,115.0,FAILED_BREAK,-0.0010423905489923557,-0.5211952744961779,-0.0015423905489923557,-0.7711952744961779,False,False,True,2022-02-09 19:55:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-12 18:00:00+00:00,E0_RESTING_H,0.4,97.74,93.45,4.289999999999992,2022-02-12 18:00:00+00:00,2022-02-12 18:05:00+00:00,2022-02-12 18:00:00+00:00,97.74,1.0,2022-02-12 18:10:00+00:00,99.45599999999999,TARGET,0.017556783302639545,8.778391651319772,0.017056783302639544,8.528391651319772,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-14 18:00:00+00:00,E0_RESTING_H,0.4,97.92,95.23,2.6899999999999977,2022-02-15 01:25:00+00:00,2022-02-15 01:25:00+00:00,2022-02-15 01:25:00+00:00,97.92,1.0,2022-02-15 01:30:00+00:00,98.996,TARGET,0.010988562091503118,5.494281045751559,0.010488562091503117,5.244281045751559,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-15 18:00:00+00:00,E0_RESTING_H,0.4,103.2,100.76,2.4399999999999977,2022-02-15 22:40:00+00:00,,2022-02-15 22:40:00+00:00,103.2,1.0,2022-02-15 23:35:00+00:00,104.176,TARGET,0.00945736434108535,4.728682170542675,0.00895736434108535,4.478682170542675,True,True,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-16 18:00:00+00:00,E0_RESTING_H,0.4,100.23,98.11,2.1200000000000045,2022-02-16 19:00:00+00:00,2022-02-16 19:05:00+00:00,2022-02-16 19:00:00+00:00,100.23,1.0,2022-02-16 19:15:00+00:00,101.078,TARGET,0.00846054075626057,4.230270378130285,0.00796054075626057,3.9802703781302853,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-20 18:00:00+00:00,E0_RESTING_H,0.4,91.5,87.37,4.1299999999999955,2022-02-20 18:10:00+00:00,2022-02-20 18:10:00+00:00,2022-02-20 18:10:00+00:00,91.5,1.0,2022-02-20 18:40:00+00:00,93.152,TARGET,0.01805464480874308,9.02732240437154,0.01755464480874308,8.77732240437154,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-22 18:00:00+00:00,E0_RESTING_H,0.4,87.6,83.71,3.8900000000000006,2022-02-23 00:15:00+00:00,2022-02-23 00:15:00+00:00,2022-02-23 00:15:00+00:00,87.6,1.0,2022-02-23 00:25:00+00:00,87.51,FAILED_BREAK,-0.001027397260273899,-0.5136986301369495,-0.001527397260273899,-0.7636986301369495,False,False,True,2022-02-23 00:20:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-02-24 18:00:00+00:00,E0_RESTING_H,0.4,86.8,80.17,6.6299999999999955,2022-02-24 18:50:00+00:00,2022-02-24 18:50:00+00:00,2022-02-24 18:50:00+00:00,86.8,1.0,2022-02-24 19:35:00+00:00,89.452,TARGET,0.030552995391704973,15.276497695852488,0.030052995391704973,15.026497695852486,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-01 18:00:00+00:00,E0_RESTING_H,0.4,102.02,96.03,5.989999999999995,2022-03-02 03:25:00+00:00,2022-03-02 03:30:00+00:00,2022-03-02 03:25:00+00:00,102.02,1.0,2022-03-02 03:40:00+00:00,104.416,TARGET,0.02348559106057646,11.74279553028823,0.02298559106057646,11.49279553028823,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-08 18:00:00+00:00,E0_RESTING_H,0.4,84.37,81.3,3.0700000000000074,2022-03-08 18:05:00+00:00,2022-03-08 18:05:00+00:00,2022-03-08 18:05:00+00:00,84.37,1.0,2022-03-08 18:25:00+00:00,84.17,FAILED_BREAK,-0.0023705108450871037,-1.1852554225435519,-0.0028705108450871038,-1.4352554225435519,False,False,True,2022-03-08 18:20:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-10 18:00:00+00:00,E0_RESTING_H,0.4,83.4,81.08,2.3200000000000074,2022-03-10 22:35:00+00:00,2022-03-10 22:35:00+00:00,2022-03-10 22:35:00+00:00,83.4,1.0,2022-03-10 22:45:00+00:00,83.23,FAILED_BREAK,-0.0020383693045563644,-1.0191846522781822,-0.0025383693045563645,-1.2691846522781822,False,False,True,2022-03-10 22:40:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-12 18:00:00+00:00,E0_RESTING_H,0.4,82.38,80.83,1.5499999999999972,2022-03-13 03:50:00+00:00,2022-03-13 03:55:00+00:00,2022-03-13 03:50:00+00:00,82.38,1.0,2022-03-13 04:05:00+00:00,83.0,TARGET,0.007526098567613548,3.763049283806774,0.007026098567613548,3.513049283806774,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-14 18:00:00+00:00,E0_RESTING_H,0.4,81.44,78.86,2.5799999999999983,2022-03-14 22:50:00+00:00,,2022-03-14 22:50:00+00:00,81.44,1.0,2022-03-15 05:55:00+00:00,79.84,TIME,-0.01964636542239684,-9.82318271119842,-0.02014636542239684,-10.07318271119842,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-15 18:00:00+00:00,E0_RESTING_H,0.4,82.84,79.9,2.9399999999999977,2022-03-15 18:00:00+00:00,,2022-03-15 18:00:00+00:00,82.84,1.0,2022-03-15 18:50:00+00:00,84.016,TARGET,0.014196040560115808,7.098020280057904,0.013696040560115808,6.848020280057904,True,True,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-16 18:00:00+00:00,E0_RESTING_H,0.4,84.97,83.32,1.6500000000000057,2022-03-16 19:10:00+00:00,2022-03-16 19:10:00+00:00,2022-03-16 19:10:00+00:00,84.97,1.0,2022-03-16 19:15:00+00:00,85.63,TARGET,0.007767447334353195,3.8837236671765973,0.007267447334353194,3.6337236671765973,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-17 18:00:00+00:00,E0_RESTING_H,0.4,90.76,88.65,2.1099999999999994,2022-03-17 19:45:00+00:00,2022-03-17 19:55:00+00:00,2022-03-17 19:45:00+00:00,90.76,1.0,2022-03-17 20:05:00+00:00,90.45,FAILED_BREAK,-0.003415601586602035,-1.7078007933010175,-0.0039156015866020355,-1.9578007933010177,False,False,True,2022-03-17 20:00:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-18 18:00:00+00:00,E0_RESTING_H,0.4,92.31,85.35,6.960000000000008,2022-03-19 00:50:00+00:00,,2022-03-19 00:50:00+00:00,92.31,1.0,2022-03-19 05:55:00+00:00,89.79,TIME,-0.02729931751706205,-13.649658758531025,-0.02779931751706205,-13.899658758531025,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-20 18:00:00+00:00,E0_RESTING_H,0.4,90.19,87.77,2.4200000000000017,2022-03-20 20:10:00+00:00,2022-03-20 20:10:00+00:00,2022-03-20 20:10:00+00:00,90.19,1.0,2022-03-20 20:20:00+00:00,89.87,FAILED_BREAK,-0.003548065195697947,-1.7740325978489735,-0.004048065195697947,-2.024032597848974,False,False,True,2022-03-20 20:15:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-21 18:00:00+00:00,E0_RESTING_H,0.4,90.1,87.39,2.7099999999999937,2022-03-22 02:25:00+00:00,2022-03-22 02:30:00+00:00,2022-03-22 02:25:00+00:00,90.1,1.0,2022-03-22 03:00:00+00:00,90.06,FAILED_BREAK,-0.0004439511653717698,-0.2219755826858849,-0.0009439511653717698,-0.4719755826858849,False,False,True,2022-03-22 02:55:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-23 18:00:00+00:00,E0_RESTING_H,0.4,96.35,91.91,4.439999999999998,2022-03-24 05:35:00+00:00,2022-03-24 05:35:00+00:00,2022-03-24 05:35:00+00:00,96.35,1.0,2022-03-24 05:55:00+00:00,96.97,TIME,0.006434872859366836,3.217436429683418,0.005934872859366835,2.967436429683418,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-24 18:00:00+00:00,E0_RESTING_H,0.4,102.73,99.82,2.910000000000011,2022-03-24 19:05:00+00:00,2022-03-24 19:05:00+00:00,2022-03-24 19:05:00+00:00,102.73,1.0,2022-03-24 19:50:00+00:00,102.68,FAILED_BREAK,-0.00048671274213951676,-0.24335637106975838,-0.0009867127421395168,-0.4933563710697584,False,False,True,2022-03-24 19:45:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-26 18:00:00+00:00,E0_RESTING_H,0.4,103.3,99.7,3.5999999999999943,2022-03-26 20:20:00+00:00,,2022-03-26 20:20:00+00:00,103.3,1.0,2022-03-27 05:55:00+00:00,101.47,TIME,-0.017715392061955493,-8.857696030977745,-0.018215392061955493,-9.107696030977747,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-03-27 18:00:00+00:00,E0_RESTING_H,0.4,102.0,100.1,1.9000000000000057,2022-03-27 18:00:00+00:00,2022-03-27 18:00:00+00:00,2022-03-27 18:00:00+00:00,102.0,1.0,2022-03-27 18:15:00+00:00,102.76,TARGET,0.0074509803921569695,3.7254901960784848,0.006950980392156969,3.4754901960784848,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-03 18:00:00+00:00,E0_RESTING_H,0.4,137.99,134.01,3.980000000000018,2022-04-03 22:00:00+00:00,2022-04-03 22:05:00+00:00,2022-04-03 22:00:00+00:00,137.99,1.0,2022-04-03 22:15:00+00:00,137.96,FAILED_BREAK,-0.00021740705848249942,-0.10870352924124971,-0.0007174070584824994,-0.3587035292412497,False,False,True,2022-04-03 22:10:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-04 18:00:00+00:00,E0_RESTING_H,0.4,133.75,125.69,8.060000000000002,2022-04-05 03:25:00+00:00,2022-04-05 03:30:00+00:00,2022-04-05 03:25:00+00:00,133.75,1.0,2022-04-05 03:40:00+00:00,133.39,FAILED_BREAK,-0.002691588785046828,-1.345794392523414,-0.003191588785046828,-1.595794392523414,False,False,True,2022-04-05 03:35:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-06 18:00:00+00:00,E0_RESTING_H,0.4,119.39,114.39,5.0,2022-04-06 18:00:00+00:00,2022-04-06 18:00:00+00:00,2022-04-06 18:00:00+00:00,119.39,1.0,2022-04-06 18:10:00+00:00,118.04,FAILED_BREAK,-0.011307479688416056,-5.653739844208028,-0.011807479688416056,-5.903739844208028,False,False,True,2022-04-06 18:05:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-07 18:00:00+00:00,E0_RESTING_H,0.4,117.53,111.66,5.8700000000000045,2022-04-07 18:35:00+00:00,2022-04-07 18:35:00+00:00,2022-04-07 18:35:00+00:00,117.53,1.0,2022-04-07 18:45:00+00:00,117.09,FAILED_BREAK,-0.0037437250063813154,-1.8718625031906577,-0.004243725006381316,-2.121862503190658,False,False,True,2022-04-07 18:40:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-09 18:00:00+00:00,E0_RESTING_H,0.4,111.75,109.2,2.549999999999997,2022-04-09 23:25:00+00:00,2022-04-09 23:30:00+00:00,2022-04-09 23:25:00+00:00,111.75,1.0,2022-04-09 23:30:00+00:00,112.77,TARGET,0.009127516778523415,4.563758389261707,0.008627516778523414,4.313758389261707,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-10 18:00:00+00:00,E0_RESTING_H,0.4,114.87,110.56,4.310000000000002,2022-04-10 18:00:00+00:00,2022-04-10 18:00:00+00:00,2022-04-10 18:00:00+00:00,114.87,1.0,2022-04-10 18:50:00+00:00,114.84,FAILED_BREAK,-0.0002611647949856133,-0.13058239749280665,-0.0007611647949856133,-0.38058239749280665,False,False,True,2022-04-10 18:45:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-13 18:00:00+00:00,E0_RESTING_H,0.4,105.97,102.46,3.510000000000005,2022-04-14 01:20:00+00:00,2022-04-14 01:20:00+00:00,2022-04-14 01:20:00+00:00,105.97,1.0,2022-04-14 03:10:00+00:00,105.8,FAILED_BREAK,-0.0016042276115881826,-0.8021138057940913,-0.0021042276115881826,-1.0521138057940913,False,False,True,2022-04-14 03:05:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-18 18:00:00+00:00,E0_RESTING_H,0.4,101.18,97.01,4.170000000000002,2022-04-18 18:00:00+00:00,2022-04-18 18:00:00+00:00,2022-04-18 18:00:00+00:00,101.18,1.0,2022-04-18 18:15:00+00:00,101.11,FAILED_BREAK,-0.0006918363312908848,-0.3459181656454424,-0.0011918363312908849,-0.5959181656454424,False,False,True,2022-04-18 18:10:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-19 18:00:00+00:00,E0_RESTING_H,0.4,108.56,105.27,3.2900000000000063,2022-04-19 22:35:00+00:00,,2022-04-19 22:35:00+00:00,108.56,1.0,2022-04-20 05:55:00+00:00,107.97,TIME,-0.005434782608695676,-2.717391304347838,-0.005934782608695677,-2.9673913043478386,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-22 18:00:00+00:00,E0_RESTING_H,0.4,101.57,99.17,2.3999999999999915,2022-04-22 19:15:00+00:00,,2022-04-22 19:15:00+00:00,101.57,1.0,2022-04-23 04:25:00+00:00,98.73,REFERENCE_INVALIDATION,-0.027961012109874894,-13.980506054937447,-0.028461012109874895,-14.230506054937447,False,False,False,2022-04-23 04:20:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-25 18:00:00+00:00,E0_RESTING_H,0.4,99.23,96.18,3.049999999999997,2022-04-25 18:45:00+00:00,2022-04-25 18:45:00+00:00,2022-04-25 18:45:00+00:00,99.23,1.0,2022-04-25 18:50:00+00:00,100.45,TARGET,0.012294668950922016,6.147334475461008,0.011794668950922016,5.897334475461008,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-04-28 18:00:00+00:00,E0_RESTING_H,0.4,100.12,96.23,3.8900000000000006,2022-04-28 18:00:00+00:00,,2022-04-28 18:00:00+00:00,100.12,1.0,2022-04-29 05:55:00+00:00,97.52,TIME,-0.0259688373951259,-12.98441869756295,-0.0264688373951259,-13.23441869756295,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-05-04 18:00:00+00:00,E0_RESTING_H,0.4,88.31,86.24,2.0700000000000074,2022-05-04 18:45:00+00:00,2022-05-04 18:45:00+00:00,2022-05-04 18:45:00+00:00,88.31,1.0,2022-05-04 18:50:00+00:00,89.138,TARGET,0.009376061601177765,4.688030800588883,0.008876061601177765,4.438030800588883,True,True,True,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-05-09 18:00:00+00:00,E0_RESTING_H,0.4,71.76,64.83,6.930000000000007,2022-05-10 05:45:00+00:00,,2022-05-10 05:45:00+00:00,71.76,1.0,2022-05-10 05:55:00+00:00,70.93,TIME,-0.011566332218506115,-5.783166109253058,-0.012066332218506115,-6.033166109253058,False,False,False,,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-05-12 18:00:00+00:00,E0_RESTING_H,0.4,49.36,42.94,6.420000000000002,2022-05-13 03:05:00+00:00,2022-05-13 03:05:00+00:00,2022-05-13 03:05:00+00:00,49.36,1.0,2022-05-13 03:20:00+00:00,49.09,FAILED_BREAK,-0.005470016207455353,-2.7350081037276763,-0.005970016207455353,-2.9850081037276768,False,False,True,2022-05-13 03:15:00+00:00,CENTRAL,FROZEN_WINNER
development,0,240,18,2022-05-14 18:00:00+00:00,E0_RESTING_H,0.4,48.94,45.75,3.1899999999999977,2022-05-14 18:00:00+00:00,2022-05-14 18:05:00+00:00,2022-05-14 18:00:00+00:00,48.94,1.0,2022-05-14 18:10:00+00:00,50.215999999999994,TARGET,0.026072742133224303,13.036371066612151,0.025572742133224302,12.786371066612151,True,True,True,,CENTRAL,FROZEN_WINNER
