role,partition,loss_class,n,share_losers,gross_loss_dollars,share_gross_loss,mean_loss_dollars,median_loss_dollars,median_mfe_R,median_mae_R,median_hold_min,median_entry_to_break_min,median_break_to_fail_min
CENTRAL,development,L0_NEVER_BREAK_REFERENCE_INVALIDATION,37,0.10850439882697947,571.5310455808984,0.464178894318582,15.446785015699957,13.995613260319118,0.07317073170731478,1.2142857142857149,195.0,,
CENTRAL,development,L1_NEVER_BREAK_TIME,59,0.17302052785923755,422.22932511369265,0.34292090131508557,7.15642923921513,6.16844602609723,0.06880733944953962,0.5192629815745377,435.0,,
CENTRAL,development,L2_BREAK_FAST_FAIL_5M,116,0.34017595307917886,122.99536465361548,0.09989282789213744,1.0603048677035818,0.84012466288369,0.11363760420708412,0.16984057199307417,10.0,0.0,5.0
CENTRAL,development,L3_BREAK_FAST_FAIL_10M,41,0.12023460410557185,41.612890847710744,0.03379663416789162,1.0149485572612376,0.6155740227762885,0.14285714285714537,0.162251655629131,15.0,0.0,10.0
CENTRAL,development,L4_BREAK_FAIL_30M,56,0.16422287390029325,47.58605266622285,0.03864784158687769,0.8497509404682652,0.6312524175140777,0.2088763709788422,0.15142557842958915,25.0,0.0,20.0
CENTRAL,development,L5_BREAK_FAIL_LATE,32,0.093841642228739,25.318549146018718,0.02056290071942582,0.7912046608130849,0.46823469788828675,0.305215678196621,0.12967335694608578,62.5,0.0,57.5
CENTRAL,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,14,0.08045977011494253,355.970969861049,0.4725152757454845,25.426497847217785,19.778720348969294,0.05829557337051306,1.296116875720581,192.5,,
CENTRAL,external,L1_NEVER_BREAK_TIME,16,0.09195402298850575,153.98160149710822,0.20439492276445542,9.623850093569263,9.44227363796124,0.12367385700719066,0.6461741961741954,462.5,,
CENTRAL,external,L2_BREAK_FAST_FAIL_5M,54,0.3103448275862069,78.08992168077027,0.1036564326870127,1.446109660755005,0.925754668566009,0.08864786446113786,0.1728531444475701,10.0,0.0,5.0
CENTRAL,external,L3_BREAK_FAST_FAIL_10M,27,0.15517241379310345,68.96890024971097,0.09154920394793949,2.5544037129522583,1.2210316471468197,0.1491712707182354,0.1700680272108845,15.0,0.0,10.0
CENTRAL,external,L4_BREAK_FAIL_30M,37,0.21264367816091953,65.6862006647797,0.08719175395652908,1.7753027206697218,1.011145065612118,0.20104323780794617,0.1653543307086609,30.0,0.0,20.0
CENTRAL,external,L5_BREAK_FAIL_LATE,26,0.14942528735632185,30.655764410363222,0.040692410898578724,1.179067861937047,0.7612524937555543,0.2612885472601095,0.12002338392183835,50.0,0.0,40.0
CENTRAL,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,17,0.08585858585858586,167.53966317356665,0.33602155392467137,9.85527430432745,9.019477644975629,0.04965357967667517,1.3083333333333245,185.0,,
CENTRAL,reference_validation,L1_NEVER_BREAK_TIME,36,0.18181818181818182,229.37727381630938,0.46004454421585367,6.371590939341927,5.145779395519773,0.09761904761904311,0.5889292929292915,555.0,,
CENTRAL,reference_validation,L2_BREAK_FAST_FAIL_5M,59,0.29797979797979796,49.661156602977314,0.09960160295978018,0.8417145186945307,0.4890678941312232,0.08980582524271945,0.13749999999999857,10.0,0.0,5.0
CENTRAL,reference_validation,L3_BREAK_FAST_FAIL_10M,22,0.1111111111111111,7.897721775176947,0.01583985960751515,0.35898735341713395,0.2822040641631274,0.15388744631978246,0.12173831775700525,15.0,0.0,10.0
CENTRAL,reference_validation,L4_BREAK_FAIL_30M,45,0.22727272727272727,30.059782185556877,0.06028861780725847,0.6679951596790417,0.4851341049275093,0.19795918367347007,0.13725490196078444,25.0,0.0,20.0
CENTRAL,reference_validation,L5_BREAK_FAIL_LATE,19,0.09595959595959595,14.062368013601779,0.028203821484920982,0.7401246322948305,0.4485310607759696,0.27777777777777374,0.1296296296296295,55.0,0.0,50.0
CLOCK_SUPPORT,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,18,0.09944751381215469,370.713313473316,0.5024560415287646,20.59518408185089,19.458917232853757,0.0740657343248535,1.3289663314117515,192.5,,
CLOCK_SUPPORT,external,L1_NEVER_BREAK_TIME,15,0.08287292817679558,133.83919315121605,0.18140247125762937,8.922612876747737,6.618527739654379,0.08536155202822002,0.7060051228536202,510.0,,
CLOCK_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,58,0.32044198895027626,72.58532955557156,0.0983804358679406,1.2514711992339924,0.998956009148344,0.09662770150396502,0.14940679578787583,10.0,0.0,5.0
CLOCK_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,29,0.16022099447513813,75.526104085409,0.10236629198798819,2.6043484167382416,1.428921368498426,0.10745856353591139,0.1591919191919213,15.0,0.0,10.0
CLOCK_SUPPORT,external,L4_BREAK_FAIL_30M,38,0.20994475138121546,59.53547489644915,0.08069297206170661,1.5667230235907672,1.1539114203291678,0.1835801700661891,0.18097171751340368,25.0,0.0,20.0
CLOCK_SUPPORT,external,L5_BREAK_FAIL_LATE,23,0.1270718232044199,25.603064723422268,0.034701787295970656,1.113176727105316,0.81582994351731,0.31477261468344636,0.12443059218412814,65.0,0.0,55.0
CLOCK_SUPPORT,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,12,0.06486486486486487,133.68043708097468,0.33462423552895465,11.140036423414557,10.970483931702468,0.10826086956522313,1.384245187436676,175.0,,
CLOCK_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,28,0.15135135135135136,160.40484977927508,0.4015198588856632,5.7287446349741105,4.947371568252729,0.13081700985070285,0.6000882630238116,445.0,,
CLOCK_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,57,0.3081081081081081,46.194366003385774,0.11563213546544901,0.81042747374361,0.4980699788320053,0.10365853658537003,0.1388235294117655,10.0,0.0,5.0
CLOCK_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,28,0.15135135135135136,14.70402535323023,0.03680660648979349,0.5251437626153653,0.31843673274711826,0.14227930023258142,0.18760782058654185,15.0,0.0,10.0
CLOCK_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,46,0.24864864864864866,37.38926010580462,0.09359149964717403,0.8128100023001004,0.5423620517421845,0.20433401406852597,0.14366121683195188,25.0,0.0,20.0
CLOCK_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,14,0.07567567567567568,7.121249149018071,0.017825663982965312,0.5086606535012909,0.23512557917446106,0.2908085173430556,0.1348138313921896,52.5,0.0,47.5
REF_SUPPORT,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,20,0.1111111111111111,450.7509396643104,0.5533040247766823,22.53754698321552,18.956316635897338,0.06486253634671174,1.383618496759735,162.5,,
REF_SUPPORT,external,L1_NEVER_BREAK_TIME,13,0.07222222222222222,141.03337531153917,0.17312073546830503,10.848721177810706,11.568914956011756,0.06677393403057288,0.7358129649309249,490.0,,
REF_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,57,0.31666666666666665,74.04370241567082,0.09088983505274197,1.2990123230819441,0.7287244154362549,0.0944372574385492,0.19428891377380075,10.0,0.0,5.0
REF_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,26,0.14444444444444443,62.00169116711234,0.07610807265598342,2.384680429504321,1.1317816230013988,0.16108162135148424,0.19646044081545516,15.0,0.0,10.0
REF_SUPPORT,external,L4_BREAK_FAIL_30M,36,0.2,55.27378063582399,0.06784945431994266,1.5353827954395554,0.9737090191021814,0.20214322925450767,0.17307080374225886,27.5,0.0,20.0
REF_SUPPORT,external,L5_BREAK_FAIL_LATE,28,0.15555555555555556,31.549792690194092,0.038727877726344596,1.1267783103640747,0.7486536895398854,0.3090928912199687,0.13942648259562726,52.5,0.0,45.0
REF_SUPPORT,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,21,0.1044776119402985,226.34253659352896,0.4706719095436215,10.778216028263284,9.432114882506504,0.08196721311474951,1.2017167381974234,170.0,,
REF_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,30,0.14925373134328357,151.6311879132744,0.31531210101119345,5.05437293044248,3.855839760496832,0.10275835275835651,0.5889418006587346,487.5,,
REF_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,64,0.31840796019900497,52.93043733602037,0.11006711504105302,0.8270380833753183,0.49356893648161426,0.10815397268961804,0.18790243283535069,10.0,0.0,5.0
REF_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,25,0.12437810945273632,10.942833109175432,0.022755263914719312,0.43771332436701726,0.3473830477072614,0.15831134564643623,0.12268518518518565,15.0,0.0,10.0
REF_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,45,0.22388059701492538,31.332574280867778,0.06515506448607601,0.6962794284637284,0.4943886883868598,0.20049504950495003,0.15163934426229708,25.0,0.0,20.0
REF_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,16,0.07960199004975124,7.712814621096076,0.016038546003336783,0.48205091381850473,0.4177812735359776,0.29146341463414793,0.1076772424598527,65.0,0.0,57.5
