role,partition,dev_block,execution_start,parent_entry_ts,parent_exit_ts,loss_class,H,L,R,parent_pnl,parent_pnl_5bps,h2_eligible,h2_recovery_entry_ts,h2_recovery_exit_ts,h2_recovery_reason,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl,episode_pnl_5bps,episode_class,latent_target_recovered,latent_recovery_min,latent_target_visit
CENTRAL,development,0.0,2022-01-01 18:00:00+00:00,2022-01-01 18:55:00+00:00,2022-01-01 19:35:00+00:00,WIN,175.48,172.0,3.4799999999999898,3.9662639617050734,3.7162639617050734,False,,,NONE,0.0,0.0,3.9662639617050734,3.7162639617050734,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,2022-01-06 20:20:00+00:00,L5_BREAK_FAIL_LATE,152.7,147.25,5.449999999999989,-2.783235101506188,-3.033235101506188,False,,,NONE,0.0,0.0,-2.783235101506188,-3.033235101506188,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,2022-01-07 20:00:00+00:00,2022-01-07 20:10:00+00:00,L2_BREAK_FAST_FAIL_5M,140.65,132.98,7.670000000000016,-0.8531816565944261,-1.103181656594426,True,2022-01-08 01:00:00+00:00,2022-01-08 01:25:00+00:00,FAILED_BREAK,-0.7109847138286884,-0.9609847138286884,-1.5641663704231146,-2.0641663704231146,RESIDUAL_LATENT_RECOVERABLE,True,645.0,3.0
CENTRAL,development,0.0,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,2022-01-08 22:35:00+00:00,L4_BREAK_FAIL_30M,146.15,135.0,11.150000000000006,-3.284296955183064,-3.534296955183064,True,2022-01-08 22:40:00+00:00,2022-01-08 22:50:00+00:00,FAILED_BREAK,-4.105371193978858,-4.355371193978858,-7.389668149161922,-7.889668149161922,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,2022-01-09 18:25:00+00:00,L2_BREAK_FAST_FAIL_5M,144.71,137.83,6.879999999999996,-0.0691037246908221,-0.3191037246908221,True,2022-01-09 19:25:00+00:00,2022-01-09 19:50:00+00:00,FAILED_BREAK,0.10365558703617772,-0.14634441296382228,0.03455186234535562,-0.4654481376546444,H2_ECONOMIC_RESCUE,False,,
CENTRAL,development,0.0,2022-01-10 18:00:00+00:00,2022-01-11 04:00:00+00:00,2022-01-11 04:10:00+00:00,L2_BREAK_FAST_FAIL_5M,137.5,129.45,8.050000000000011,-1.5999999999999903,-1.8499999999999903,True,2022-01-11 08:00:00+00:00,2022-01-11 08:30:00+00:00,FAILED_BREAK,-1.2363636363636465,-1.4863636363636465,-2.836363636363637,-3.336363636363637,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,2022-01-12 05:55:00+00:00,L1_NEVER_BREAK_TIME,143.02,135.01,8.01000000000002,-9.683960285274797,-9.933960285274797,False,,,NONE,0.0,0.0,-9.683960285274797,-9.933960285274797,RESIDUAL_LATENT_RECOVERABLE,True,470.0,4.0
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,2022-01-12 19:50:00+00:00,2022-01-12 20:05:00+00:00,L2_BREAK_FAST_FAIL_5M,152.13,145.52,6.609999999999985,-0.3943995267206013,-0.6443995267206013,True,2022-01-12 20:25:00+00:00,2022-01-12 20:40:00+00:00,FAILED_BREAK,-0.953132189574657,-1.203132189574657,-1.3475317162952583,-1.8475317162952583,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,2022-01-14 20:00:00+00:00,L4_BREAK_FAIL_30M,148.55,142.89,5.660000000000025,-1.0770784247728926,-1.3270784247728926,False,,,NONE,0.0,0.0,-1.0770784247728926,-1.3270784247728926,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,2022-01-15 20:10:00+00:00,2022-01-15 20:25:00+00:00,L2_BREAK_FAST_FAIL_5M,148.83,145.0,3.830000000000013,-0.4367399045892006,-0.6867399045892006,True,2022-01-16 07:05:00+00:00,2022-01-16 07:20:00+00:00,FAILED_BREAK,-0.7390983000739038,-0.9890983000739038,-1.1758382046631044,-1.6758382046631044,RESIDUAL_LATENT_RECOVERABLE,True,700.0,3.0
CENTRAL,development,0.0,2022-01-18 18:00:00+00:00,2022-01-18 21:10:00+00:00,2022-01-18 21:15:00+00:00,WIN,137.82,134.24,3.579999999999984,5.195182121607855,4.945182121607855,False,,,NONE,0.0,0.0,5.195182121607855,4.945182121607855,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-01-24 18:00:00+00:00,2022-01-24 18:05:00+00:00,2022-01-24 18:25:00+00:00,L3_BREAK_FAST_FAIL_10M,90.14,80.83,9.310000000000002,-4.714887952074531,-4.964887952074531,True,2022-01-24 18:45:00+00:00,2022-01-24 18:55:00+00:00,FAILED_BREAK,-0.4992234302196863,-0.7492234302196863,-5.214111382294218,-5.714111382294218,RESIDUAL_LATENT_RECOVERABLE,True,120.0,3.0
CENTRAL,development,0.0,2022-01-25 18:00:00+00:00,2022-01-25 18:30:00+00:00,2022-01-25 18:45:00+00:00,L3_BREAK_FAST_FAIL_10M,97.92,90.5,7.420000000000002,-1.4808006535947935,-1.7308006535947935,False,,,NONE,0.0,0.0,-1.4808006535947935,-1.7308006535947935,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-01-26 18:00:00+00:00,2022-01-26 19:00:00+00:00,2022-01-26 19:05:00+00:00,WIN,101.97,97.43,4.539999999999992,8.904579778366228,8.654579778366228,False,,,NONE,0.0,0.0,8.904579778366228,8.654579778366228,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-01-28 18:00:00+00:00,2022-01-28 18:30:00+00:00,2022-01-28 18:40:00+00:00,L2_BREAK_FAST_FAIL_5M,92.7,88.16,4.540000000000006,-3.721682847896424,-3.971682847896424,True,2022-01-28 20:40:00+00:00,2022-01-28 21:40:00+00:00,FAILED_BREAK,-0.4854368932039055,-0.7354368932039055,-4.20711974110033,-4.70711974110033,RESIDUAL_LATENT_RECOVERABLE,True,670.0,5.0
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,2022-01-31 20:00:00+00:00,2022-01-31 20:10:00+00:00,L2_BREAK_FAST_FAIL_5M,98.77,91.13,7.640000000000001,-4.45479396577908,-4.70479396577908,True,2022-01-31 21:05:00+00:00,2022-01-31 21:20:00+00:00,FAILED_BREAK,-0.7593398805305074,-1.0093398805305074,-5.214133846309588,-5.714133846309588,RESIDUAL_LATENT_RECOVERABLE,True,315.0,2.0
