role,partition,dev_block,execution_start,episode_class,loss_class,H,L,R,h2_exit_ts,has_reclaim,reclaim_ts,reclaim_min,initial_consecutive_closes_above_H,first_failure_min,max_close_R_before_first_failure,max_high_R_before_first_failure,max_adverse_R_before_first_failure,E40_before_first_failure,E40_eventually_after_reclaim,reclaim_failure_cycles
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,140.65,132.98,7.670000000000016,2022-01-08 01:25:00+00:00,True,2022-01-08 01:25:00+00:00,0.0,1.0,5.0,0.010430247718381214,0.026075619295956743,0.07040417209908617,False,True,3.0
CENTRAL,development,0.0,2022-01-08 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L4_BREAK_FAIL_30M,146.15,135.0,11.150000000000006,2022-01-08 22:50:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,0.0,2022-01-10 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,137.5,129.45,8.050000000000011,2022-01-11 08:30:00+00:00,True,2022-01-11 14:00:00+00:00,330.0,1.0,5.0,0.01242236024844648,0.02857142857142726,0.11677018633540327,False,False,3.0
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,152.13,145.52,6.609999999999985,2022-01-12 20:40:00+00:00,True,2022-01-12 20:40:00+00:00,0.0,3.0,15.0,0.027231467473526054,0.07564296520423618,0.08472012102874486,False,False,7.0
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,148.83,145.0,3.830000000000013,2022-01-16 07:20:00+00:00,True,2022-01-16 07:30:00+00:00,10.0,11.0,,0.42297650130547537,0.4934725848563916,0.09660574412532723,True,True,1.0
CENTRAL,development,0.0,2022-01-24 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,90.14,80.83,9.310000000000002,2022-01-24 18:55:00+00:00,True,2022-01-24 20:20:00+00:00,85.0,54.0,270.0,0.6025778732545648,0.645542427497315,0.1009667024704616,True,True,4.0
CENTRAL,development,0.0,2022-01-28 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,92.7,88.16,4.540000000000006,2022-01-28 21:40:00+00:00,True,2022-01-28 21:40:00+00:00,0.0,1.0,5.0,0.008810572687222904,0.05947136563876556,0.05066079295154266,False,True,5.0
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,98.77,91.13,7.640000000000001,2022-01-31 21:20:00+00:00,True,2022-01-31 21:20:00+00:00,0.0,130.0,,1.1178010471204196,1.1924083769633507,0.03534031413612513,True,True,1.0
CENTRAL,development,0.0,2022-02-22 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,87.6,83.71,3.890000000000001,2022-02-23 02:25:00+00:00,True,2022-02-23 04:40:00+00:00,135.0,2.0,10.0,0.07712082262211087,0.13110539845758482,0.059125964010280134,False,True,2.0
CENTRAL,development,0.0,2022-03-18 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L1_NEVER_BREAK_TIME,92.31,85.35,6.960000000000008,2022-03-19 17:50:00+00:00,True,2022-03-19 17:50:00+00:00,0.0,1.0,,0.12212643678160824,0.14511494252873416,0.0,False,False,1.0
CENTRAL,development,0.0,2022-03-24 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L5_BREAK_FAIL_LATE,102.73,99.82,2.910000000000011,2022-03-24 22:50:00+00:00,True,2022-03-25 01:25:00+00:00,155.0,22.0,110.0,0.4982817869415799,0.7147766323024023,0.0790378006872863,True,True,2.0
CENTRAL,development,0.0,2022-04-03 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,137.99,134.01,3.980000000000018,2022-04-04 10:10:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,0.0,2022-04-04 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,133.75,125.69,8.060000000000002,2022-04-05 05:15:00+00:00,True,2022-04-05 11:15:00+00:00,360.0,1.0,5.0,0.017369727047144703,0.07444168734491242,0.03598014888337369,False,False,2.0
CENTRAL,development,0.0,2022-04-06 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,119.39,114.39,5.0,2022-04-06 23:45:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,0.0,2022-04-07 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,117.53,111.66,5.8700000000000045,2022-04-07 19:05:00+00:00,True,2022-04-07 19:05:00+00:00,0.0,2.0,10.0,0.03577512776831236,0.12436115843270927,0.05451448040885982,False,True,5.0
CENTRAL,development,0.0,2022-04-10 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L5_BREAK_FAIL_LATE,114.87,110.56,4.310000000000002,2022-04-10 20:20:00+00:00,True,2022-04-10 20:20:00+00:00,0.0,4.0,20.0,0.048723897911831474,0.09744779582366624,0.037122969837589496,False,False,1.0
CENTRAL,development,0.0,2022-04-18 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,101.18,97.01,4.170000000000002,2022-04-18 20:25:00+00:00,True,2022-04-18 20:25:00+00:00,0.0,1.0,5.0,0.03597122302158067,0.07913669064748158,0.01678657074340704,False,True,2.0
CENTRAL,development,0.0,2022-05-09 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L1_NEVER_BREAK_TIME,71.76,64.83,6.930000000000007,2022-05-10 06:55:00+00:00,True,2022-05-10 12:15:00+00:00,320.0,17.0,85.0,0.3145743145743132,0.32178932178932,0.07936507936508093,False,False,2.0
CENTRAL,development,0.0,2022-05-15 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,54.78,52.16,2.6200000000000045,2022-05-15 19:30:00+00:00,True,2022-05-15 19:45:00+00:00,15.0,124.0,620.0,1.5954198473282415,1.721374045801523,0.2977099236641221,True,True,1.0
CENTRAL,development,0.0,2022-05-16 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,54.88,51.8,3.0800000000000054,2022-05-16 21:55:00+00:00,True,2022-05-16 21:55:00+00:00,0.0,6.0,30.0,0.14610389610389446,0.21103896103896022,0.09090909090909112,False,True,4.0
CENTRAL,development,0.0,2022-06-02 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,41.24,39.92,1.3200000000000005,2022-06-02 23:35:00+00:00,True,2022-06-03 01:50:00+00:00,135.0,6.0,30.0,0.14393939393939217,0.2121212121212129,0.14393939393939753,False,False,4.0
CENTRAL,development,0.0,2022-06-17 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L4_BREAK_FAIL_30M,31.84,30.79,1.0500000000000007,2022-06-17 23:55:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,0.0,2022-06-26 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L3_BREAK_FAST_FAIL_10M,41.26,39.88,1.3799999999999957,2022-06-27 08:55:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-07-04 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,35.14,33.75,1.3900000000000006,2022-07-04 21:30:00+00:00,True,2022-07-04 21:30:00+00:00,0.0,133.0,665.0,1.3093525179856111,1.3165467625899263,0.11510791366906736,True,True,1.0
CENTRAL,development,1.0,2022-07-08 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L4_BREAK_FAIL_30M,38.99,36.44,2.5500000000000043,2022-07-08 19:25:00+00:00,True,2022-07-08 19:25:00+00:00,0.0,1.0,5.0,0.007843137254900387,0.05098039215686088,0.04705882352941347,False,False,3.0
CENTRAL,development,1.0,2022-07-10 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L3_BREAK_FAST_FAIL_10M,37.2,36.24,0.9600000000000009,2022-07-10 21:50:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-07-13 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,34.14,32.32,1.8200000000000005,2022-07-13 22:40:00+00:00,True,2022-07-13 22:50:00+00:00,10.0,1.0,5.0,0.010989010989008799,0.027472527472525904,0.04395604395604301,False,True,2.0
CENTRAL,development,1.0,2022-07-14 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,36.62,33.69,2.93,2022-07-14 21:30:00+00:00,True,2022-07-14 21:30:00+00:00,0.0,4.0,20.0,0.14675767918088728,0.23549488054607673,0.07167235494880575,False,True,4.0
CENTRAL,development,1.0,2022-07-21 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,43.68,40.83,2.8500000000000014,2022-07-21 20:20:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-07-26 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,35.74,34.87,0.8700000000000045,2022-07-26 23:35:00+00:00,True,2022-07-26 23:35:00+00:00,0.0,48.0,240.0,0.551724137931028,0.701149425287352,0.05747126436782069,True,True,2.0
CENTRAL,development,1.0,2022-07-28 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L5_BREAK_FAIL_LATE,42.96,39.53,3.43,2022-07-29 00:20:00+00:00,True,2022-07-29 01:00:00+00:00,40.0,1.0,5.0,0.023323615160349354,0.04081632653061241,0.02623906705539458,False,True,10.0
CENTRAL,development,1.0,2022-08-06 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L5_BREAK_FAIL_LATE,40.6,39.83,0.7700000000000031,2022-08-06 22:20:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-09-04 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,31.92,31.43,0.490000000000002,2022-09-04 22:50:00+00:00,True,2022-09-04 23:25:00+00:00,35.0,70.0,350.0,0.9387755102040796,1.1836734693877469,0.14285714285714285,True,True,1.0
CENTRAL,development,1.0,2022-09-05 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,32.01,31.37,0.639999999999997,2022-09-05 21:50:00+00:00,True,2022-09-05 21:50:00+00:00,0.0,3.0,15.0,0.12500000000000902,0.187500000000008,0.06249999999999896,False,True,3.0
CENTRAL,development,1.0,2022-09-10 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L5_BREAK_FAIL_LATE,34.81,34.27,0.5399999999999991,2022-09-10 21:15:00+00:00,True,2022-09-10 21:45:00+00:00,30.0,71.0,355.0,1.0,1.0925925925925875,0.18518518518518812,True,True,3.0
CENTRAL,development,1.0,2022-09-19 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,32.5,31.65,0.8500000000000014,2022-09-20 01:40:00+00:00,True,2022-09-20 02:25:00+00:00,45.0,2.0,10.0,0.0705882352941202,0.12941176470588148,0.1058823529411803,False,False,2.0
CENTRAL,development,1.0,2022-09-26 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,33.41,32.67,0.7399999999999949,2022-09-26 21:25:00+00:00,True,2022-09-26 21:25:00+00:00,0.0,4.0,20.0,0.08108108108108471,0.16216216216216942,0.16216216216215984,False,True,3.0
CENTRAL,development,1.0,2022-10-05 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L5_BREAK_FAIL_LATE,34.04,33.15,0.8900000000000006,2022-10-06 00:00:00+00:00,True,2022-10-06 00:00:00+00:00,0.0,83.0,415.0,0.4494382022471891,0.49438202247190727,0.044943820224718115,True,True,1.0
CENTRAL,development,1.0,2022-10-07 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,33.06,32.6,0.4600000000000008,2022-10-07 23:05:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-10-21 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,28.0,27.1,0.8999999999999986,2022-10-21 21:40:00+00:00,True,2022-10-21 21:45:00+00:00,5.0,1.0,5.0,0.044444444444443565,0.044444444444443565,0.16666666666666535,False,False,3.0
CENTRAL,development,1.0,2022-10-28 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,32.29,30.68,1.6099999999999994,2022-10-28 21:05:00+00:00,True,2022-10-28 21:10:00+00:00,5.0,2.0,10.0,0.01242236024844915,0.03105590062112067,0.031055900621116257,False,True,3.0
CENTRAL,development,1.0,2022-11-28 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L4_BREAK_FAIL_30M,13.807,12.993,0.8140000000000001,2022-11-29 09:15:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-12-15 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L4_BREAK_FAIL_30M,14.158,13.87,0.2880000000000002,2022-12-16 02:45:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-12-19 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L5_BREAK_FAIL_LATE,12.318,11.91,0.4079999999999995,2022-12-20 16:10:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,1.0,2022-12-22 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L0_NEVER_BREAK_REFERENCE_INVALIDATION,12.032,11.709,0.3230000000000004,2022-12-23 03:35:00+00:00,True,2022-12-23 03:35:00+00:00,0.0,1.0,5.0,0.02167182662538596,0.030959752321980727,0.03405572755417715,False,False,1.0
CENTRAL,development,1.0,2022-12-24 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,11.44,11.287,0.1529999999999987,2022-12-24 21:35:00+00:00,True,2022-12-25 00:15:00+00:00,160.0,16.0,80.0,0.2287581699346434,0.2810457516339961,0.13071895424836436,False,True,3.0
CENTRAL,development,2.0,2023-01-03 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L1_NEVER_BREAK_TIME,13.879,11.947,1.9320000000000004,2023-01-04 07:10:00+00:00,True,2023-01-04 07:30:00+00:00,20.0,7.0,35.0,0.11904761904761925,0.16614906832298118,0.07505175983436829,False,False,1.0
CENTRAL,development,2.0,2023-01-05 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,13.395,13.027,0.3680000000000003,2023-01-06 00:05:00+00:00,True,2023-01-06 00:30:00+00:00,25.0,16.0,80.0,0.3315217391304342,0.4456521739130423,0.029891304347823975,True,True,1.0
CENTRAL,development,2.0,2023-01-06 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,13.3,12.89,0.4100000000000001,2023-01-06 19:30:00+00:00,True,2023-01-06 19:35:00+00:00,5.0,5.0,25.0,0.20243902439023997,0.24390243902438932,0.02439024390244283,False,True,13.0
CENTRAL,development,2.0,2023-02-07 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L0_NEVER_BREAK_REFERENCE_INVALIDATION,23.7,22.742,0.9579999999999984,2023-02-07 23:00:00+00:00,True,2023-02-07 23:00:00+00:00,0.0,77.0,385.0,0.4843423799582494,0.5636743215031316,0.06263048016701338,True,True,3.0
CENTRAL,development,2.0,2023-02-21 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,25.449,24.704,0.745000000000001,2023-02-21 21:30:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,2.0,2023-02-25 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,22.614,22.2,0.4140000000000015,2023-02-26 05:55:00+00:00,True,2023-02-26 06:45:00+00:00,50.0,73.0,365.0,0.777777777777773,0.8357487922705287,0.05072463768116116,True,True,3.0
CENTRAL,development,2.0,2023-03-11 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,17.708,16.97,0.7379999999999995,2023-03-11 19:10:00+00:00,True,2023-03-11 19:25:00+00:00,15.0,129.0,,0.5460704607046104,0.6666666666666683,0.0027100271002695026,True,True,1.0
