role,partition,episode_class,snapshot_min,n,close_R_q25,close_R_q50,close_R_q75,running_mfe_R_q25,running_mfe_R_q50,running_mfe_R_q75,running_mae_R_q25,running_mae_R_q50,running_mae_R_q75,closes_above_H_q25,closes_above_H_q50,closes_above_H_q75,closes_le_H_q25,closes_le_H_q50,closes_le_H_q75,fraction_closes_above_H_q25,fraction_closes_above_H_q50,fraction_closes_above_H_q75,failed_by_snapshot_rate,E10_by_snapshot_rate,E20_by_snapshot_rate
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,5,93,0.022126816380449207,0.06519152985962424,0.145588235294118,0.07999999999999692,0.13609467455621085,0.20102871838834185,0.03534031413612513,0.05865921787709712,0.1004901960784324,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1935483870967742,0.6881720430107527,0.25806451612903225
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,10,93,0.007352941176470876,0.08021390374331881,0.17175572519083776,0.108951707891639,0.17714672075726826,0.29778051787916404,0.04010695187165735,0.06488549618320665,0.10696761530912416,2.0,3.0,3.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.3010752688172043,0.8064516129032258,0.3870967741935484
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,15,93,0.0006684491978603543,0.09580364212193382,0.20408163265306328,0.12436115843270927,0.1987179487179511,0.3059701492537267,0.04347826086956541,0.07748907794895146,0.11422845691382673,3.0,4.0,4.0,0.0,0.0,1.0,0.75,1.0,1.0,0.3655913978494624,0.8387096774193549,0.4838709677419355
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,30,93,-0.010000000000002274,0.11161473087818893,0.3091603053435118,0.1544502617801056,0.25064991334489045,0.4524421593830346,0.05072463768116116,0.08583569405099105,0.1406249999999949,4.0,7.0,7.0,0.0,0.0,3.0,0.5714285714285714,1.0,1.0,0.4838709677419355,0.8602150537634409,0.6129032258064516
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,60,92,-0.012616916408517967,0.15475387628828158,0.3548869829357647,0.17877324830521554,0.3092350746268663,0.5853421638569494,0.05181035691601851,0.10756745804216407,0.17510333160566097,7.0,12.0,13.0,0.0,1.0,6.0,0.5384615384615384,0.9230769230769231,1.0,0.5434782608695652,0.9021739130434783,0.7065217391304348
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,5,41,-0.016304347826087553,0.011050920910079384,0.057949479940561384,0.0434890656063648,0.07444168734491242,0.12140575079872076,0.04724409448818532,0.06187290969899496,0.0777932129390746,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.43902439024390244,0.36585365853658536,0.07317073170731707
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,10,41,-0.051200635046632664,0.0,0.03993313521544843,0.044274809160305136,0.07564296520423618,0.13564213564213518,0.05497771173848808,0.06741573033707801,0.10708534621577959,1.0,2.0,3.0,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.0,0.5853658536585366,0.4146341463414634,0.12195121951219512
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,15,41,-0.0664556962025301,-0.02079395085066018,0.026397515527950385,0.05227743271221576,0.09664138678223182,0.14718614718614648,0.060491493383742975,0.08867757629367728,0.12271121105043073,1.0,2.0,4.0,0.0,2.0,3.0,0.25,0.5,1.0,0.7073170731707317,0.43902439024390244,0.14634146341463414
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,30,41,-0.12119437939110125,-0.025899280575536504,0.02610441767068758,0.06928838951311027,0.10869565217391207,0.19921269235357097,0.07505175983436829,0.13003095975232126,0.1727688787185355,2.0,3.0,5.0,2.0,4.0,5.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8292682926829268,0.5609756097560976,0.24390243902439024
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,60,41,-0.12693498452012483,-0.033282904689863745,0.02835538752363057,0.07428068115091037,0.1401985111662525,0.22094481605351188,0.09803921568627434,0.15722120658135372,0.2454279444038068,2.0,4.0,10.0,3.0,9.0,11.0,0.15384615384615385,0.3076923076923077,0.7692307692307693,0.9024390243902439,0.6097560975609756,0.34146341463414637
