structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,raid_year,liquidity_low,liquidity_pivot_i,liquidity_confirm_i,significant_high,significant_high_pivot_i,significant_high_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_high,bars_reclaim_to_bos,displacement_range_units,bull_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,return_year,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_high,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,path_status,path_anchor_i_5m,path_anchor_time,path_anchor_high,descent_bars,down_path_efficiency,median_adjacent_overlap,overlap_gt50_share,range_contraction_ratio,body_contraction_ratio,largest_bear_body_share,sign_flip_rate,lower_high_share,fall_per_bar_range_units,max_bear_body_range_units,pre_return_drawdown_fraction
2020-10-18 11:00:00+00:00__L812__H817,820,2020-10-18 11:00:00+00:00,822,2020-10-18 13:00:00+00:00,2020-10-18 14:00:00+00:00,2020,2.2069,812,814,2.2494,817,819,2.1992,0.34890570483484806,2,2.2124,0.014800000000000146,826,2020-10-18 17:00:00+00:00,2020-10-18 18:00:00+00:00,2.2532,2.2649,4,3.648648648648631,1.0,0.25675675675675597,821,2020-10-18 12:00:00+00:00,2.2041,2.2116,2.2015,2.2029,2.2015,2.2116,0.6824324324324256,9969,2020-10-18 21:45:00+00:00,2020,225.0,2.2155,2.2156,2.1964,2.1966,1.0,2.2649,INVALIDATED,9969,2020-10-18 21:45:00+00:00,0.0,USABLE,9927.0,2020-10-18 18:15:00+00:00,2.255,43.0,0.4352000000000029,0.837690631808285,0.8571428571428571,1.1071428571429307,2.727272727272929,0.22314049586776938,0.4878048780487805,0.6666666666666666,0.2878306878306758,4.1999999999998225,1.3502304147465352
2020-10-24 07:00:00+00:00__L953__H957,960,2020-10-24 07:00:00+00:00,962,2020-10-24 09:00:00+00:00,2020-10-24 10:00:00+00:00,2020,1.916,953,955,1.9624,957,959,1.9032,0.6680584551148185,2,1.9246,0.022299999999999986,970,2020-10-24 17:00:00+00:00,2020-10-24 18:00:00+00:00,1.9625,1.9734,8,2.6591928251121053,0.42441209406495006,0.004484304932734935,969,2020-10-24 16:00:00+00:00,1.9359,1.938,1.9206,1.9352,1.9206,1.938,0.7802690582959583,11672,2020-10-24 19:40:00+00:00,2020,100.0,1.9429,1.9432,1.9347,1.9395,0.18965517241378652,1.9734,INVALIDATED,11683,2020-10-24 20:35:00+00:00,55.0,USABLE,11652.0,2020-10-24 18:00:00+00:00,1.9644,21.0,0.5835475578406165,0.6749999999999625,0.75,0.30000000000001775,0.2941176470587851,0.25867507886435054,0.21052631578947367,0.75,0.2910256410256392,2.102564102564091,1.1249999999999947
2020-11-29 18:00:00+00:00__L1829__H1831,1835,2020-11-29 18:00:00+00:00,1837,2020-11-29 20:00:00+00:00,2020-11-29 21:00:00+00:00,2020,1.8903,1829,1831,1.9324,1831,1833,1.8628,1.4547955351002528,2,1.8906,0.021500000000000075,1841,2020-11-30 00:00:00+00:00,2020-11-30 01:00:00+00:00,1.9617,1.9639,4,4.599999999999984,0.6701225259189433,1.3627906976744186,1839,2020-11-29 22:00:00+00:00,1.9085,1.9108,1.8813,1.8921,1.8813,1.9108,1.372093023255813,22189,2020-11-30 08:05:00+00:00,2020,425.0,1.9287,1.9313,1.8979,1.9085,0.43728813559322366,1.9766,CONTINUATION,22237,2020-11-30 12:05:00+00:00,240.0,USABLE,22118.0,2020-11-30 02:10:00+00:00,1.9766,72.0,0.3598726114649651,0.8148148148148301,0.7746478873239436,1.0333333333333297,1.2187499999999696,0.16369529983792547,0.5217391304347826,0.6338028169014085,0.16323582520765834,3.452991452991505,1.1960486322188475
2020-12-07 10:00:00+00:00__L2012__H2016,2019,2020-12-07 10:00:00+00:00,2021,2020-12-07 12:00:00+00:00,2020-12-07 13:00:00+00:00,2020,1.838,2012,2014,1.8585,2016,2018,1.8221,0.8650707290533202,2,1.8679,0.012149999999999994,2022,2020-12-07 13:00:00+00:00,2020-12-07 14:00:00+00:00,1.8671,1.8716,1,3.7037037037036997,-1.0,0.7078189300411477,2019,2020-12-07 10:00:00+00:00,1.8426,1.8431,1.8221,1.8244,1.8221,1.8431,1.7283950617283883,24328,2020-12-07 18:20:00+00:00,2020,260.0,1.8507,1.8559,1.8382,1.8444,0.2333333333333298,1.9006,INVALIDATED,24335,2020-12-07 18:55:00+00:00,35.0,USABLE,24300.0,2020-12-07 16:00:00+00:00,1.9006,29.0,0.46736842105263277,0.5753676470588154,0.6785714285714286,1.2343749999999676,2.4761904761904256,0.21145975443383538,0.38461538461538464,0.6785714285714286,0.2991913746630681,2.92452830188676,1.085217391304346
2020-12-11 23:00:00+00:00__L2122__H2125,2128,2020-12-11 23:00:00+00:00,2129,2020-12-12 00:00:00+00:00,2020-12-12 01:00:00+00:00,2020,1.4517,2122,2124,1.4994,2125,2127,1.4362,1.0677137149548852,1,1.5128,0.02364999999999995,2130,2020-12-12 01:00:00+00:00,2020-12-12 02:00:00+00:00,1.5024,1.5157,1,2.7991543340380627,-1.0,0.12684989429175045,2128,2020-12-11 23:00:00+00:00,1.4841,1.485,1.4363,1.4406,1.4363,1.485,2.0591966173361644,25589,2020-12-12 03:25:00+00:00,2020,85.0,1.4894,1.4897,1.4814,1.4817,0.07392197125256743,1.5157,CONTINUATION,25669,2020-12-12 10:05:00+00:00,400.0,USABLE,25572.0,2020-12-12 02:00:00+00:00,1.508,18.0,0.46436285097192825,0.9302325581395421,0.9411764705882353,1.3157894736841735,2.9523809523806452,0.24848484848484864,0.7333333333333333,0.7058823529411765,0.2180527383367179,1.4137931034482938,1.1565217391304374
2020-12-18 14:00:00+00:00__L2277__H2283,2287,2020-12-18 14:00:00+00:00,2287,2020-12-18 14:00:00+00:00,2020-12-18 15:00:00+00:00,2020,1.6504,2277,2279,1.7104,2283,2285,1.6424,0.48473097430925877,0,1.6552,0.025050000000000017,2297,2020-12-19 00:00:00+00:00,2020-12-19 01:00:00+00:00,1.716,1.72,10,2.9381237524950037,0.5812619502868064,0.22355289421157867,2292,2020-12-18 19:00:00+00:00,1.675,1.6763,1.658,1.6696,1.658,1.6763,0.7305389221556875,27788,2020-12-19 18:40:00+00:00,2020,1060.0,1.6829,1.6829,1.6759,1.6789,0.021857923497265373,1.7695,INVALIDATED,27853,2020-12-20 00:05:00+00:00,325.0,USABLE,27722.0,2020-12-19 13:10:00+00:00,1.7695,67.0,0.29465395772896696,0.8697478991596812,0.8333333333333334,0.7886178861788666,0.6862745098039489,0.17953546767106038,0.4461538461538462,0.5606060606060606,0.17954545454545423,4.766666666666656,1.0042918454935617
2020-12-23 23:00:00+00:00__L2409__H2413,2416,2020-12-23 23:00:00+00:00,2418,2020-12-24 01:00:00+00:00,2020-12-24 02:00:00+00:00,2020,1.2768,2409,2411,1.3065,2413,2415,1.1574,9.351503759398492,2,1.2827,0.03159999999999996,2430,2020-12-24 13:00:00+00:00,2020-12-24 14:00:00+00:00,1.3135,1.3195,12,4.939873417721522,0.1205007824726132,0.2215189873417691,2429,2020-12-24 12:00:00+00:00,1.2854,1.3002,1.2683,1.2801,1.2683,1.3002,1.0094936708860784,29179,2020-12-24 14:35:00+00:00,2020,35.0,1.3056,1.3091,1.2999,1.3056,0.009404388714732495,1.3195,CONTINUATION,29198,2020-12-24 16:10:00+00:00,95.0,USABLE,29172.0,2020-12-24 14:00:00+00:00,1.3183,8.0,0.05990783410137636,0.9629629629629676,0.7142857142857143,0.6960784313725494,0.44943820224719605,0.3722222222222179,0.6,0.8571428571428571,0.03229813664595899,1.1652173913043287,1.0165745856353572
2020-12-26 15:00:00+00:00__L2476__H2477,2480,2020-12-26 15:00:00+00:00,2480,2020-12-26 15:00:00+00:00,2020-12-26 16:00:00+00:00,2020,1.3375,2476,2478,1.3801,2477,2479,1.3362,0.09719626168223229,0,1.3584,0.019650000000000056,2481,2020-12-26 16:00:00+00:00,2020-12-26 17:00:00+00:00,1.3859,1.3941,1,2.52926208651398,1.0,0.2951653944020249,2480,2020-12-26 15:00:00+00:00,1.3654,1.3669,1.3362,1.3584,1.3362,1.3669,1.5623409669211126,29800,2020-12-26 18:20:00+00:00,2020,80.0,1.3731,1.3732,1.3611,1.3632,0.18892508143322595,1.3941,INVALIDATED,29846,2020-12-26 22:10:00+00:00,230.0,USABLE,29784.0,2020-12-26 17:00:00+00:00,1.387,17.0,0.445292620865138,0.815789473684232,0.8125,0.7424242424242348,0.7173913043478187,0.2903225806451617,0.4,0.625,0.24857954545454874,2.2500000000000253,1.2885572139303496
2021-01-10 20:00:00+00:00__L2840__H2841,2845,2021-01-10 20:00:00+00:00,2845,2021-01-10 20:00:00+00:00,2021-01-10 21:00:00+00:00,2021,3.2236,2840,2842,3.454,2841,2843,3.15,2.283161682590889,0,3.3118,0.12294999999999967,2846,2021-01-10 21:00:00+00:00,2021-01-10 22:00:00+00:00,3.4725,3.475,1,2.623017486783254,1.0,0.15046766978446532,2845,2021-01-10 20:00:00+00:00,3.3214,3.3362,3.15,3.3118,3.15,3.3362,1.514436762911756,34212,2021-01-11 02:00:00+00:00,2021,240.0,3.3581,3.3709,3.3297,3.3361,0.03490870032223391,3.5257,INVALIDATED,34231,2021-01-11 03:35:00+00:00,95.0,USABLE,34194.0,2021-01-11 00:30:00+00:00,3.5257,19.0,0.6182952182952177,0.771830631156121,0.9444444444444444,0.6730158730158661,1.3082437275985614,0.15736551030668544,0.7058823529411765,0.7777777777777778,0.2557619539043703,0.9690402476780218,1.034300791556728
2021-04-08 14:00:00+00:00__L4940__H4946,4951,2021-04-08 14:00:00+00:00,4951,2021-04-08 14:00:00+00:00,2021-04-08 15:00:00+00:00,2021,25.9203,4940,4942,28.0273,4946,4948,25.8142,0.4093316821178822,0,25.9862,0.7863499999999988,4965,2021-04-09 04:00:00+00:00,2021-04-09 05:00:00+00:00,28.2894,28.3581,14,3.147707763718452,0.7957435046987285,0.3333121383607816,4962,2021-04-09 01:00:00+00:00,27.1742,27.423,27.0762,27.1484,27.0762,27.423,0.44102498887263786,59616,2021-04-09 07:00:00+00:00,2021,120.0,27.5726,27.585,27.3834,27.5239,0.11418685121106324,28.3581,CONTINUATION,59641,2021-04-09 09:05:00+00:00,125.0,USABLE,59592.0,2021-04-09 05:00:00+00:00,28.3344,25.0,0.40648830295980126,0.9053666511244951,0.8333333333333334,1.2392086330935264,0.5961038961038914,0.14917391651368606,0.4782608695652174,0.7083333333333334,0.1979481369587095,1.4116314199395552,1.0434496379196803
