role,partition,dev_block,execution_start,loss_class,visit_n,lane,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,recovery_entry_ts,recovery_entry_price,recovery_break_ts,recovery_exit_ts,recovery_exit_price,recovery_exit_reason,recovery_pnl,recovery_pnl_5bps,recovery_won,recovery_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps
CENTRAL,development,0,2022-01-04 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,171.12,166.66,4.460000000000008,2022-01-04 11:10:00+00:00,2022-01-04 12:10:00+00:00,-0.23375409069664732,-0.4837540906966473,2022-01-04 12:35:00+00:00,171.12,2022-01-04 12:50:00+00:00,2022-01-04 13:15:00+00:00,170.87,FAILED_BREAK,-0.7304815334268078,-0.9804815334268078,False,False,-0.9642356241234551,-1.464235624123455,False,False
CENTRAL,development,0,2022-01-08 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,141.57,135.78,5.789999999999992,2022-01-08 04:45:00+00:00,2022-01-08 04:55:00+00:00,-0.24722751995476244,-0.49722751995476244,2022-01-08 05:45:00+00:00,141.57,2022-01-08 05:55:00+00:00,2022-01-08 06:05:00+00:00,141.44,FAILED_BREAK,-0.45913682277315404,-0.709136822773154,False,False,-0.7063643427279165,-1.2063643427279165,False,False
CENTRAL,development,0,2022-01-11 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,137.49,131.8,5.689999999999998,2022-01-11 04:00:00+00:00,2022-01-11 04:10:00+00:00,-1.5637500909157498,-1.8137500909157498,2022-01-11 08:00:00+00:00,137.49,2022-01-11 08:00:00+00:00,2022-01-11 08:30:00+00:00,137.16,FAILED_BREAK,-1.2000872790748907,-1.4500872790748907,False,False,-2.7638373699906404,-3.2638373699906404,False,False
CENTRAL,development,0,2022-01-12 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,143.07,139.09,3.9799999999999898,2022-01-12 09:20:00+00:00,2022-01-12 09:35:00+00:00,-0.9785419724610556,-1.2285419724610556,2022-01-12 12:35:00+00:00,143.07,2022-01-12 12:35:00+00:00,2022-01-12 12:50:00+00:00,142.93,FAILED_BREAK,-0.48927098623047227,-0.7392709862304723,False,False,-1.4678129586915278,-1.9678129586915278,False,False
CENTRAL,development,0,2022-01-16 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,149.48,146.03,3.4499999999999886,2022-01-16 07:45:00+00:00,2022-01-16 08:50:00+00:00,-1.0369280171260709,-1.2869280171260709,2022-01-16 09:00:00+00:00,149.48,2022-01-16 10:05:00+00:00,2022-01-16 10:50:00+00:00,149.23,FAILED_BREAK,-0.8362322718758475,-1.0862322718758475,False,False,-1.8731602890019183,-2.3731602890019183,False,False
CENTRAL,development,0,2022-01-20 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,137.43,134.43,3.0,2022-01-20 06:05:00+00:00,2022-01-20 07:05:00+00:00,-0.40020374008592485,-0.6502037400859249,2022-01-20 07:25:00+00:00,137.43,2022-01-20 07:40:00+00:00,2022-01-20 07:55:00+00:00,137.24,FAILED_BREAK,-0.6912610056028501,-0.9412610056028501,False,False,-1.091464745688775,-1.591464745688775,False,False
CENTRAL,development,0,2022-01-26 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,96.23,91.3,4.930000000000007,2022-01-26 04:45:00+00:00,2022-01-26 04:55:00+00:00,-0.051958848591937556,-0.30195884859193756,2022-01-26 05:45:00+00:00,96.23,2022-01-26 09:10:00+00:00,2022-01-26 09:35:00+00:00,95.79,FAILED_BREAK,-2.2861893380442533,-2.5361893380442533,False,False,-2.338148186636191,-2.838148186636191,False,False
CENTRAL,development,0,2022-01-28 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,92.72,85.6,7.1200000000000045,2022-01-28 03:10:00+00:00,2022-01-28 03:20:00+00:00,-0.701035375323511,-0.951035375323511,2022-01-28 03:45:00+00:00,92.72,2022-01-28 05:25:00+00:00,2022-01-28 05:35:00+00:00,92.66,FAILED_BREAK,-0.3235547886109025,-0.5735547886109025,False,False,-1.0245901639344135,-1.5245901639344135,False,False
CENTRAL,development,0,2022-01-30 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,96.77,93.41,3.3599999999999994,2022-01-30 07:00:00+00:00,2022-01-30 07:25:00+00:00,-0.05166890565255766,-0.30166890565255766,2022-01-30 07:50:00+00:00,96.77,,2022-01-30 19:10:00+00:00,92.6,REFERENCE_INVALIDATION,-21.54593365712515,-21.79593365712515,False,False,-21.59760256277771,-22.09760256277771,False,False
CENTRAL,development,0,2022-02-06 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,115.77,112.78,2.989999999999995,2022-02-06 10:00:00+00:00,2022-02-06 10:10:00+00:00,-2.332210417206493,-2.5822104172064932,2022-02-06 14:30:00+00:00,115.77,,2022-02-06 15:05:00+00:00,111.96,REFERENCE_INVALIDATION,-16.455040165846093,-16.705040165846093,False,False,-18.787250583052586,-19.287250583052586,False,False
CENTRAL,development,0,2022-02-09 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,115.0,109.51,5.489999999999995,2022-02-09 12:40:00+00:00,2022-02-09 12:50:00+00:00,-2.304347826086961,-2.5543478260869614,2022-02-09 13:00:00+00:00,115.0,2022-02-09 13:00:00+00:00,2022-02-09 13:50:00+00:00,114.79,FAILED_BREAK,-0.9130434782608221,-1.163043478260822,False,False,-3.217391304347783,-3.7173913043477835,False,False
CENTRAL,development,0,2022-02-14 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,94.09,90.49,3.6000000000000085,2022-02-14 06:45:00+00:00,2022-02-14 07:30:00+00:00,-0.7439685407588659,-0.9939685407588659,2022-02-14 08:50:00+00:00,94.09,2022-02-14 12:50:00+00:00,2022-02-14 13:00:00+00:00,95.53,TARGET,7.652247847805271,7.402247847805271,True,True,6.9082793070464055,6.4082793070464055,True,True
CENTRAL,development,0,2022-02-21 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,95.24,90.2,5.039999999999992,2022-02-21 07:25:00+00:00,2022-02-21 07:35:00+00:00,-0.6824863502729595,-0.9324863502729595,2022-02-21 07:45:00+00:00,95.24,2022-02-21 07:45:00+00:00,2022-02-21 08:40:00+00:00,95.04,FAILED_BREAK,-1.0499790004199205,-1.2999790004199205,False,False,-1.73246535069288,-2.23246535069288,False,False
