partition,parent_entry_ts,parent_exit_ts,reentry_ts,exit_ts,recovery_pnl,recovery_pnl_5bps,matched_parent,duplicate_recovery_parent
development,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,2022-01-01 16:15:00+00:00,2022-01-01 16:25:00+00:00,1.6384960331148335,1.3884960331148335,True,False
development,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,2022-01-06 17:40:00+00:00,2022-01-06 18:10:00+00:00,3.202598905723941,2.952598905723941,True,False
development,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,2022-02-20 18:20:00+00:00,2022-02-20 18:40:00+00:00,3.936664412989898,3.686664412989898,True,False
development,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,2022-10-18 00:35:00+00:00,2022-10-18 00:50:00+00:00,-2.006625047776822,-2.256625047776822,True,False
development,2024-02-06 18:50:00+00:00,2024-02-06 19:05:00+00:00,2024-02-06 19:35:00+00:00,2024-02-06 19:55:00+00:00,3.274703687807468,3.024703687807468,True,False
development,2024-03-14 23:10:00+00:00,2024-03-14 23:20:00+00:00,2024-03-14 23:40:00+00:00,2024-03-14 23:45:00+00:00,5.689976943391351,5.439976943391351,True,False
development,2024-05-30 16:45:00+00:00,2024-05-30 17:10:00+00:00,2024-05-30 17:30:00+00:00,2024-05-30 17:35:00+00:00,2.975862900713944,2.725862900713944,True,False
development,2024-09-19 15:15:00+00:00,2024-09-19 15:35:00+00:00,2024-09-19 15:55:00+00:00,2024-09-19 16:05:00+00:00,2.6040023832053505,2.3540023832053505,True,False
development,2024-10-04 16:20:00+00:00,2024-10-04 18:05:00+00:00,2024-10-04 18:35:00+00:00,2024-10-04 19:00:00+00:00,3.1747093566126816,2.9247093566126816,True,False
development,2024-10-23 18:45:00+00:00,2024-10-23 19:15:00+00:00,2024-10-23 19:35:00+00:00,2024-10-23 19:40:00+00:00,3.1656700668307725,2.9156700668307725,True,False
development,2024-11-29 02:05:00+00:00,2024-11-29 02:20:00+00:00,2024-11-29 02:40:00+00:00,2024-11-29 02:45:00+00:00,2.0302325387495657,1.7802325387495657,True,False
development,2024-12-30 19:00:00+00:00,2024-12-30 19:20:00+00:00,2024-12-30 20:00:00+00:00,2024-12-30 20:30:00+00:00,-2.129437176508986,-2.3794371765089863,True,False
external,2020-09-21 18:10:00+00:00,2020-09-21 18:40:00+00:00,2020-09-21 19:05:00+00:00,2020-09-21 20:10:00+00:00,9.85879111417265,9.608791114172648,True,False
external,2021-02-01 18:05:00+00:00,2021-02-01 22:55:00+00:00,2021-02-01 23:20:00+00:00,2021-02-01 23:25:00+00:00,5.8881014178960855,5.6381014178960855,True,False
external,2021-02-10 20:05:00+00:00,2021-02-10 20:35:00+00:00,2021-02-10 21:00:00+00:00,2021-02-10 22:20:00+00:00,13.43378749479196,13.18378749479196,True,False
external,2021-05-20 15:10:00+00:00,2021-05-20 15:20:00+00:00,2021-05-20 15:55:00+00:00,2021-05-20 16:05:00+00:00,-18.504629950752584,-18.754629950752584,True,False
external,2021-06-20 19:35:00+00:00,2021-06-20 19:50:00+00:00,2021-06-20 20:30:00+00:00,2021-06-20 20:40:00+00:00,-5.618478303258511,-5.868478303258512,True,False
external,2021-06-22 15:25:00+00:00,2021-06-22 15:40:00+00:00,2021-06-22 16:05:00+00:00,2021-06-22 16:15:00+00:00,19.34685269801495,19.09685269801495,True,False
external,2021-07-22 15:40:00+00:00,2021-07-22 15:50:00+00:00,2021-07-22 16:10:00+00:00,2021-07-22 17:35:00+00:00,4.527181065667518,4.277181065667518,True,False
external,2021-07-26 00:20:00+00:00,2021-07-26 00:30:00+00:00,2021-07-26 00:50:00+00:00,2021-07-26 00:55:00+00:00,6.653346098877466,6.403346098877466,True,False
external,2021-09-06 15:10:00+00:00,2021-09-06 15:20:00+00:00,2021-09-06 15:45:00+00:00,2021-09-06 15:55:00+00:00,7.156895364923588,6.906895364923588,True,False
reference_validation,2025-01-22 19:50:00+00:00,2025-01-22 20:05:00+00:00,2025-01-22 20:25:00+00:00,2025-01-22 20:30:00+00:00,4.793168426405092,4.543168426405092,True,False
reference_validation,2025-05-04 15:00:00+00:00,2025-05-04 15:45:00+00:00,2025-05-04 16:05:00+00:00,2025-05-04 16:15:00+00:00,-1.0407738459655147,-1.2907738459655147,True,False
reference_validation,2025-06-19 22:05:00+00:00,2025-06-19 22:25:00+00:00,2025-06-19 22:45:00+00:00,2025-06-19 22:55:00+00:00,-1.399722773353651,-1.649722773353651,True,False
reference_validation,2025-07-02 15:10:00+00:00,2025-07-02 15:30:00+00:00,2025-07-02 16:05:00+00:00,2025-07-02 16:10:00+00:00,2.352910073892045,2.102910073892045,True,False
reference_validation,2025-09-26 16:10:00+00:00,2025-09-26 16:35:00+00:00,2025-09-26 17:00:00+00:00,2025-09-26 17:25:00+00:00,3.7361272486878816,3.4861272486878816,True,False
reference_validation,2025-10-12 15:05:00+00:00,2025-10-12 15:45:00+00:00,2025-10-12 16:05:00+00:00,2025-10-12 16:10:00+00:00,5.655042412818112,5.405042412818112,True,False
reference_validation,2026-07-17 16:40:00+00:00,2026-07-17 16:55:00+00:00,2026-07-17 17:25:00+00:00,2026-07-17 18:20:00+00:00,-1.7264276228419195,-1.97642762284192,True,False
