visits_reached,first_break_visit,break_i,first_visit_delay_min,h1_h2_min,h2_h3_min,h3_h4_min,h4_h5_min,break_delay_min,break_close_excess_R,extension_before_reclaim_R,ext15_R,ext30_R,ext60_R,ext120_R,reclaim_min,reclaim15,reclaim30,reclaim60,reach_E05,reach_E10,reach_E15,reach_E20,reach_E30,reach_E40,partition,ref_min,hour,execution_start,dev_block,H,L,R,role
1,1,136656,55.0,,,,,65.0,0.1724137931034553,1.1982758620689735,0.22126436781609554,0.26436781609195936,0.6063218390804654,1.0660919540229938,,False,False,False,True,True,True,True,True,True,development,240,18,2022-01-01 18:00:00+00:00,0,175.48,172.0,3.4799999999999898,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-02 18:00:00+00:00,0,178.82,175.08,3.7399999999999807,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-03 18:00:00+00:00,0,175.86,168.82,7.0400000000000205,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-04 18:00:00+00:00,0,173.9,170.05,3.8499999999999943,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-05 18:00:00+00:00,0,169.33,162.89,6.440000000000026,CENTRAL
1,1,138085,5.0,,,,,10.0,0.03302752293578114,0.2972477064220198,0.16513761467890048,0.16513761467890048,0.2972477064220198,0.2972477064220198,130.0,False,False,False,True,True,True,True,False,False,development,240,18,2022-01-06 18:00:00+00:00,0,152.7,147.25,5.449999999999989,CENTRAL
1,1,138396,120.0,,,,,125.0,0.024771838331160017,0.0,0.03129074315514735,0.03129074315514735,0.03129074315514735,0.03129074315514735,5.0,True,True,True,False,False,False,False,False,False,development,240,18,2022-01-07 18:00:00+00:00,0,140.65,132.98,7.670000000000016,CENTRAL
1,1,138711,240.0,,,,,260.0,0.017040358744394406,0.060089686098653554,0.060089686098653554,0.060089686098653554,0.060089686098653554,0.060089686098653554,15.0,True,True,True,True,False,False,False,False,False,development,240,18,2022-01-08 18:00:00+00:00,0,146.15,135.0,11.150000000000006,CENTRAL
1,1,138951,0.0,,,,,20.0,0.0072674418604626425,0.0,0.03924418604650901,0.03924418604650901,0.03924418604650901,0.13953488372092734,5.0,True,True,True,False,False,False,False,False,False,development,240,18,2022-01-09 18:00:00+00:00,0,144.71,137.83,6.8799999999999955,CENTRAL
1,1,139356,600.0,,,,,605.0,0.039751552795030155,0.0,0.04347826086956445,0.04347826086956445,0.04347826086956445,0.04347826086956445,5.0,True,True,True,False,False,False,False,False,False,development,240,18,2022-01-10 18:00:00+00:00,0,137.5,129.45,8.050000000000011,CENTRAL
2,0,-1,35.0,90.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-11 18:00:00+00:00,0,143.02,135.01,8.01000000000002,CENTRAL
1,1,139835,110.0,,,,,120.0,0.07413010590015283,0.0,0.1558245083207267,0.1558245083207267,0.1558245083207267,0.17700453857791507,5.0,True,True,True,False,False,False,False,False,False,development,240,18,2022-01-12 18:00:00+00:00,0,152.13,145.52,6.609999999999985,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-13 18:00:00+00:00,0,157.75,148.6,9.150000000000006,CENTRAL
1,1,140407,95.0,,,,,100.0,0.1466431095406326,0.1802120141342716,0.1802120141342716,0.1802120141342716,0.1802120141342716,0.1802120141342716,20.0,False,True,True,True,True,True,False,False,False,development,240,18,2022-01-14 18:00:00+00:00,0,148.55,142.89,5.660000000000025,CENTRAL
1,1,140703,130.0,,,,,140.0,0.0026109660574388702,0.0,0.1462140992167029,0.16971279373367498,0.16971279373367498,0.16971279373367498,5.0,True,True,True,False,False,False,False,False,False,development,240,18,2022-01-15 18:00:00+00:00,0,148.83,145.0,3.8300000000000125,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-16 18:00:00+00:00,0,151.93,149.027,2.90300000000002,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-17 18:00:00+00:00,0,143.76,139.07,4.689999999999998,CENTRAL
1,1,141578,190.0,,,,,195.0,0.29329608938547935,1.3519553072625767,0.7988826815642531,0.7988826815642531,0.8379888268156462,0.9888268156424682,395.0,False,False,False,True,True,True,True,True,True,development,240,18,2022-01-18 18:00:00+00:00,0,137.82,134.24,3.579999999999984,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-19 18:00:00+00:00,0,138.62,135.25,3.3700000000000045,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-20 18:00:00+00:00,0,143.78,139.12,4.659999999999997,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-21 18:00:00+00:00,0,126.77,117.1,9.670000000000002,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-22 18:00:00+00:00,0,100.0,91.32,8.680000000000007,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,development,240,18,2022-01-23 18:00:00+00:00,0,103.11,95.97,7.140000000000001,CENTRAL
