SOL_R4C_FINAL_RESCORE_7_PASS_HOURS_9_PASSERS_5_RESCUED_4_DROPPED
 hour_wib  window_wib verdict  old_passers  final_passers  rescued_passers  dropped_old_passers                  role          character_rule  lookback_min  hold_min  trades  win_rate     net_pnl  expectancy       pf     max_dd  dd_net_ratio  max_loss_streak  supportive_anchors  evaluable_anchors  min_year_exp                                       fail_reasons
        0 00:00-01:00    PASS            0              2                2                    0 SELECTED_FINAL_PASSER     EFF_LOW__RANGE_HIGH            30       720     214  0.602804 1090.716015    5.096804 1.962940 137.004161      0.125609                7                   3                  4      4.062359                                               PASS
        1 01:00-02:00    PASS            0              1                1                    0 SELECTED_FINAL_PASSER      RV_HIGH__RANGE_MID           120       720     231  0.636364 1320.368152    5.715879 2.266996 153.897486      0.116556                6                   4                  4      5.309933                                               PASS
        2 02:00-03:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS   DRIVE_UP__STR_B80_100           360       960     314  0.605096 1900.550329    6.052708 2.366958 313.811633      0.165116               10                   4                  4      4.063641                                    DD/net>15%;LS>8
        3 03:00-04:00    PASS            0              1                1                    0 SELECTED_FINAL_PASSER   DRIVE_UP__STR_B80_100           360       960     308  0.642857 1917.720510    6.226365 2.434357 196.881143      0.102664                8                   4                  4      1.671620                                               PASS
        4 04:00-05:00    PASS            0              1                1                    0 SELECTED_FINAL_PASSER       DRIVE_UP__RV_HIGH           360       960     454  0.605727 2708.485330    5.965827 2.163569 280.175754      0.103444                8                   3                  4      1.758050                                               PASS
        5 05:00-06:00    PASS            2              2                0                    0 SELECTED_FINAL_PASSER        EFF_LOW__EXT_MID           240       360     285  0.592982  717.184191    2.516436 1.940085  93.847100      0.130855                5                   4                  4      1.782429                                               PASS
        6 06:00-07:00    PASS            3              1                0                    2 SELECTED_FINAL_PASSER DRIVE_DOWN__STR_B80_100            15       120     306  0.601307  640.665543    2.093678 1.911371  90.208619      0.140805                6                   4                  4      0.794307                                               PASS
        7 07:00-08:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS       RV_MID__RANGE_LOW           240       720     219  0.666667  834.300408    3.809591 1.900596 145.992193      0.174988                7                   4                  4      2.036842                                         DD/net>15%
        8 08:00-09:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS       RV_MID__RANGE_LOW           240       720     209  0.607656  877.557709    4.198841 1.921460 245.057369      0.279249               12                   3                  4      1.103230                                    DD/net>15%;LS>8
        9 09:00-10:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS     EFF_LOW__RANGE_HIGH            30       720     220  0.559091 1225.232850    5.569240 1.845235 251.951547      0.205636                6                   3                  4      3.598770                                era_gate;DD/net>15%
       10 10:00-11:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS       EFF_LOW__EXT_HIGH           120       720     183  0.480874  507.647453    2.774030 1.486629 106.129537      0.209061                7                   1                  4      2.420263            anchor_gate;era_gate;WR<=55%;DD/net>15%
       11 11:00-12:00    FAIL            2              0                0                    2  BEST_FINAL_NEAR_MISS     EFF_LOW__RANGE_HIGH           360       240     201  0.621891  580.751617    2.889312 1.861171 118.366119      0.203815                7                   4                  4      1.708607                                         DD/net>15%
       12 12:00-13:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS        EFF_MID__RV_HIGH           360       360     310  0.570968  561.097383    1.809992 1.438075 183.843665      0.327650               13                   3                  4      1.572726                                    DD/net>15%;LS>8
       13 13:00-14:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS     EFF_LOW__RANGE_HIGH            30       960     222  0.576577 1092.179632    4.919728 1.642170 231.090974      0.211587                5                   3                  4      4.060806                                         DD/net>15%
       14 14:00-15:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS      RV_HIGH__RANGE_MID           360       960     180  0.588889  643.413188    3.574518 1.527470 250.234827      0.388918                9                   3                  4      3.354896                                    DD/net>15%;LS>8
       15 15:00-16:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS      RV_LOW__RANGE_HIGH           240       960      25  0.560000  144.256754    5.770270 2.875927  33.247679      0.230476                5                   0                  0      3.776518         anchor_gate;era_gate;trades<160;DD/net>15%
       16 16:00-17:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS      RV_LOW__RANGE_HIGH           240       960      24  0.708333  315.277264   13.136553 7.833202  25.163014      0.079812                3                   0                  0      6.422312                    anchor_gate;era_gate;trades<160
       17 17:00-18:00    FAIL            0              0                0                    0  BEST_FINAL_NEAR_MISS       EFF_HIGH__EXT_LOW            30       960      80  0.525000  338.207163    4.227590 1.706345  87.330396      0.258216                7                   0                  0      3.673032 anchor_gate;era_gate;trades<160;WR<=55%;DD/net>15%
