feature,family,psi_2026_vs_dev,median_displacement_dev_iqr,dominant_2026_band,dominant_2026_n,dominant_2026_share,dev_dominant_band_n,dev_dominant_band_expectancy,best_other_dev_band_expectancy,dev_separation,share_2025_same_band,n_2025_same_band,expectancy_2025_same_band,psi_gate,concentration_gate,economic_separation_gate,not_contradicted_by_2025,primary_discriminator
range_72h,volatility,0.7969505723942283,0.5545259322220527,LOW,38,0.7450980392156863,289,1.241565388175677,3.3891382101985985,2.1475728220229215,0.47058823529411764,80,4.3251983163661745,True,True,True,True,True
range_24h,volatility,0.6969697268447514,0.5489174733545027,LOW,36,0.7058823529411765,289,2.481214735242535,5.230407055880892,2.7491923206383575,0.5176470588235295,88,0.6366924996603496,True,True,True,True,True
range_7d,volatility,0.6014025192455248,0.5407528603271969,LOW,36,0.7058823529411765,289,-0.05630305199115961,3.5855731307748946,3.641876182766054,0.48823529411764705,83,0.9112157073586721,True,True,True,True,True
ret_7d,direction_location,0.7386740209214954,0.32507567554346417,MID,26,0.5098039215686274,288,-0.12380228366497192,4.1032335107178035,4.227035794382775,0.4235294117647059,72,2.2619108996199313,True,False,True,True,False
ret_72h,direction_location,0.5749161875506543,0.32395217785712793,LOW,26,0.5098039215686274,289,2.858750218660902,3.371025884621659,0.512275665960757,0.4294117647058823,73,7.996151767163519,True,False,False,True,False
ret_24h,direction_location,0.1943841825529864,0.06277541158592206,MID,25,0.49019607843137253,288,3.7641469889691077,2.276694284379874,-1.4874527045892338,0.38823529411764707,66,-0.34617695486873235,False,False,False,True,False
loc_72h,direction_location,0.19155565566526958,0.39195618006930255,LOW,28,0.5490196078431373,289,2.0826615246399167,3.1708825259928277,1.088221001352911,0.48823529411764705,83,8.598058383800836,False,False,True,True,False
loc_7d,direction_location,0.1334499964628576,0.23196154954564768,LOW,25,0.49019607843137253,289,2.8728891200533266,3.2221657019061425,0.34927658185281585,0.4823529411764706,82,9.464236403815868,False,False,False,True,False
loc_24h,direction_location,0.08597050412936454,0.34448733952214583,LOW,23,0.45098039215686275,289,2.1865476651349836,2.4329818081033494,0.24643414296836585,0.40588235294117647,69,8.043369297667278,False,False,False,True,False
range_ratio_24_72,volatility,0.02097135895156242,0.13154329076958404,HIGH,20,0.39215686274509803,288,2.391111435202591,2.598991581061488,0.20788014585889725,0.3588235294117647,61,10.077100688377133,False,False,False,True,False
