milestone,side,events,eligible24,resolved24,aligned_hit24,median_pre3,median_pre6,median_pre12,median_pre24,median_future6,median_future12,median_future24,ambiguous24_share
M0_IMPULSE_START,BULL,918,917,915,0.5147540983606558,0.018926006759442303,0.018270352010178598,0.0240481127317522,0.0295239087926327,-0.0009456162747805141,-0.0002282047203799875,0.00020705648500896068,0.0010905125408942203
M0_IMPULSE_START,BEAR,857,856,854,0.5128805620608899,0.0181184349341774,0.0180355299940883,0.0210513280911398,0.0249055963341677,-0.002590243570751216,-0.0032026328833316686,-0.004571228079240042,0.0011682242990654205
M0_IMPULSE_START,COMBINED,1775,1773,1769,0.5138496325607688,0.0184642438452522,0.0181329144715809,0.0222192720742879,0.0266371181506105,-0.0015984433038366275,-0.0017447674707256056,-0.0025177533892832837,0.0011280315848843769
M1_STRUCTURE_BREAK,BULL,2834,2831,2823,0.5139922068721219,0.0100341053131225,0.0220259072888799,0.0357551347614211,0.0467802854029105,-0.0005279682966966015,0.0008856792478539877,-5.50160922069276e-05,0.0007064641469445425
M1_STRUCTURE_BREAK,BEAR,2345,2345,2333,0.5207886840977283,0.0101993747117011,0.0203053613963841,0.0302930986047383,0.036612385067021,-0.0019984402417625446,-0.0024306061931844702,-0.003005909924597594,0.003837953091684435
M1_STRUCTURE_BREAK,COMBINED,5179,5176,5156,0.5170674941815361,0.0100915131001628,0.0212531051614683,0.0329583550622067,0.041863123303329,-0.0011766271422668506,-0.0006945804293624347,-0.0012238317548494693,0.002125193199381762
M2_STRUCTURE_CONFIRM,BULL,245,244,244,0.5040983606557377,4.97735304363367e-05,-0.0004140358140978,0.0065442517762461,0.0208134498201304,-0.00174027562203094,-0.0031942891199968626,-0.002964699759618994,0.0
M2_STRUCTURE_CONFIRM,BEAR,247,247,245,0.4448979591836735,-0.0018480585692408,0.0011731701096658,0.0048292322079083,0.0229898007197152,-0.001183005863594211,-0.0015473553576197396,-0.004126322670261917,0.004048582995951417
M2_STRUCTURE_CONFIRM,COMBINED,492,491,489,0.47443762781186094,-0.0005999467270189,0.0004478537691295,0.005617526599881651,0.02190730358449585,-0.001350953428633228,-0.002356165250687492,-0.003402903811252189,0.002036659877800407
M3_RAW_SCORE_SWITCH,BULL,491,489,489,0.5112474437627812,0.0061543024505985,0.006935904373063,0.0136710318031372,0.0273736713971854,-0.00019047157269175274,0.00024342977887747974,-0.0004022936099683516,0.0
M3_RAW_SCORE_SWITCH,BEAR,453,453,452,0.4889380530973451,0.0064826982041173,0.0082538343962472,0.011582848366142,0.0246578879421637,-0.0013661394588959652,-4.5915790440442805e-05,-0.00183598968416665,0.0
M3_RAW_SCORE_SWITCH,COMBINED,944,942,941,0.5005313496280552,0.006281376382680301,0.007363219577000649,0.01276481711712865,0.0258241986507694,-0.0010517901468298785,3.997761253704546e-05,-0.0014533967864167607,0.0
M4_FINAL_SWITCH,BULL,89,88,88,0.4659090909090909,0.0086472215947595,0.0129888793840888,0.0210505509709937,0.0365819719210567,0.000640585678334471,0.0030607924346406357,-0.0020127231219711494,0.0
M4_FINAL_SWITCH,BEAR,93,93,93,0.46236559139784944,0.0086202163289957,0.0114970745877828,0.0189901556049538,0.0377007531077036,-0.004897451833436817,-0.005641684249151346,-0.009252930971031859,0.0
M4_FINAL_SWITCH,COMBINED,182,181,181,0.46408839779005523,0.0086337189618776,0.01264406203748965,0.020114087453245298,0.03714136251438015,-0.002703755869673974,-0.003054020158855586,-0.0045079608670631766,0.0
