audit,pass,value,detail
stage4_valid,True,True,
raw_5m_coverage_ge_99_5,True,1.0,
no_scored_24h_window_crosses_2025,True,2024-12-30 23:00:00+00:00,
each_regime_at_least_1000_24h_obs,True,"{'BULL': 3750, 'BEAR': 3815, 'SIDEWAYS': 9954}",
each_regime_resolved_rate_ge_60pct,True,"{'BULL': 0.9933333333333333, 'BEAR': 0.9963302752293578, 'SIDEWAYS': 0.9970865983524211}",
bull_aligned_hit_ge_55pct,False,0.48268456375838925,
bear_aligned_hit_ge_55pct,False,0.49513285977374377,
bull_vs_bear_pos_first_gap_ge_10pp,False,-0.022182576467866977,
sideways_pos_first_45_to_55pct,True,0.49289672544080604,
median_ret_order_bull_side_bear,False,"{'BULL': 0.001467495912714778, 'BEAR': 0.0026908369919274033, 'SIDEWAYS': -0.00017006023633053813}",
bull_positive_bear_negative_median_ret,False,"{'BULL': 0.001467495912714778, 'BEAR': 0.0026908369919274033, 'SIDEWAYS': -0.00017006023633053813}",
directional_excursion_medians,True,"{'mfe': {'BULL': 0.029234187574954773, 'BEAR': 0.02665028587629359, 'SIDEWAYS': 0.02692033396164417}, 'mae': {'BULL': 0.02840131725659245, 'BEAR': 0.027734246874886126, 'SIDEWAYS': 0.026185774882145352}}",
bull_gt50_in_3of4_blocks,False,"[{'block': '2023-H1', 'aligned_hit_rate': 0.4766269477543538}, {'block': '2023-H2', 'aligned_hit_rate': 0.4631979695431472}, {'block': '2024-H1', 'aligned_hit_rate': 0.472}, {'block': '2024-H2', 'aligned_hit_rate': 0.5149330587023687}]",
bear_gt50_in_3of4_blocks,False,"[{'block': '2023-H1', 'aligned_hit_rate': 0.47964250248262164}, {'block': '2023-H2', 'aligned_hit_rate': 0.4927536231884058}, {'block': '2024-H1', 'aligned_hit_rate': 0.5418943533697632}, {'block': '2024-H2', 'aligned_hit_rate': 0.4530663329161452}]",
clean_beats_transition_by_2pp,False,"{'clean': 0.4936612576064909, 'transition': 0.48380792853154664, 'gap': 0.00985332907494424, 'n': {'CLEAN': {'n': 3944, 'aligned_rate': 0.4936612576064909}, 'TRANSITION': {'n': 3582, 'aligned_rate': 0.48380792853154664}}}",
ambiguous_share_le_2pct,True,"{'BULL': 0.0010666666666666667, 'BEAR': 0.0010484927916120576, 'SIDEWAYS': 0.0005023106288929073}",
stage4_states_not_recomputed,True,[],
