candidate_id,side,anatomy_score,event_label,outcome,entry_time,entry_price,stop_price,initial_risk_price,outcome_known_time,terminal_type,terminal_time,terminal_r,mfe_r,mae_r,mfe_time,time_to_mfe_min,giveback_r,retained_fraction,profit_path_cohort,reached_050r,static_sl_hit,touch_0_25r_time,touch_0_25r_min,touch_0_5r_time,touch_0_5r_min,touch_0_75r_time,touch_0_75r_min,touch_1_0r_time,touch_1_0r_min,touch_1_5r_time,touch_1_5r_min,phase
H1_SWING|SELL_SIDE|2020-09-16 17:00:00+00:00|2.4316|58,SELL_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-09-17 10:10:00+00:00,2.5357,2.3912,0.14449999999999985,2020-09-17 16:00:00+00:00,SL,2020-09-17 10:20:00+00:00,-1.0,0.022145328719723842,0.30311418685121183,2020-09-17 10:10:00+00:00,0.0,1.0221453287197237,-45.15624999999866,NEVER_REACHED_050R,0,1,,,,,,,,,,,DISCOVERY_2020_2024
H1_SWING|BUY_SIDE|2020-09-30 02:00:00+00:00|2.97|379,BUY_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-09-30 07:05:00+00:00,2.9305,2.989,0.058499999999999996,2020-09-30 12:00:00+00:00,HORIZON,2020-09-30 12:00:00+00:00,1.3982905982905962,1.3982905982905962,0.4991452991453049,2020-09-30 11:55:00+00:00,290.0,0.0,1.0,RETAINED,1,0,2020-09-30 08:00:00+00:00,55.0,2020-09-30 09:00:00+00:00,115.0,2020-09-30 09:45:00+00:00,160.0,2020-09-30 11:30:00+00:00,265.0,,,DISCOVERY_2020_2024
H1_SWING|BUY_SIDE|2020-10-02 21:00:00+00:00|2.674|446,BUY_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-10-06 00:40:00+00:00,2.6249,2.677,0.05210000000000026,2020-10-06 04:00:00+00:00,HORIZON,2020-10-06 04:00:00+00:00,0.5930902111324333,0.6142034548944227,0.2821497120921364,2020-10-06 03:55:00+00:00,195.0,0.02111324376198942,0.9656250000000104,RETAINED,1,0,2020-10-06 01:30:00+00:00,50.0,2020-10-06 03:20:00+00:00,160.0,,,,,,,DISCOVERY_2020_2024
H1_SWING|SELL_SIDE|2020-10-14 20:00:00+00:00|2.2337|733,SELL_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-10-15 05:05:00+00:00,2.2619,2.2332,0.028699999999999726,2020-10-15 08:00:00+00:00,HORIZON,2020-10-15 08:00:00+00:00,2.02439024390246,2.8710801393728587,0.2613240418118436,2020-10-15 07:25:00+00:00,140.0,0.8466898954703987,0.7050970873786391,LARGE_GIVEBACK,1,0,2020-10-15 05:45:00+00:00,40.0,2020-10-15 06:35:00+00:00,90.0,2020-10-15 06:35:00+00:00,90.0,2020-10-15 07:20:00+00:00,135.0,2020-10-15 07:20:00+00:00,135.0,DISCOVERY_2020_2024
H1_SWING|BUY_SIDE|2020-11-15 13:00:00+00:00|2.2059|1494,BUY_SIDE,3,0,RECLAIM_FAILED_BEFORE_BOS,2020-11-15 17:10:00+00:00,2.1318,2.2252,0.09339999999999993,2020-11-16 06:00:00+00:00,SL,2020-11-16 04:25:00+00:00,-1.0,2.149892933618846,0.8008565310492486,2020-11-15 22:20:00+00:00,310.0,3.149892933618846,-0.4651394422310752,NEGATIVE_EVENT,1,1,2020-11-15 17:30:00+00:00,20.0,2020-11-15 17:35:00+00:00,25.0,2020-11-15 17:35:00+00:00,25.0,2020-11-15 17:35:00+00:00,25.0,2020-11-15 22:05:00+00:00,295.0,DISCOVERY_2020_2024
H1_SWING|SELL_SIDE|2020-11-27 23:00:00+00:00|1.801|1792,SELL_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-11-28 10:15:00+00:00,1.8495,1.7912,0.05830000000000002,2020-11-28 14:00:00+00:00,HORIZON,2020-11-28 14:00:00+00:00,1.166380789022299,1.3464837049742708,0.15951972555745902,2020-11-28 13:50:00+00:00,215.0,0.1801029159519718,0.8662420382165611,RETAINED,1,0,2020-11-28 11:50:00+00:00,95.0,2020-11-28 13:30:00+00:00,195.0,2020-11-28 13:35:00+00:00,200.0,2020-11-28 13:50:00+00:00,215.0,,,DISCOVERY_2020_2024
H1_SWING|SELL_SIDE|2020-11-28 08:00:00+00:00|1.8169|1801,SELL_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-11-28 10:15:00+00:00,1.8495,1.7912,0.05830000000000002,2020-11-28 14:00:00+00:00,HORIZON,2020-11-28 14:00:00+00:00,1.166380789022299,1.3464837049742708,0.15951972555745902,2020-11-28 13:50:00+00:00,215.0,0.1801029159519718,0.8662420382165611,RETAINED,1,0,2020-11-28 11:50:00+00:00,95.0,2020-11-28 13:30:00+00:00,195.0,2020-11-28 13:35:00+00:00,200.0,2020-11-28 13:50:00+00:00,215.0,,,DISCOVERY_2020_2024
H1_SWING|SELL_SIDE|2020-12-01 21:00:00+00:00|1.9569|1886,SELL_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2020-12-02 01:30:00+00:00,2.0452,1.9252,0.11999999999999988,2020-12-02 14:00:00+00:00,HORIZON,2020-12-02 14:00:00+00:00,0.5200000000000025,0.5483333333333363,0.5099999999999998,2020-12-02 13:45:00+00:00,735.0,0.028333333333333877,0.9483282674772029,RETAINED,1,0,2020-12-02 01:50:00+00:00,20.0,2020-12-02 13:25:00+00:00,715.0,,,,,,,DISCOVERY_2020_2024
H1_SWING|BUY_SIDE|2021-01-06 07:00:00+00:00|2.0384|2736,BUY_SIDE,3,0,RECLAIM_FAILED_BEFORE_BOS,2021-01-06 12:05:00+00:00,2.0129,2.1,0.08709999999999996,2021-01-06 13:00:00+00:00,SL,2021-01-06 12:50:00+00:00,-1.0,0.21814006888633913,0.9081515499425946,2021-01-06 12:05:00+00:00,0.0,1.218140068886339,-4.584210526315756,NEGATIVE_EVENT,0,1,,,,,,,,,,,DISCOVERY_2020_2024
H1_SWING|BUY_SIDE|2021-01-09 03:00:00+00:00|3.2764|2804,BUY_SIDE,3,1,STRUCTURAL_LIQUIDITY_EVENT,2021-01-09 07:05:00+00:00,3.1,3.2846,0.1846000000000001,2021-01-09 17:00:00+00:00,SL,2021-01-09 09:00:00+00:00,-1.0,0.1625135427952342,0.8309859154929572,2021-01-09 07:40:00+00:00,35.0,1.1625135427952342,-6.153333333333285,NEVER_REACHED_050R,0,1,,,,,,,,,,,DISCOVERY_2020_2024
