policy,candidate_id,side,anatomy_score,assigned_route,event_label,outcome,entry_time,entry_i_5m,entry_price,initial_stop,initial_risk_price,initial_risk_range_units,trigger_r,trigger_price,managed_loss_r,managed_stop,management_triggered,trigger_i_5m,trigger_time,outcome_known_time,stop_hit,stop_i_5m,stop_time,same_bar_managed_stop_hit,exit_type,exit_i_5m,exit_time,exit_price,realized_r,time_to_exit_min,variant
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2020-11-28 08:00:00+00:00|1.8169|1801,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2020-11-28 10:00:00+00:00,21636,1.8403,1.7912,0.049100000000000144,1.6700680272108839,,,,,0,-1,,2020-11-28 14:00:00+00:00,0,-1,,0,TIME_EXIT,21684,2020-11-28 14:00:00+00:00,1.9175,1.5723014256619086,240.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-01-09 14:00:00+00:00|3.1245|2815,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2021-01-09 18:00:00+00:00,33828,3.2478,2.9786,0.26919999999999966,2.167471819645732,,,,,0,-1,,2021-01-09 19:00:00+00:00,0,-1,,0,TIME_EXIT,33840,2021-01-09 19:00:00+00:00,3.393,0.5393759286775638,60.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-03-11 03:00:00+00:00|13.867|4268,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2021-03-11 11:00:00+00:00,51312,14.0586,13.843,0.21560000000000024,1.3534212178280065,,,,,0,-1,,2021-03-11 14:00:00+00:00,0,-1,,0,TIME_EXIT,51348,2021-03-11 14:00:00+00:00,14.5633,2.340909090909087,180.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-03-26 02:00:00+00:00|12.9136|4627,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2021-03-26 05:00:00+00:00,55560,13.0458,12.6122,0.4336000000000002,2.0776233828461885,,,,,0,-1,,2021-03-26 06:00:00+00:00,0,-1,,0,TIME_EXIT,55572,2021-03-26 06:00:00+00:00,13.4558,0.9455719557195571,60.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-04-06 04:00:00+00:00|22.52|4893,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2021-04-06 12:00:00+00:00,58812,22.8512,22.25,0.6011999999999986,1.4807881773398959,,,,,0,-1,,2021-04-06 17:00:00+00:00,1,58838,2021-04-06 14:10:00+00:00,0,STOP,58838,2021-04-06 14:10:00+00:00,22.25,-1.0,130.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-05-21 18:00:00+00:00|35.75|5987,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,0,RECLAIM_NO_BOS_WITHIN_WINDOW,2021-05-21 22:00:00+00:00,71892,37.732,33.691,4.040999999999997,1.764628820960698,,,,,0,-1,,2021-05-22 13:00:00+00:00,0,-1,,0,TIME_EXIT,72072,2021-05-22 13:00:00+00:00,36.789,-0.23335807968324637,900.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-05-27 15:00:00+00:00|33.725|6128,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,0,RECLAIM_FAILED_BEFORE_BOS,2021-05-27 18:00:00+00:00,73572,34.374,33.168,1.206000000000003,1.1208178438661716,,,,,0,-1,,2021-05-28 05:00:00+00:00,1,73657,2021-05-28 01:05:00+00:00,0,STOP,73657,2021-05-28 01:05:00+00:00,33.168,-1.0,425.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-06-08 13:00:00+00:00|35.406|6414,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2021-06-08 16:00:00+00:00,77004,36.635,33.55,3.085000000000001,2.0430463576158973,,,,,0,-1,,2021-06-08 18:00:00+00:00,0,-1,,0,TIME_EXIT,77028,2021-06-08 18:00:00+00:00,37.957,0.4285251215559165,120.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-07-01 22:00:00+00:00|33.055|6975,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,0,RECLAIM_FAILED_BEFORE_BOS,2021-07-02 01:00:00+00:00,83736,33.962,32.969,0.9930000000000021,1.3743944636678227,,,,,0,-1,,2021-07-02 04:00:00+00:00,1,83749,2021-07-02 02:05:00+00:00,0,STOP,83749,2021-07-02 02:05:00+00:00,32.969,-1.0,65.0,BASELINE_MARKET
STATIC_RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2021-07-28 04:00:00+00:00|27.529|7605,SELL_SIDE,3,SCORE3_B_BASELINE_MARKET,1,STRUCTURAL_LIQUIDITY_EVENT,2021-07-28 08:00:00+00:00,91308,28.053,27.435,0.6180000000000021,1.148698884758364,,,,,0,-1,,2021-07-28 12:00:00+00:00,0,-1,,0,TIME_EXIT,91356,2021-07-28 12:00:00+00:00,28.601,0.8867313915857546,240.0,BASELINE_MARKET
