rule_text,conditions,atoms_repr,selected_n,event_n,event_rate,lift_vs_buy_baseline,wilson_lower,mean_r,pf_r,cum_r,eligible
source_to_opposite_structure_range_units <= 1.59650150215,1,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '<=', 'threshold': 1.5965015021503175, 'quantile': 0.25}]",4,1,0.25,-0.125,0.045586062644636216,-0.42065755892508616,0.4391232547665518,-1.6826302357003446,False
source_to_opposite_structure_range_units >= 1.59650150215,1,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.5965015021503175, 'quantile': 0.25}]",12,5,0.4166666666666667,0.041666666666666685,0.19325746190524656,-0.4407311960035613,0.4123584053285849,-5.2887743520427355,False
source_to_opposite_structure_range_units <= 1.81134020619,1,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '<=', 'threshold': 1.811340206185567, 'quantile': 0.5}]",8,2,0.25,-0.125,0.07147768885802763,-0.5180210871548504,0.30930521712686604,-4.144168697238803,False
source_to_opposite_structure_range_units >= 1.81134020619,1,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.811340206185567, 'quantile': 0.5}]",8,4,0.5,0.125,0.21521252682444186,-0.35340448631303456,0.5287940182492873,-2.8272358905042765,False
source_to_opposite_structure_range_units <= 1.93762460051,1,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '<=', 'threshold': 1.9376246005088174, 'quantile': 0.75}]",12,3,0.25,-0.125,0.08894003962896138,-0.6786807247699004,0.18558313027611964,-8.144168697238804,False
source_to_opposite_structure_range_units >= 1.93762460051,1,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}]",4,3,0.75,0.375,0.3006360524426366,0.29319102737393093,1.5863820547478618,1.1727641094957237,False
approach_start_distance_to_level_range_units <= 0.978378228578,1,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}]",4,0,0.0,-0.375,0.0,-1.0,0.0,-4.0,False
approach_start_distance_to_level_range_units >= 0.978378228578,1,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}]",12,6,0.5,0.125,0.2537781703934222,-0.24761704897858997,0.628574426532115,-2.9714045877430797,False
approach_start_distance_to_level_range_units <= 1.08656260871,1,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}]",8,2,0.25,-0.125,0.07147768885802763,-0.3765541161112335,0.497927845185022,-3.012432928889868,False
approach_start_distance_to_level_range_units >= 1.08656260871,1,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 1.0865626087068305, 'quantile': 0.5}]",8,4,0.5,0.125,0.21521252682444186,-0.4948714573566515,0.3401713901911314,-3.958971658853212,False
approach_start_distance_to_level_range_units <= 1.24729634002,1,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.2472963400236092, 'quantile': 0.75}]",12,5,0.4166666666666667,0.041666666666666685,0.19325746190524656,-0.4561642825356939,0.39178095661907475,-5.473971390428327,False
approach_start_distance_to_level_range_units >= 1.24729634002,1,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 1.2472963400236092, 'quantile': 0.75}]",4,1,0.25,-0.125,0.045586062644636216,-0.3743582993286882,0.5008556008950824,-1.4974331973147528,False
reclaim_directional_body_range_units <= 0.82384492265,1,"[{'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 0.8238449226499903, 'quantile': 0.25}]",4,1,0.25,-0.125,0.045586062644636216,-0.42065755892508616,0.4391232547665518,-1.6826302357003446,False
reclaim_directional_body_range_units >= 0.82384492265,1,"[{'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 0.8238449226499903, 'quantile': 0.25}]",12,5,0.4166666666666667,0.041666666666666685,0.19325746190524656,-0.4407311960035613,0.4123584053285849,-5.2887743520427355,False
reclaim_directional_body_range_units <= 0.938715729547,1,"[{'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 0.9387157295465962, 'quantile': 0.5}]",8,3,0.375,0.0,0.13684175946152105,-0.39750792912688715,0.46998942783081715,-3.180063433015097,False
reclaim_directional_body_range_units >= 0.938715729547,1,"[{'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 0.9387157295465962, 'quantile': 0.5}]",8,3,0.375,0.0,0.13684175946152105,-0.4739176443409978,0.36810980754533623,-3.7913411547279825,False
reclaim_directional_body_range_units <= 1.07291188004,1,"[{'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 1.0729118800400952, 'quantile': 0.75}]",12,5,0.4166666666666667,0.041666666666666685,0.19325746190524656,-0.37582217718371846,0.49890376375504214,-4.509866126204622,False
reclaim_directional_body_range_units >= 1.07291188004,1,"[{'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 1.0729118800400952, 'quantile': 0.75}]",4,1,0.25,-0.125,0.045586062644636216,-0.6153846153846148,0.17948717948718038,-2.461538461538459,False
reclaim_close_inside_range_units <= 0.786541923801,1,"[{'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 0.7865419238005553, 'quantile': 0.25}]",4,3,0.75,0.375,0.3006360524426366,0.20498414174622565,1.4099682834924514,0.8199365669849026,False
reclaim_close_inside_range_units >= 0.786541923801,1,"[{'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 0.7865419238005553, 'quantile': 0.25}]",12,3,0.25,-0.125,0.08894003962896138,-0.6492784295606652,0.22086588452720174,-7.7913411547279825,False
reclaim_close_inside_range_units <= 0.851580400587,1,"[{'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 0.8515804005869738, 'quantile': 0.5}]",8,4,0.5,0.125,0.21521252682444186,-0.06373326577557761,0.8980267747590759,-0.5098661262046209,False
reclaim_close_inside_range_units >= 0.851580400587,1,"[{'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 0.8515804005869738, 'quantile': 0.5}]",8,2,0.25,-0.125,0.07147768885802763,-0.8076923076923074,0.0769230769230773,-6.461538461538459,False
