feature,hist_n,hist_median,hist_iqr,y2025_n,y2025_median,shift_2025_iqr,y2026_n,y2026_median,shift_2026_iqr,material_2026_shift,shift_direction
source_to_opposite_structure_range_units,34,1.7320353165729667,0.25855994119038983,12,1.815290029403908,0.32199385739199626,10,1.6488888888888784,-0.3215750564503095,False,DOWN
approach_start_distance_to_level_range_units,34,1.0865626087068305,0.3310951168742766,12,0.9136770715589893,-0.5221627512358914,10,1.1765879265091879,0.271901677838824,False,UP
reclaim_directional_body_range_units,34,0.886020359647486,0.3387773646127742,12,0.8512153233308646,-0.10273719543336066,10,1.0647773279352288,0.5276532229125276,True,UP
reclaim_close_inside_range_units,34,0.8810256410256525,0.3374983162562881,12,0.8434680277773574,-0.11128237220530234,10,0.9100132625994718,0.0858896776000707,False,UP
time_to_fill_min,34,15.0,28.75,12,5.0,-0.34782608695652173,10,22.5,0.2608695652173913,False,UP
directional_improvement_range_units,34,0.2208229598893463,0.08554599455233883,12,0.21275528915331898,-0.09430798926642149,10,0.22650013575888361,0.0663640173832323,False,UP
initial_risk_range_units,34,0.9734330484330602,0.5416102339244854,12,1.069144980130562,0.17671736186367268,10,1.122192671394766,0.2746617653137752,False,UP
structural_target_distance_range_units,34,1.053295609966789,0.3406994499237772,12,1.1685735098190015,0.33835657755832327,10,0.8133333333333339,-0.7043224657014869,True,DOWN
structural_reward_r,34,0.853699414811806,0.617893649705203,12,1.0322551026879427,0.2889747903402562,10,0.6903734439834036,-0.26432699366035756,False,DOWN
mfe_r,34,0.829891012593109,0.9787543882617208,12,0.9296399701371305,0.10191418678712315,10,0.6310096818810524,-0.2031984051333575,False,DOWN
mae_r,34,0.7851255886970268,0.4913915601250085,12,0.6785261121370869,-0.21693387760429028,10,0.8892503987240812,0.21189783967914588,False,UP
time_to_mfe_min,34,80.0,181.25,12,55.0,-0.13793103448275862,10,45.0,-0.19310344827586207,False,DOWN
terminal_r,34,-1.0,2.291852826580446,12,0.4677387624576669,0.6404158004541695,10,-1.0,0.0,False,FLAT_OR_NA
giveback_r,34,1.26622919400348,1.2227036656027714,12,0.8435482078698215,-0.3456937261452342,10,1.2271493212669915,-0.03196185129388878,False,DOWN
retained_fraction,34,-1.00559495895413,3.0263288063932685,12,0.4421495641102665,0.47838308910980354,10,-1.5860063038843033,-0.1917872716619641,False,DOWN
time_to_structural_outcome_min,34,257.5,453.75,12,237.5,-0.0440771349862259,10,232.5,-0.05509641873278237,False,DOWN
time_to_050r_min,22,32.5,38.75,10,12.5,-0.5161290322580645,6,30.0,-0.06451612903225806,False,DOWN
time_to_100r_min,14,80.0,90.0,6,67.5,-0.1388888888888889,3,110.0,0.3333333333333333,False,UP
time_to_150r_min,8,140.0,141.25,3,120.0,-0.1415929203539823,1,120.0,-0.1415929203539823,False,DOWN
close_r_30m,33,-0.04570791527313964,0.5547097738375395,12,0.3296596945774699,0.6766918982764224,9,0.05670816044260404,0.18463001833773127,False,UP
close_r_60m,31,-0.10857416573527164,0.7276561154934802,9,0.32144449398127073,0.5909641251690894,8,-0.04208144796380066,0.0913793155251325,False,UP
close_r_120m,20,0.1847278659460933,0.5951084200871367,6,0.35264943878884064,0.2821697142483045,6,-0.11593771301130121,-0.5052282387692828,False,DOWN
running_mfe_r_30m,33,0.3633136094674645,0.2729818918606701,12,0.5342816298180462,0.626298027261983,9,0.31120331950208424,-0.1908928449802719,False,DOWN
running_mfe_r_60m,31,0.47885032537961636,0.3840127011631542,9,0.4676772180115907,-0.029095671404052333,8,0.43120198265179566,-0.12408012178632734,False,DOWN
running_mfe_r_120m,20,0.6252530364372497,0.689910457439055,6,0.6531116907346992,0.040380101500216,6,0.6310096818810524,0.008344047233566175,False,UP
running_mae_r_30m,33,0.25957063503978367,0.23798562778217655,12,0.16612511197792632,-0.392651959417424,9,0.19617224880381487,-0.266395861072737,False,DOWN
running_mae_r_60m,31,0.42474916387959855,0.42584864805759187,9,0.21375921375921522,-0.49545760232600056,8,0.5274509803921509,0.24116976062035758,False,UP
running_mae_r_120m,20,0.34558205165960565,0.45546691806217354,6,0.27188326832557613,-0.16180930032764587,6,0.4203563583109665,0.16417066462147267,False,UP
max_adverse_before_first_050r,34,0.3558094797478828,0.6598113966629262,12,0.24870003158905835,-0.16233343149351934,10,0.4484316852737899,0.1403767894800769,False,UP
favorable_efficiency,34,-0.0895495202471947,0.37004130991796264,12,0.11208098462669645,0.5448864747522167,10,-0.07698607698607644,0.0339514614298159,False,UP
close_path_sign_flip_rate,34,0.49793388429752067,0.11325512883608713,12,0.5,0.018243021077390658,10,0.5174418604651163,0.17224805947489863,False,UP
