feature,quantile,threshold
raid_depth_pct,0.25,0.48041205040850743
raid_depth_pct,0.5,1.0314113312150264
raid_depth_pct,0.75,1.8522108981337493
reclaim_delay_h1_bars,0.25,0.0
reclaim_delay_h1_bars,0.5,0.5
reclaim_delay_h1_bars,0.75,1.0
bars_reclaim_to_bos,0.25,4.0
bars_reclaim_to_bos,0.5,6.0
bars_reclaim_to_bos,0.75,8.75
displacement_range_units,0.25,2.3813264504544813
displacement_range_units,0.5,3.0434060751597873
displacement_range_units,0.75,3.862975687103594
bear_path_efficiency,0.25,0.4232046084240686
bear_path_efficiency,0.5,0.6641436327551316
bear_path_efficiency,0.75,0.9207475977260157
bos_extension_range_units,0.25,0.20443355085437806
bos_extension_range_units,0.5,0.41665296503343563
bos_extension_range_units,0.75,0.7590621674423997
zone_width_range_units,0.25,0.6666666666666631
zone_width_range_units,0.5,0.886989148002769
zone_width_range_units,0.75,1.1586024373371737
bos_to_return_min,0.25,66.25
bos_to_return_min,0.5,287.5
bos_to_return_min,0.75,886.25
return_penetration_zone_width,0.25,0.0402289332683779
return_penetration_zone_width,0.5,0.13619621460041886
return_penetration_zone_width,0.75,0.3014705882352923
retrace_fraction_of_raid_leg,0.25,0.4144693473961759
retrace_fraction_of_raid_leg,0.5,0.6505413995715918
retrace_fraction_of_raid_leg,0.75,0.8161192502897269
origin_distance_from_pre_return_low_fraction,0.25,0.3681009093023388
origin_distance_from_pre_return_low_fraction,0.5,0.5856943593382155
origin_distance_from_pre_return_low_fraction,0.75,0.7781585081585067
