structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_reclaim_to_bos,displacement_range_units,bear_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_low,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,max_above_zone_width,max_new_low_extension_pct,return_year,path_status,path_anchor_i_5m,path_anchor_time,path_anchor_low,ascent_bars,up_path_efficiency,median_adjacent_overlap,overlap_gt50_share,range_contraction_ratio,body_contraction_ratio,largest_bull_body_share,sign_flip_rate,higher_low_share,rise_per_bar_range_units,max_bull_body_range_units,pre_return_drawup_fraction
2020-10-05 22:00:00+00:00__H513__L515,519,2020-10-05 22:00:00+00:00,519,2020-10-05 22:00:00+00:00,2020-10-05 23:00:00+00:00,2020,2.6623,513,515,2.6009,515,517,2.6727,0.39063967246364406,0,2.6532,0.03699999999999992,524,2020-10-06 03:00:00+00:00,2020-10-06 04:00:00+00:00,2.5938,2.5929,5,2.132432432432436,0.9398734177215187,0.19189189189190117,523,2020-10-06 02:00:00+00:00,2.6093,2.6339,2.6071,2.6113,2.6071,2.6339,0.7243243243243301,6301,2020-10-06 04:05:00+00:00,5.0,2.6029,2.6074,2.6013,2.6042,0.011194029850753255,2.5929,CONTINUATION,6311,2020-10-06 04:55:00+00:00,50.0,-0.9589552238805935,19.572679239461614,2020,TOO_SHORT_FOR_COMPRESSION,6300.0,2020-10-06 04:00:00+00:00,2.5934,2.0,,,,,,,,,,,
2020-11-07 12:00:00+00:00__H1294__L1297,1301,2020-11-07 12:00:00+00:00,1303,2020-11-07 14:00:00+00:00,2020-11-07 15:00:00+00:00,2020,2.2999,1294,1296,2.1517,1297,1299,2.5,8.7003782773164,2,2.1147,0.09845000000000004,1306,2020-11-07 17:00:00+00:00,2020-11-07 18:00:00+00:00,2.0617,2.0553,3,4.452006094464193,0.25678294573643445,0.9141696292534264,1305,2020-11-07 16:00:00+00:00,2.172,2.2383,1.9941,2.1914,1.9941,2.2383,2.480446927374303,15684,2020-11-07 18:00:00+00:00,0.0,2.062,2.1084,2.0519,2.0867,0.46805896805896796,2.0553,AMBIGUOUS,15684,2020-11-07 18:00:00+00:00,0.0,0.15765765765765744,10.845132097504008,2020,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2020-11-24 04:00:00+00:00__H1695__L1697,1701,2020-11-24 04:00:00+00:00,1703,2020-11-24 06:00:00+00:00,2020-11-24 07:00:00+00:00,2020,2.3298,1695,1697,2.2183,1697,1699,2.4652,5.81165765301741,2,2.2928,0.06809999999999983,1709,2020-11-24 12:00:00+00:00,2020-11-24 13:00:00+00:00,2.1619,2.1323,6,4.453744493392077,0.2867469879518075,0.8281938325991212,1707,2020-11-24 10:00:00+00:00,2.2721,2.2801,2.1476,2.2742,2.1476,2.2801,1.9456681350954506,20520,2020-11-24 13:00:00+00:00,0.0,2.1619,2.2082,2.1601,2.1927,0.45735849056603817,2.1323,INVALIDATED,20605,2020-11-24 20:05:00+00:00,425.0,0.7539622641509434,-1.3037565070581085,2020,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-02-14 03:00:00+00:00__H3657__L3665,3668,2021-02-14 03:00:00+00:00,3668,2021-02-14 03:00:00+00:00,2021-02-14 04:00:00+00:00,2021,9.1921,3657,3659,8.6022,3665,3667,9.2546,0.6799316804647404,0,8.9514,0.1747500000000004,3676,2021-02-14 11:00:00+00:00,2021-02-14 12:00:00+00:00,8.5941,8.5675,8,3.779685264663801,0.8219461697722554,0.046351931330475785,3672,2021-02-14 07:00:00+00:00,8.6956,8.7499,8.6812,8.7215,8.6812,8.7499,0.3931330472102981,44125,2021-02-14 12:05:00+00:00,5.0,8.6661,8.7499,8.651,8.7026,1.0,8.5675,CONTINUATION,44144,2021-02-14 13:40:00+00:00,95.0,3.6404657933042306,11.444412022176842,2021,TOO_SHORT_FOR_COMPRESSION,44124.0,2021-02-14 12:00:00+00:00,8.5859,2.0,,,,,,,,,,,
2021-05-12 22:00:00+00:00__H5768__L5772,5775,2021-05-12 22:00:00+00:00,5776,2021-05-12 23:00:00+00:00,2021-05-13 00:00:00+00:00,2021,48.2,5768,5770,42.689,5772,5774,49.201,2.0767634854771844,1,43.484,1.347999999999999,5780,2021-05-13 03:00:00+00:00,2021-05-13 04:00:00+00:00,42.66,42.05,4,4.852373887240363,0.2699868938401066,0.02151335311572959,5777,2021-05-13 00:00:00+00:00,43.564,45.49,39.368,44.598,39.368,45.49,4.541543026706234,69372,2021-05-13 04:00:00+00:00,0.0,42.665,42.75,42.566,42.708,0.5524338451486439,42.05,CONTINUATION,69440,2021-05-13 09:40:00+00:00,340.0,-0.08020254818686698,10.984542211652794,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-05-16 14:00:00+00:00__H5858__L5860,5863,2021-05-16 14:00:00+00:00,5865,2021-05-16 16:00:00+00:00,2021-05-16 17:00:00+00:00,2021,48.067,5858,5860,46.097,5860,5862,52.138,8.469428089957765,2,46.802,1.3647499999999972,5867,2021-05-16 18:00:00+00:00,2021-05-16 19:00:00+00:00,43.632,43.632,2,6.232643341271308,0.975985221674876,1.8061916101850217,5866,2021-05-16 17:00:00+00:00,46.775,47.478,44.181,46.841,44.181,47.478,2.4158270745557875,70416,2021-05-16 19:00:00+00:00,0.0,43.667,44.2,43.37,43.441,0.00576281468001378,43.632,AMBIGUOUS,70416,2021-05-16 19:00:00+00:00,0.0,1.3794358507734292,4.063531353135305,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-06-17 10:00:00+00:00__H6619__L6621,6627,2021-06-17 10:00:00+00:00,6629,2021-06-17 12:00:00+00:00,2021-06-17 13:00:00+00:00,2021,40.564,6619,6621,39.785,6621,6623,41.225,1.629523715609893,2,39.849,0.7100000000000009,6633,2021-06-17 16:00:00+00:00,2021-06-17 17:00:00+00:00,39.636,39.513,4,2.23802816901408,0.1343848580441607,0.2098591549295685,6631,2021-06-17 14:00:00+00:00,39.959,40.752,39.661,40.535,39.661,40.752,1.5366197183098589,79608,2021-06-17 17:00:00+00:00,0.0,39.646,39.745,39.327,39.573,0.07699358386800732,39.513,AMBIGUOUS,79608,2021-06-17 17:00:00+00:00,0.0,-0.9230064161319926,10.156151140131092,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-06-25 04:00:00+00:00__H6802__L6810,6813,2021-06-25 04:00:00+00:00,6813,2021-06-25 04:00:00+00:00,2021-06-25 05:00:00+00:00,2021,32.963,6802,6804,31.05,6810,6812,32.99,0.08191002032582606,0,32.166,0.8309999999999995,6818,2021-06-25 09:00:00+00:00,2021-06-25 10:00:00+00:00,30.378,30.319,5,3.1432009626955515,0.7268292682926814,0.808664259927799,6817,2021-06-25 08:00:00+00:00,31.236,31.463,30.533,31.302,30.533,31.463,1.1191335740072206,81828,2021-06-25 10:00:00+00:00,0.0,30.386,30.681,30.22,30.587,0.15913978494623626,30.319,AMBIGUOUS,81828,2021-06-25 10:00:00+00:00,0.0,-0.4978494623655926,12.150796530228563,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-07-01 22:00:00+00:00__H6971__L6972,6975,2021-07-01 22:00:00+00:00,6975,2021-07-01 22:00:00+00:00,2021-07-01 23:00:00+00:00,2021,34.209,6971,6973,33.055,6972,6974,34.284,0.21924055073225812,0,33.84,0.8079999999999998,6979,2021-07-02 02:00:00+00:00,2021-07-02 03:00:00+00:00,32.996,32.626,4,1.5940594059405904,0.37444543034605,0.07301980198019493,6977,2021-07-02 00:00:00+00:00,33.26,33.98,32.969,33.959,32.969,33.98,1.2512376237623712,83760,2021-07-02 03:00:00+00:00,0.0,32.989,33.015,32.843,32.905,0.045499505440157836,32.626,CONTINUATION,83762,2021-07-02 03:10:00+00:00,10.0,0.31552917903066663,3.917121314289213,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-07-24 06:00:00+00:00__H7505__L7508,7511,2021-07-24 06:00:00+00:00,7512,2021-07-24 07:00:00+00:00,2021-07-24 08:00:00+00:00,2021,28.987,7505,7507,28.403,7508,7510,29.496,1.7559595680822548,1,28.74,0.3755000000000006,7520,2021-07-24 15:00:00+00:00,2021-07-24 16:00:00+00:00,28.402,28.362,8,2.9134487350199625,0.16344294003868448,0.00266311584553307,7519,2021-07-24 14:00:00+00:00,28.56,28.739,28.264,28.586,28.264,28.739,1.2649800266311602,90252,2021-07-24 16:00:00+00:00,0.0,28.399,28.56,28.38,28.56,0.6231578947368389,28.362,CONTINUATION,90253,2021-07-24 16:05:00+00:00,5.0,1.5894736842105195,6.473450391368727,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
