structure_id,sweep_i_h1,sweep_time,sweep_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,sweep_open,sweep_high,sweep_low,sweep_close,sweep_depth_pct,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_sweep_to_bos,displacement_range_units,bear_path_efficiency,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,new_low_below_significant_pct
2020-09-21 04:00:00+00:00__H147__L158,165,2020-09-21 04:00:00+00:00,2020-09-21 05:00:00+00:00,2020,2.98,147,149,2.6972,158,160,2.9912,3.03,2.9071,2.9141,1.6778523489932917,169,2020-09-21 08:00:00+00:00,2020-09-21 09:00:00+00:00,2.6732,2.5961,4,5.141210374639757,0.8637504481893143,166,2020-09-21 05:00:00+00:00,2.9143,2.9379,2.8806,2.9331,2.8806,2.9379,3.7483316031440084
2020-09-27 01:00:00+00:00__H296__L300,306,2020-09-27 01:00:00+00:00,2020-09-27 02:00:00+00:00,2020,3.1562,296,298,3.0248,300,302,3.1563,3.1728,3.1305,3.1368,0.5259489259235695,314,2020-09-27 09:00:00+00:00,2020-09-27 10:00:00+00:00,3.0063,3.0,8,2.880622837370251,0.7847263980757665,312,2020-09-27 07:00:00+00:00,3.0604,3.0827,3.0515,3.0633,3.0515,3.0827,0.8198889182755863
2020-09-28 00:00:00+00:00__H323__L326,329,2020-09-28 00:00:00+00:00,2020-09-28 01:00:00+00:00,2020,3.1663,323,325,3.084,326,328,3.1596,3.2105,3.1316,3.1581,1.395951110128535,335,2020-09-28 06:00:00+00:00,2020-09-28 07:00:00+00:00,3.0437,3.0402,6,3.8344827586207075,0.6651162790697684,333,2020-09-28 04:00:00+00:00,3.1099,3.1206,3.1006,3.1135,3.1006,3.1206,1.4202334630350213
2020-09-28 03:00:00+00:00__H320__L326,332,2020-09-28 03:00:00+00:00,2020-09-28 04:00:00+00:00,2020,3.146,320,322,3.084,326,328,3.1532,3.1542,3.0965,3.1092,0.26064844246662666,335,2020-09-28 06:00:00+00:00,2020-09-28 07:00:00+00:00,3.0437,3.0402,3,2.463768115942039,0.8839406207827216,333,2020-09-28 04:00:00+00:00,3.1099,3.1206,3.1006,3.1135,3.1006,3.1206,1.4202334630350213
2020-09-30 05:00:00+00:00__H376__L378,382,2020-09-30 05:00:00+00:00,2020-09-30 06:00:00+00:00,2020,2.97,376,378,2.8981,378,380,2.977,2.989,2.9347,2.9347,0.639730639730618,388,2020-09-30 11:00:00+00:00,2020-09-30 12:00:00+00:00,2.8505,2.8487,6,3.968481375358151,0.8453815261044133,387,2020-09-30 10:00:00+00:00,2.9101,2.9264,2.9045,2.9145,2.9045,2.9264,1.7045650598668054
2020-10-03 12:00:00+00:00__H446__L455,461,2020-10-03 12:00:00+00:00,2020-10-03 13:00:00+00:00,2020,2.6574,446,448,2.6089,455,457,2.6654,2.6689,2.645,2.6517,0.4327538195228353,470,2020-10-03 21:00:00+00:00,2020-10-03 22:00:00+00:00,2.5915,2.5655,9,2.5089141004862174,0.5522935779816517,467,2020-10-03 18:00:00+00:00,2.6472,2.666,2.6355,2.6581,2.6355,2.666,1.663536356318759
2020-10-05 22:00:00+00:00__H513__L515,519,2020-10-05 22:00:00+00:00,2020-10-05 23:00:00+00:00,2020,2.6623,513,515,2.6009,515,517,2.645,2.6727,2.6446,2.6532,0.39063967246364406,524,2020-10-06 03:00:00+00:00,2020-10-06 04:00:00+00:00,2.5938,2.5929,5,2.132432432432436,0.9398734177215187,523,2020-10-06 02:00:00+00:00,2.6093,2.6339,2.6071,2.6113,2.6071,2.6339,0.30758583567226755
2020-10-16 17:00:00+00:00__H772__L774,778,2020-10-16 17:00:00+00:00,2020-10-16 18:00:00+00:00,2020,2.1918,772,774,2.1462,774,776,2.2062,2.2121,2.1674,2.1818,0.9261793959302711,781,2020-10-16 20:00:00+00:00,2020-10-16 21:00:00+00:00,2.1429,2.1413,3,1.877883310719127,0.6860670194003492,779,2020-10-16 18:00:00+00:00,2.1817,2.2093,2.1756,2.1907,2.1756,2.2093,0.22831050228309022
2020-10-18 18:00:00+00:00__H817__L819,827,2020-10-18 18:00:00+00:00,2020-10-18 19:00:00+00:00,2020,2.2494,817,819,2.1939,819,821,2.2532,2.255,2.2439,2.2465,0.24895527696273678,830,2020-10-18 21:00:00+00:00,2020-10-18 22:00:00+00:00,2.1903,2.183,3,4.40136054421769,0.9859649122807033,829,2020-10-18 20:00:00+00:00,2.2344,2.2414,2.2266,2.2346,2.2266,2.2414,0.4968321254387325
2020-11-04 10:00:00+00:00__H1223__L1224,1227,2020-11-04 10:00:00+00:00,2020-11-04 11:00:00+00:00,2020,1.3697,1223,1225,1.3432,1224,1226,1.3632,1.4001,1.3584,1.3679,2.219464116229841,1231,2020-11-04 14:00:00+00:00,2020-11-04 15:00:00+00:00,1.3038,1.3013,4,4.791044776119366,0.9223021582733831,1229,2020-11-04 12:00:00+00:00,1.3616,1.369,1.3529,1.363,1.3529,1.369,3.1194163192376454
2020-11-17 14:00:00+00:00__H1533__L1538,1543,2020-11-17 14:00:00+00:00,2020-11-17 15:00:00+00:00,2020,2.3303,1533,1535,2.194,1538,1540,2.1868,2.3431,2.1834,2.2674,0.5492854997210861,1544,2020-11-17 15:00:00+00:00,2020-11-17 16:00:00+00:00,2.171,2.1441,1,4.006984866123403,1.0,1543,2020-11-17 14:00:00+00:00,2.1868,2.3431,2.1834,2.2674,2.1834,2.3431,2.274384685505928
2020-11-18 23:00:00+00:00__H1571__L1573,1576,2020-11-18 23:00:00+00:00,2020-11-19 00:00:00+00:00,2020,2.1304,1571,1573,2.0727,1573,1575,2.1286,2.1321,2.1122,2.1166,0.07979722117912313,1580,2020-11-19 03:00:00+00:00,2020-11-19 04:00:00+00:00,2.0587,2.0552,4,1.6854190585533857,0.9293739967897212,1578,2020-11-19 01:00:00+00:00,2.1054,2.1152,2.0948,2.1072,2.0948,2.1152,0.8443093549476562
2020-11-23 11:00:00+00:00__H1679__L1680,1684,2020-11-23 11:00:00+00:00,2020-11-23 12:00:00+00:00,2020,2.3154,1679,1681,2.2585,1680,1682,2.3595,2.3609,2.2843,2.2878,1.9651032219055065,1688,2020-11-23 15:00:00+00:00,2020-11-23 16:00:00+00:00,2.1996,2.1815,4,2.769098712446352,0.6591928251121051,1685,2020-11-23 12:00:00+00:00,2.29,2.3218,2.2511,2.3106,2.2511,2.3218,3.409342483949522
2020-11-25 17:00:00+00:00__H1705__L1724,1738,2020-11-25 17:00:00+00:00,2020-11-25 18:00:00+00:00,2020,2.484,1705,1707,2.1686,1724,1726,2.4476,2.4856,2.3872,2.4191,0.06441223832527321,1747,2020-11-26 02:00:00+00:00,2020-11-26 03:00:00+00:00,2.1451,2.1,9,4.829787234042553,0.5785472972972959,1745,2020-11-26 00:00:00+00:00,2.2651,2.3097,2.2374,2.2885,2.2374,2.3097,3.1633311814073592
2020-12-09 21:00:00+00:00__H2071__L2075,2078,2020-12-09 21:00:00+00:00,2020-12-09 22:00:00+00:00,2020,1.6519,2071,2073,1.5954,2075,2077,1.6314,1.6532,1.6268,1.646,0.07869725770326408,2087,2020-12-10 06:00:00+00:00,2020-12-10 07:00:00+00:00,1.5833,1.582,9,2.262135922330105,0.5999999999999983,2085,2020-12-10 04:00:00+00:00,1.6182,1.6287,1.6159,1.6204,1.6159,1.6287,0.8399147549203873
2020-12-11 20:00:00+00:00__H2120__L2122,2125,2020-12-11 20:00:00+00:00,2020-12-11 21:00:00+00:00,2020,1.4973,2120,2122,1.4517,2122,2124,1.475,1.4994,1.4658,1.4857,0.14025245441795509,2128,2020-12-11 23:00:00+00:00,2020-12-12 00:00:00+00:00,1.4406,1.4363,3,2.630872483221477,0.9038076152304623,2127,2020-12-11 22:00:00+00:00,1.4826,1.4951,1.4671,1.4847,1.4671,1.4951,1.0608252393745319
2020-12-18 11:00:00+00:00__H2275__L2277,2284,2020-12-18 11:00:00+00:00,2020-12-18 12:00:00+00:00,2020,1.6844,2275,2277,1.6504,2277,2279,1.6966,1.6979,1.67,1.6812,0.8014723343623853,2288,2020-12-18 15:00:00+00:00,2020-12-18 16:00:00+00:00,1.6468,1.6405,4,2.0688259109311664,0.8730964467005099,2285,2020-12-18 12:00:00+00:00,1.6809,1.6859,1.6607,1.6837,1.6607,1.6859,0.5998545807077084
2020-12-19 11:00:00+00:00__H2300__L2304,2308,2020-12-19 11:00:00+00:00,2020-12-19 12:00:00+00:00,2020,1.7519,2300,2302,1.6936,2304,2306,1.7338,1.768,1.7323,1.7497,0.9190022261544639,2313,2020-12-19 16:00:00+00:00,2020-12-19 17:00:00+00:00,1.681,1.6773,5,4.4845360824742055,1.0,2310,2020-12-19 13:00:00+00:00,1.7434,1.7695,1.7377,1.7438,1.7377,1.7695,0.9624468587623984
2020-12-22 04:00:00+00:00__H2367__L2370,2373,2020-12-22 04:00:00+00:00,2020-12-22 05:00:00+00:00,2020,1.56,2367,2369,1.5132,2370,2372,1.5491,1.5626,1.549,1.5551,0.16666666666667052,2377,2020-12-22 08:00:00+00:00,2020-12-22 09:00:00+00:00,1.4952,1.4696,4,2.8989247311827926,1.0,2373,2020-12-22 04:00:00+00:00,1.5491,1.5626,1.549,1.5551,1.549,1.5626,2.8813111287338145
2020-12-22 14:00:00+00:00__H2373__L2377,2383,2020-12-22 14:00:00+00:00,2020-12-22 15:00:00+00:00,2020,1.5626,2373,2375,1.4696,2377,2379,1.55,1.5719,1.5489,1.5591,0.595161909637798,2395,2020-12-23 02:00:00+00:00,2020-12-23 03:00:00+00:00,1.455,1.4548,12,4.361940298507474,0.6084161309175895,2393,2020-12-23 00:00:00+00:00,1.4903,1.5082,1.488,1.5072,1.488,1.5082,1.0070767555797444
2021-01-10 23:00:00+00:00__H2841__L2845,2848,2021-01-10 23:00:00+00:00,2021-01-11 00:00:00+00:00,2021,3.454,2841,2843,3.15,2845,2847,3.4191,3.4937,3.4189,3.446,1.149392009264627,2852,2021-01-11 03:00:00+00:00,2021-01-11 04:00:00+00:00,3.1449,3.0385,4,2.7059736229635436,0.8087563792640342,2851,2021-01-11 02:00:00+00:00,3.3581,3.4194,3.2615,3.3924,3.2615,3.4194,3.5396825396825378
2021-01-14 14:00:00+00:00__H2928__L2930,2935,2021-01-14 14:00:00+00:00,2021-01-14 15:00:00+00:00,2021,3.4982,2928,2930,3.3555,2930,2932,3.4867,3.5107,3.4661,3.4871,0.35732662512149016,2937,2021-01-14 16:00:00+00:00,2021-01-14 17:00:00+00:00,3.2888,3.2793,2,3.403374233128835,0.9556626506024102,2936,2021-01-14 15:00:00+00:00,3.487,3.5674,3.46,3.4917,3.46,3.5674,2.2708985248100144
2021-01-14 15:00:00+00:00__H2921__L2930,2936,2021-01-14 15:00:00+00:00,2021-01-14 16:00:00+00:00,2021,3.5422,2921,2923,3.3555,2930,2932,3.487,3.5674,3.46,3.4917,0.7114222799390335,2937,2021-01-14 16:00:00+00:00,2021-01-14 17:00:00+00:00,3.2888,3.2793,1,4.312693498452012,1.0,2936,2021-01-14 15:00:00+00:00,3.487,3.5674,3.46,3.4917,3.46,3.5674,2.2708985248100144
2021-02-05 15:00:00+00:00__H3453__L3459,3464,2021-02-05 15:00:00+00:00,2021-02-05 16:00:00+00:00,2021,6.9718,3453,3455,6.619,3459,3461,6.9304,7.0587,6.8557,6.9592,1.2464499842221421,3474,2021-02-06 01:00:00+00:00,2021-02-06 02:00:00+00:00,6.1804,6.0544,10,6.185211267605621,0.6850809289232932,3473,2021-02-06 00:00:00+00:00,6.7116,6.836,6.7098,6.7569,6.7098,6.836,8.529989424384341
2021-02-10 09:00:00+00:00__H3570__L3573,3578,2021-02-10 09:00:00+00:00,2021-02-10 10:00:00+00:00,2021,8.43,3570,3572,8.1061,3573,3575,8.4061,8.4551,8.3147,8.3443,0.29774614472124483,3581,2021-02-10 12:00:00+00:00,2021-02-10 13:00:00+00:00,7.9241,7.2879,3,3.992481203007503,1.0,3579,2021-02-10 10:00:00+00:00,8.3417,8.386,8.2617,8.3422,8.2617,8.386,10.093633189820013
2021-02-14 03:00:00+00:00__H3657__L3665,3668,2021-02-14 03:00:00+00:00,2021-02-14 04:00:00+00:00,2021,9.1921,3657,3659,8.6022,3665,3667,9.2325,9.2546,8.9177,8.9514,0.6799316804647404,3676,2021-02-14 11:00:00+00:00,2021-02-14 12:00:00+00:00,8.5941,8.5675,8,3.779685264663801,0.8219461697722554,3672,2021-02-14 07:00:00+00:00,8.6956,8.7499,8.6812,8.7215,8.6812,8.7499,0.40338518053520106
