candidate_id,family,side,level,activation_i_h1,activation_time,activation_year,expiry_i_h1,expiry_time,source_pivot_i,source_confirm_i,cluster_prior_pivot_i,cluster_price_diff_range_units,source_period_start,sweep_i_h1,sweep_time,sweep_year,sweep_open,sweep_high,sweep_low,sweep_close,sweep_extreme,sweep_depth,sweep_depth_range_units,age_to_sweep_hours,same_bar_reclaim,reclaim_i_h1,reclaim_time,reclaim_delay_h1_bars,significant_opposite_pivot_i,significant_opposite_confirm_i,significant_opposite_level,outcome,resolution_i_h1,resolution_time,sweep_to_resolution_h1_bars,bos_i_h1,bos_time,bos_close,displacement_range_units,bos_extension_range_units
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-18 03:00:00+00:00|2.9604|92,H1_EQUAL_CLUSTER,BUY_SIDE,2.9604,92,2020-09-18 03:00:00+00:00,2020,428,2020-10-02 03:00:00+00:00,89.0,91.0,86.0,0.21834451901566015,,95,2020-09-18 06:00:00+00:00,2020,2.887,2.9972,2.8621,2.9645,2.9972,0.036799999999999944,0.4153498871331811,3.0,0.0,96,2020-09-18 07:00:00+00:00,1.0,90.0,92.0,2.724,RECLAIM_FAILED_BEFORE_BOS,99.0,2020-09-18 10:00:00+00:00,4.0,-1.0,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-19 01:00:00+00:00|3.15|114,H1_EQUAL_CLUSTER,BUY_SIDE,3.15,114,2020-09-19 01:00:00+00:00,2020,450,2020-10-03 01:00:00+00:00,111.0,113.0,100.0,0.055357142857140676,,114,2020-09-19 01:00:00+00:00,2020,3.0915,3.2431,3.082,3.1804,3.2431,0.09310000000000018,0.8312500000000009,0.0,0.0,116,2020-09-19 03:00:00+00:00,2.0,107.0,109.0,2.8004,RECLAIM_NO_BOS_WITHIN_WINDOW,-1.0,,,-1.0,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-19 17:00:00+00:00|3.1621|130,H1_EQUAL_CLUSTER,BUY_SIDE,3.1621,130,2020-09-19 17:00:00+00:00,2020,466,2020-10-03 17:00:00+00:00,127.0,129.0,120.0,0.11184210526316009,,250,2020-09-24 17:00:00+00:00,2020,3.1374,3.2357,3.1178,3.1654,3.2357,0.07359999999999989,1.0322580645161286,120.0,0.0,251,2020-09-24 18:00:00+00:00,1.0,246.0,248.0,2.8885,RECLAIM_NO_BOS_WITHIN_WINDOW,-1.0,,,-1.0,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-19 20:00:00+00:00|3.1536|133,H1_EQUAL_CLUSTER,BUY_SIDE,3.1536,133,2020-09-19 20:00:00+00:00,2020,469,2020-10-03 20:00:00+00:00,130.0,132.0,127.0,0.114734299516909,,250,2020-09-24 17:00:00+00:00,2020,3.1374,3.2357,3.1178,3.1654,3.2357,0.08210000000000006,1.1514726507713906,117.0,0.0,-1,,,246.0,248.0,2.8885,ACCEPTED_OR_NO_RECLAIM,,,,,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-23 20:00:00+00:00|3.0162|229,H1_EQUAL_CLUSTER,BUY_SIDE,3.0162,229,2020-09-23 20:00:00+00:00,2020,565,2020-10-07 20:00:00+00:00,226.0,228.0,221.0,0.18472063854047857,,240,2020-09-24 07:00:00+00:00,2020,2.9393,3.0547,2.939,3.0398,3.0547,0.03849999999999998,0.536959553695956,11.0,0.0,241,2020-09-24 08:00:00+00:00,1.0,237.0,239.0,2.8809,RECLAIM_FAILED_BEFORE_BOS,249.0,2020-09-24 16:00:00+00:00,9.0,-1.0,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-24 23:00:00+00:00|3.2538|256,H1_EQUAL_CLUSTER,BUY_SIDE,3.2538,256,2020-09-24 23:00:00+00:00,2020,592,2020-10-08 23:00:00+00:00,253.0,255.0,250.0,0.23027989821882958,,277,2020-09-25 20:00:00+00:00,2020,3.2126,3.2698,3.1968,3.2022,3.2698,0.016000000000000014,0.23289665211062618,21.0,1.0,277,2020-09-25 20:00:00+00:00,0.0,271.0,273.0,2.9695,RECLAIM_NO_BOS_WITHIN_WINDOW,-1.0,,,-1.0,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-27 18:00:00+00:00|3.1495|323,H1_EQUAL_CLUSTER,BUY_SIDE,3.1495,323,2020-09-27 18:00:00+00:00,2020,659,2020-10-11 18:00:00+00:00,320.0,322.0,309.0,0.09485094850949287,,323,2020-09-27 18:00:00+00:00,2020,3.1241,3.1663,3.1124,3.1224,3.1663,0.016799999999999926,0.45528455284552727,0.0,1.0,323,2020-09-27 18:00:00+00:00,0.0,320.0,322.0,3.0632,RECLAIM_FAILED_BEFORE_BOS,330.0,2020-09-28 01:00:00+00:00,7.0,-1.0,,,,
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-29 10:00:00+00:00|3.0156|363,H1_EQUAL_CLUSTER,BUY_SIDE,3.0156,363,2020-09-29 10:00:00+00:00,2020,699,2020-10-13 10:00:00+00:00,360.0,362.0,353.0,0.21346886912325194,,367,2020-09-29 14:00:00+00:00,2020,2.9861,3.02,2.9861,3.0062,3.02,0.0043999999999999595,0.11181702668360763,4.0,1.0,367,2020-09-29 14:00:00+00:00,0.0,359.0,361.0,2.9114,STRUCTURAL_LIQUIDITY_EVENT,372.0,2020-09-29 19:00:00+00:00,5.0,372.0,2020-09-29 19:00:00+00:00,2.8933,3.2198221092757318,0.45997458703939026
H1_EQUAL_CLUSTER|BUY_SIDE|2020-09-29 13:00:00+00:00|3.0072|366,H1_EQUAL_CLUSTER,BUY_SIDE,3.0072,366,2020-09-29 13:00:00+00:00,2020,702,2020-10-13 13:00:00+00:00,363.0,365.0,360.0,0.00762388818297812,,367,2020-09-29 14:00:00+00:00,2020,2.9861,3.02,2.9861,3.0062,3.02,0.012799999999999923,0.32528589580685957,1.0,1.0,367,2020-09-29 14:00:00+00:00,0.0,359.0,361.0,2.9114,STRUCTURAL_LIQUIDITY_EVENT,372.0,2020-09-29 19:00:00+00:00,5.0,372.0,2020-09-29 19:00:00+00:00,2.8933,3.2198221092757318,0.45997458703939026
H1_EQUAL_CLUSTER|BUY_SIDE|2020-10-03 07:00:00+00:00|2.6574|456,H1_EQUAL_CLUSTER,BUY_SIDE,2.6574,456,2020-10-03 07:00:00+00:00,2020,792,2020-10-17 07:00:00+00:00,453.0,455.0,446.0,0.21208053691274617,,460,2020-10-03 11:00:00+00:00,2020,2.6393,2.6667,2.633,2.6656,2.6667,0.009300000000000086,0.30145867098865714,4.0,0.0,461,2020-10-03 12:00:00+00:00,1.0,455.0,457.0,2.6089,STRUCTURAL_LIQUIDITY_EVENT,470.0,2020-10-03 21:00:00+00:00,10.0,470.0,2020-10-03 21:00:00+00:00,2.5915,2.4376012965964358,0.5640194489465244
