family,side,year,sweep_n,reclaim_rate,structural_event_rate_sweep,structural_event_rate_reclaimed
H1_EQUAL_CLUSTER,BUY_SIDE,2020,46,0.717391304347826,0.2826086956521739,0.3939393939393939
H1_EQUAL_CLUSTER,BUY_SIDE,2021,153,0.6078431372549019,0.11764705882352941,0.1935483870967742
H1_EQUAL_CLUSTER,BUY_SIDE,2022,151,0.6622516556291391,0.15894039735099338,0.24
H1_EQUAL_CLUSTER,BUY_SIDE,2023,163,0.5950920245398773,0.1901840490797546,0.31958762886597936
H1_EQUAL_CLUSTER,BUY_SIDE,2024,190,0.6631578947368421,0.16842105263157894,0.25396825396825395
H1_EQUAL_CLUSTER,SELL_SIDE,2020,41,0.6097560975609756,0.0975609756097561,0.16
H1_EQUAL_CLUSTER,SELL_SIDE,2021,125,0.712,0.2,0.2808988764044944
H1_EQUAL_CLUSTER,SELL_SIDE,2022,174,0.603448275862069,0.12643678160919541,0.20952380952380953
H1_EQUAL_CLUSTER,SELL_SIDE,2023,152,0.7828947368421053,0.1513157894736842,0.19327731092436976
H1_EQUAL_CLUSTER,SELL_SIDE,2024,153,0.7058823529411765,0.19607843137254902,0.2777777777777778
H1_SWING,BUY_SIDE,2020,295,0.6949152542372882,0.2135593220338983,0.3073170731707317
H1_SWING,BUY_SIDE,2021,1111,0.63996399639964,0.135013501350135,0.2109704641350211
H1_SWING,BUY_SIDE,2022,996,0.6947791164658634,0.20682730923694778,0.2976878612716763
H1_SWING,BUY_SIDE,2023,1148,0.6829268292682927,0.1794425087108014,0.2627551020408163
H1_SWING,BUY_SIDE,2024,1136,0.7112676056338029,0.1875,0.2636138613861386
H1_SWING,SELL_SIDE,2020,342,0.6345029239766082,0.1023391812865497,0.16129032258064516
H1_SWING,SELL_SIDE,2021,1013,0.7324777887462981,0.2063178677196446,0.2816711590296496
H1_SWING,SELL_SIDE,2022,1138,0.6845342706502636,0.15641476274165203,0.22849807445442877
H1_SWING,SELL_SIDE,2023,1083,0.7359187442289935,0.1680517082179132,0.22835633626097868
H1_SWING,SELL_SIDE,2024,1099,0.7343039126478617,0.18835304822565968,0.25650557620817843
H4_SWING,BUY_SIDE,2020,70,0.6571428571428571,0.17142857142857143,0.2608695652173913
H4_SWING,BUY_SIDE,2021,251,0.6414342629482072,0.099601593625498,0.15527950310559005
H4_SWING,BUY_SIDE,2022,196,0.6173469387755102,0.15816326530612246,0.256198347107438
H4_SWING,BUY_SIDE,2023,277,0.6245487364620939,0.1263537906137184,0.2023121387283237
H4_SWING,BUY_SIDE,2024,257,0.688715953307393,0.14785992217898833,0.21468926553672316
H4_SWING,SELL_SIDE,2020,95,0.6631578947368421,0.07368421052631578,0.1111111111111111
H4_SWING,SELL_SIDE,2021,213,0.7605633802816901,0.1643192488262911,0.21604938271604937
H4_SWING,SELL_SIDE,2022,263,0.6730038022813688,0.11787072243346007,0.1751412429378531
H4_SWING,SELL_SIDE,2023,242,0.7066115702479339,0.128099173553719,0.18128654970760233
H4_SWING,SELL_SIDE,2024,241,0.7302904564315352,0.12448132780082988,0.17045454545454544
PREVIOUS_DAY,BUY_SIDE,2020,41,0.6097560975609756,0.21951219512195122,0.36
PREVIOUS_DAY,BUY_SIDE,2021,189,0.6296296296296297,0.1164021164021164,0.18487394957983194
PREVIOUS_DAY,BUY_SIDE,2022,146,0.6575342465753424,0.1506849315068493,0.22916666666666666
PREVIOUS_DAY,BUY_SIDE,2023,169,0.7100591715976331,0.15384615384615385,0.21666666666666667
PREVIOUS_DAY,BUY_SIDE,2024,187,0.7058823529411765,0.15508021390374332,0.2196969696969697
PREVIOUS_DAY,SELL_SIDE,2020,53,0.6792452830188679,0.11320754716981132,0.16666666666666666
PREVIOUS_DAY,SELL_SIDE,2021,152,0.756578947368421,0.15789473684210525,0.20869565217391303
PREVIOUS_DAY,SELL_SIDE,2022,180,0.6888888888888889,0.10555555555555556,0.1532258064516129
PREVIOUS_DAY,SELL_SIDE,2023,145,0.8068965517241379,0.1793103448275862,0.2222222222222222
PREVIOUS_DAY,SELL_SIDE,2024,157,0.6878980891719745,0.19745222929936307,0.28703703703703703
PREVIOUS_WEEK,BUY_SIDE,2020,4,1.0,0.0,0.0
PREVIOUS_WEEK,BUY_SIDE,2021,35,0.5714285714285714,0.08571428571428572,0.15
PREVIOUS_WEEK,BUY_SIDE,2022,16,0.625,0.0,0.0
PREVIOUS_WEEK,BUY_SIDE,2023,31,0.6451612903225806,0.0967741935483871,0.15
PREVIOUS_WEEK,BUY_SIDE,2024,27,0.6296296296296297,0.07407407407407407,0.11764705882352941
PREVIOUS_WEEK,SELL_SIDE,2020,8,0.625,0.125,0.2
PREVIOUS_WEEK,SELL_SIDE,2021,18,0.8888888888888888,0.16666666666666666,0.1875
PREVIOUS_WEEK,SELL_SIDE,2022,29,0.5862068965517241,0.10344827586206896,0.17647058823529413
PREVIOUS_WEEK,SELL_SIDE,2023,17,0.5882352941176471,0.0,0.0
PREVIOUS_WEEK,SELL_SIDE,2024,23,0.782608695652174,0.043478260869565216,0.05555555555555555
