family,variant,parameter,year,horizon_min,events,resolved,win_rate,mean_close_r,median_close_r,mean_mfe,mean_mae,median_mfe_mae_ratio
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,2022,240,543,525,0.5123809523809524,0.04881661772599281,-0.13984874334750563,2.06538161102359,1.8655649757445942,1.0053140096618436
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,2023,240,536,525,0.45904761904761904,-0.11657117859158464,-0.14859111118750837,2.127888922470205,2.1290374508733034,0.8930697785186896
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,2024,240,581,573,0.5043630017452007,-0.1512081089085654,-0.18098319590857895,2.088323082912939,2.0436767324066314,1.0533807829181414
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,2022,240,519,503,0.4850894632206759,0.012002471969060206,-0.17474620164662924,2.0907028473396396,1.9488642240536114,0.8614825581395406
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,2023,240,529,518,0.4691119691119691,0.03155089846713184,-0.08494985598778827,2.2542043168962187,2.0835975003383624,0.9076923076923171
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,2024,240,548,538,0.5074349442379182,-0.027775758409146773,-0.05641651075495631,2.151225365692093,2.036042354758448,1.0858460098998017
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,2022,240,463,450,0.4888888888888889,-0.05252747997132211,-0.28767123287671387,2.1363143397347906,2.014085018576406,0.8472222222222326
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,2023,240,470,458,0.5021834061135371,0.16989941142334958,-0.0344545365598663,2.474686290998882,1.989331524625674,1.0820732526881738
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,2024,240,514,506,0.5177865612648221,-0.0807636512564058,-0.05641651075495631,2.1791593545980685,2.0367096241810114,1.1718465060334045
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,2022,240,913,895,0.5441340782122905,0.014726087659371176,-0.10663281497936121,2.242330321178312,2.1109530002389927,1.0333333333333505
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,2023,240,943,919,0.5070729053318824,0.0017496935834256256,-0.09154228855722692,2.3301871863238546,2.2212019165225225,1.035786290322587
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,2024,240,978,967,0.4891416752843847,-0.05644551826797059,0.016833221994566595,2.1795562820773022,2.1281093120441903,1.016363052979169
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,2022,240,957,945,0.5386243386243387,0.043440683925659765,-0.10201912858661047,2.231983265362598,2.0859420560676685,1.0000000000000167
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,2023,240,967,951,0.519453207150368,0.16654533429944735,-0.022595324023223822,2.4795652602920017,2.1018280893957875,1.0675675675675538
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,2024,240,1028,1018,0.49901768172888017,-0.002339123637244466,0.22981281784689964,2.0991816311944373,2.0465107243354965,1.0579932749387608
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,2022,240,880,869,0.522439585730725,0.11273991581739791,-0.09279204639603297,2.24696202663573,2.0487378604382185,1.0000000000000075
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,2023,240,883,862,0.5382830626450116,0.23407743376569545,0.09115847225153319,2.4570219763345835,1.9870797131388713,1.174129353233852
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,2024,240,911,896,0.5,-0.060286436091869844,-0.13571117877338976,2.1338662316970574,2.022824720133985,1.0055272108843438
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,2022,240,901,896,0.45424107142857145,-0.17185802572322437,-0.07594936708861952,1.989353604469872,2.3399723278034164,0.8240469208211159
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,2023,240,961,940,0.5074468085106383,-0.1242178821911218,0.035665003715111936,2.134729207654987,2.473493335404463,0.9025423728813576
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,2024,240,910,901,0.47613762486126526,0.08239816197399721,0.03943438792748305,2.1060496496306618,2.2363894311665513,0.9450580009534324
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,2022,240,705,696,0.4468390804597701,-0.2682677711780136,-0.1450151057401783,2.0159685632165387,2.496571930674399,0.8115942028985567
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,2023,240,771,750,0.49866666666666665,-0.08523264642579147,0.11407446527594826,2.1522201816895694,2.492973010314248,0.8625730994152129
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,2024,240,744,739,0.4925575101488498,0.11359458824070084,0.10921580702995609,2.1593030547985874,2.2551142738783714,1.0628126421100617
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,2022,240,1041,1034,0.4700193423597679,-0.13485805562143877,-0.06508474576272201,2.012528389898534,2.2786926414510034,0.8995215311004747
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,2023,240,1101,1073,0.4958061509785648,-0.03227197053228088,0.0,2.0831692149955106,2.2727921320934676,0.9517241379310244
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,2024,240,1064,1052,0.4828897338403042,0.09112857423516889,0.07098753882684677,2.1487127594493782,2.1816754098275437,0.9811826403369421
