partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_invalidation_close_ts,case_exit_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_break_ts,control_invalidation_close_ts,control_exit_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,case__close_H_R,control__close_H_R,case__drawdown_from_best_R,control__drawdown_from_best_R
development,60,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:40:00+00:00,2022-03-06 19:45:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 17:15:00+00:00,-17.630385487528322,2022-03-10 22:35:00+00:00,2022-03-10 15:00:00+00:00,0.0,,,2022-03-11 02:55:00+00:00,2022-03-10 22:40:00+00:00,2022-03-10 23:30:00+00:00,-15.546819156540382,0.46666666666666806,0.3254437869822473,-0.44074074074073943,-0.2159763313609482,0.44074074074073943,0.19822485207100668
development,60,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:10:00+00:00,2022-03-09 19:15:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 16:45:00+00:00,-16.31165919282507,2022-03-10 22:35:00+00:00,2022-03-10 15:00:00+00:00,0.0,,,2022-03-11 02:55:00+00:00,2022-03-10 22:40:00+00:00,2022-03-10 23:30:00+00:00,-15.546819156540382,0.33828996282527785,0.3254437869822473,-0.2750929368029776,-0.2159763313609482,0.3717472118959111,0.19822485207100668
development,60,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:25:00+00:00,2022-06-05 23:30:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 17:00:00+00:00,-17.508754377188573,2022-06-02 15:20:00+00:00,2022-06-02 15:00:00+00:00,0.0,,,2022-06-03 02:55:00+00:00,2022-06-02 15:25:00+00:00,2022-06-02 16:15:00+00:00,-0.8486905916585963,0.6349206349206337,0.4502923976608203,-0.4603174603174597,-0.2339181286549698,0.650793650793652,0.18713450292397252
development,60,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:45:00+00:00,2022-07-10 00:50:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 19:25:00+00:00,-15.717598557072886,2022-07-26 23:55:00+00:00,2022-07-26 15:00:00+00:00,1.0,,,2022-07-27 02:55:00+00:00,2022-07-27 00:00:00+00:00,2022-07-27 00:50:00+00:00,-3.9977943203750588,0.5887850467289742,0.370967741935484,-0.41121495327103247,-0.32258064516129437,0.5794392523364527,0.387096774193551
development,60,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:15:00+00:00,2022-07-11 00:20:00+00:00,2022-07-10 20:30:00+00:00,2022-07-10 21:20:00+00:00,-16.353887399463808,2022-07-26 23:55:00+00:00,2022-07-26 15:00:00+00:00,1.0,,,2022-07-27 02:55:00+00:00,2022-07-27 00:00:00+00:00,2022-07-27 00:50:00+00:00,-3.9977943203750588,0.25471698113207286,0.370967741935484,0.06603773584905717,-0.32258064516129437,0.03773584905660314,0.387096774193551
development,60,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 17:55:00+00:00,2022-09-20 18:00:00+00:00,2022-09-20 15:55:00+00:00,2022-09-20 16:45:00+00:00,-14.77832512315269,2022-10-04 20:45:00+00:00,2022-10-04 15:00:00+00:00,1.0,,,2022-10-05 02:55:00+00:00,2022-10-04 20:50:00+00:00,2022-10-04 21:40:00+00:00,-3.4914169333720713,0.49462365591397384,0.3636363636363649,-0.21505376344085653,-0.3535353535353496,0.2903225806451582,0.3131313131313099
development,60,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:20:00+00:00,2022-11-27 23:25:00+00:00,2022-11-27 15:20:00+00:00,2022-11-27 16:10:00+00:00,-8.668105548979954,2022-11-30 00:45:00+00:00,2022-11-29 15:00:00+00:00,1.0,,,2022-11-30 02:55:00+00:00,2022-11-30 00:50:00+00:00,2022-11-30 01:40:00+00:00,-1.3709502850133837,0.17808219178082102,0.4157782515991482,-0.03196347031963329,-0.3390191897654603,0.3013698630137027,0.4157782515991482
development,60,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:30:00+00:00,2023-01-07 22:35:00+00:00,2023-01-07 16:00:00+00:00,2023-01-07 16:50:00+00:00,-6.367746797287078,2023-01-15 15:50:00+00:00,2023-01-15 15:00:00+00:00,2.0,,,2023-01-16 02:55:00+00:00,2023-01-15 15:55:00+00:00,2023-01-15 16:45:00+00:00,-5.793450881612094,0.7066666666666641,0.43516483516483595,-0.433333333333329,-0.35549450549450656,0.4133333333333283,0.3648351648351656
development,60,2023-02-21 18:00:00+00:00,2023-02-21 15:00:00+00:00,2.0,2023-02-21 21:20:00+00:00,2023-02-21 21:25:00+00:00,2023-02-21 18:05:00+00:00,2023-02-21 18:55:00+00:00,-14.591668627912446,2023-03-03 19:50:00+00:00,2023-03-03 15:00:00+00:00,2.0,,,2023-03-04 02:55:00+00:00,2023-03-03 19:55:00+00:00,2023-03-03 20:45:00+00:00,-3.0315750198218194,0.2895805142083876,0.2763157894736794,-0.09472259810554833,-0.19078947368421018,0.12313937753721378,0.3925438596491277
development,60,2023-02-28 15:25:00+00:00,2023-02-28 15:00:00+00:00,2.0,2023-02-28 20:00:00+00:00,2023-02-28 20:05:00+00:00,2023-02-28 15:30:00+00:00,2023-02-28 16:20:00+00:00,-11.032343819229073,2023-03-03 19:50:00+00:00,2023-03-03 15:00:00+00:00,2.0,,,2023-03-04 02:55:00+00:00,2023-03-03 19:55:00+00:00,2023-03-03 20:45:00+00:00,-3.0315750198218194,0.29193899782135174,0.2763157894736794,-0.09586056644880288,-0.19078947368421018,0.3703703703703744,0.3925438596491277
development,60,2023-03-05 15:30:00+00:00,2023-03-05 15:00:00+00:00,2.0,2023-03-05 17:55:00+00:00,2023-03-05 18:00:00+00:00,2023-03-05 15:35:00+00:00,2023-03-05 16:25:00+00:00,-5.648525758214951,2023-03-03 19:50:00+00:00,2023-03-03 15:00:00+00:00,2.0,,,2023-03-04 02:55:00+00:00,2023-03-03 19:55:00+00:00,2023-03-03 20:45:00+00:00,-3.0315750198218194,0.5891089108910933,0.2763157894736794,-0.5148514851485155,-0.19078947368421018,0.4306930693069333,0.3925438596491277
development,60,2023-03-09 15:05:00+00:00,2023-03-09 15:00:00+00:00,2.0,2023-03-09 16:35:00+00:00,2023-03-09 16:40:00+00:00,2023-03-09 15:10:00+00:00,2023-03-09 16:00:00+00:00,-13.837489943684611,2023-03-14 15:05:00+00:00,2023-03-14 15:00:00+00:00,2.0,,,2023-03-15 02:55:00+00:00,2023-03-14 15:10:00+00:00,2023-03-14 16:00:00+00:00,-23.290520984080963,0.638132295719844,0.19564270152505378,-0.6342412451361886,-0.07363834422657824,0.5894941634241269,0.06840958605664495
development,60,2023-06-14 17:35:00+00:00,2023-06-14 15:00:00+00:00,2.0,2023-06-14 20:00:00+00:00,2023-06-14 20:05:00+00:00,2023-06-14 17:40:00+00:00,2023-06-14 18:30:00+00:00,-10.76077713089557,2023-06-02 19:05:00+00:00,2023-06-02 15:00:00+00:00,2.0,,,2023-06-03 02:55:00+00:00,2023-06-02 19:10:00+00:00,2023-06-02 20:00:00+00:00,-3.4053546265852552,1.3257328990227997,0.17492711370262018,-0.7785016286644967,0.04664723032070493,1.0553745928338745,0.2099125364431463
development,60,2023-06-18 16:20:00+00:00,2023-06-18 15:00:00+00:00,2.0,2023-06-18 20:20:00+00:00,2023-06-18 20:25:00+00:00,2023-06-18 16:25:00+00:00,2023-06-18 17:15:00+00:00,-10.388294166086053,2023-06-02 19:05:00+00:00,2023-06-02 15:00:00+00:00,2.0,,,2023-06-03 02:55:00+00:00,2023-06-02 19:10:00+00:00,2023-06-02 20:00:00+00:00,-3.4053546265852552,0.2938931297709917,0.17492711370262018,-0.20229007633588067,0.04664723032070493,0.290076335877864,0.2099125364431463
development,60,2023-07-30 15:30:00+00:00,2023-07-30 15:00:00+00:00,3.0,2023-07-30 19:45:00+00:00,2023-07-30 19:50:00+00:00,2023-07-30 15:35:00+00:00,2023-07-30 16:25:00+00:00,-14.970657511277906,2023-08-08 00:05:00+00:00,2023-08-07 15:00:00+00:00,3.0,,,2023-08-08 02:55:00+00:00,2023-08-08 00:10:00+00:00,2023-08-08 01:00:00+00:00,-1.8781572470963903,0.664723032069965,0.1911111111111145,-0.4227405247813399,0.059999999999994,0.44314868804665025,0.0777777777777776
development,60,2023-08-03 15:00:00+00:00,2023-08-03 15:00:00+00:00,3.0,2023-08-03 22:05:00+00:00,2023-08-03 22:10:00+00:00,2023-08-03 15:05:00+00:00,2023-08-03 15:55:00+00:00,-11.36560443366813,2023-08-08 00:05:00+00:00,2023-08-07 15:00:00+00:00,3.0,,,2023-08-08 02:55:00+00:00,2023-08-08 00:10:00+00:00,2023-08-08 01:00:00+00:00,-1.8781572470963903,0.7936507936507887,0.1911111111111145,-0.6111111111111092,0.059999999999994,0.46031746031745774,0.0777777777777776
