partition,snapshot_age_min,feature,direction,n,case_median,control_median,median_gap,effect,direction_ok,adequate_dev_blocks,same_direction_dev_blocks,dev_block_rule_pass,development_eligible,oos_replication_pass,full_snapshot_replication
development,60,running_mae_R,higher,33,0.5133333333333364,0.3254437869822473,0.18788954635108912,0.6509320611463923,True,4,4,True,True,False,True
development,60,close_H_R,lower,33,-0.4079822616407998,-0.19078947368421018,-0.21719278795658964,0.8124149022333811,True,4,4,True,True,False,True
development,60,drawdown_from_best_R,higher,33,0.4306930693069333,0.2099125364431463,0.220780532863787,0.9501304663285814,True,4,4,True,True,False,False
development,120,running_mae_R,higher,29,0.664723032069965,0.4040404040404047,0.26068262802956027,1.097947970710643,True,3,3,True,True,False,True
development,120,close_H_R,lower,29,-0.4703196347031965,-0.2488888888888915,-0.221430745814305,1.0460115885505448,True,3,2,False,False,False,False
development,120,drawdown_from_best_R,higher,29,0.4115610938040826,0.347826086956523,0.06373500684755962,0.31056077535619186,True,3,2,False,False,False,False
external,60,running_mae_R,higher,12,0.3423438656730621,0.139421726413116,0.20292213925994607,1.4749637726518499,True,0,0,False,False,True,True
external,60,close_H_R,lower,12,-0.25822684247385047,0.07889097240825017,-0.33711781488210063,1.8101139541930482,True,0,0,False,False,True,True
external,60,drawdown_from_best_R,higher,12,0.2600001946194215,0.05166796062308946,0.20833223399633202,2.408571158853825,True,0,0,False,False,True,False
external,120,running_mae_R,higher,11,0.45518763796909645,0.18416822930618734,0.2710194086629091,1.1857457106505593,True,0,0,False,False,True,True
external,120,close_H_R,lower,11,-0.38551532033426233,-0.12894651539708285,-0.2565688049371795,1.03794982184372,True,0,0,False,False,False,False
external,120,drawdown_from_best_R,higher,11,0.3905292479108642,0.14728682170542773,0.24324242620543646,1.0567004051887363,True,0,0,False,False,False,False
reference_validation,60,running_mae_R,higher,22,0.5477065826330549,0.31215206283840635,0.2355545197946486,0.8015316686734327,True,0,0,False,False,True,True
reference_validation,60,close_H_R,lower,22,-0.35326566637246526,-0.21800947867298626,-0.135256187699479,0.5844717972757433,True,0,0,False,False,True,True
reference_validation,60,drawdown_from_best_R,higher,22,0.26229401480489056,0.29383886255924396,-0.0315448477543534,0.09096874218946066,False,0,0,False,False,False,False
reference_validation,120,running_mae_R,higher,19,0.6884615384615369,0.36729857819905154,0.32116296026248536,1.1887670801061732,True,0,0,False,False,True,True
reference_validation,120,close_H_R,lower,19,-0.42857142857142855,-0.1983273596176817,-0.23024406895374686,0.9795745277192424,True,0,0,False,False,False,False
reference_validation,120,drawdown_from_best_R,higher,19,0.44531249999999983,0.33150183150183143,0.1138106684981684,0.5797076466859518,True,0,0,False,False,False,False
