partition,snapshot_age_min,feature,direction,n,case_median,control_median,median_gap,effect,direction_ok,adequate_dev_blocks,same_direction_dev_blocks,dev_block_rule_pass,development_eligible,oos_replication_pass,full_snapshot_replication
development,60,recovery_from_worst_R,lower,33,0.17757009345794175,0.24850830511208075,-0.070938211654139,0.37075070036237145,True,4,2,False,False,False,False
development,60,recovery_efficiency,lower,33,0.32926829268292784,0.6358695652173819,-0.3066012725344541,0.5748362645626528,True,4,2,False,False,False,False
development,60,bars_since_worst_fraction,lower,33,0.3,0.3,0.0,0.0,False,4,2,False,False,False,False
development,60,post_worst_close_slope_R_per_bar,lower,33,0.004451222956561334,0.030407407407409333,-0.025956184450847998,0.5473149457942709,True,4,3,False,False,False,False
development,120,recovery_from_worst_R,lower,29,0.30170517051704654,0.18368005160457943,0.11802511891246711,0.3676409826975577,False,3,1,False,False,False,False
development,120,recovery_efficiency,lower,29,0.4084139985107925,0.3621621621621613,0.046251836348631226,0.08514577521602795,False,3,2,False,False,False,False
development,120,bars_since_worst_fraction,lower,29,0.3181818181818182,0.13636363636363635,0.18181818181818182,0.4705882352941176,False,3,1,False,False,False,False
development,120,post_worst_close_slope_R_per_bar,lower,29,0.01979439629107174,0.028382518948553835,-0.008588122657482097,0.25421056158208855,True,3,2,False,False,False,False
external,60,recovery_from_worst_R,lower,12,0.1099282094218447,0.18094002590908573,-0.07101181648724103,0.40253189638874787,True,0,0,False,False,False,False
external,60,recovery_efficiency,lower,12,0.2720480156785878,0.8338651075857071,-0.5618170919071193,1.0432270589043044,True,0,0,False,False,False,False
external,60,bars_since_worst_fraction,lower,12,0.4,0.6,-0.19999999999999996,0.35555555555555546,True,0,0,False,False,False,False
external,60,post_worst_close_slope_R_per_bar,lower,12,0.01682545259609065,0.02041360634966112,-0.00358815375357047,0.13441621250229221,True,0,0,False,False,False,False
external,120,recovery_from_worst_R,lower,11,0.18018237082066874,0.20897959183673334,-0.028797221016064606,0.12170683407481492,True,0,0,False,False,False,False
external,120,recovery_efficiency,lower,11,0.3168077388149913,0.8859223300970835,-0.5691145912820923,0.8862346427740273,True,0,0,False,False,False,False
external,120,bars_since_worst_fraction,lower,11,0.3181818181818182,0.5,-0.18181818181818182,0.32653061224489793,True,0,0,False,False,False,False
external,120,post_worst_close_slope_R_per_bar,lower,11,0.0,0.0038650413079895298,-0.0038650413079895298,0.19755802377187956,True,0,0,False,False,False,False
reference_validation,60,recovery_from_worst_R,lower,22,0.14928064968257537,0.12324414715719276,0.026036502525382615,0.20945976413318462,False,0,0,False,False,False,False
reference_validation,60,recovery_efficiency,lower,22,0.2882059800664474,0.2972972972972978,-0.009091317230850438,0.02849694761850078,True,0,0,False,False,False,False
reference_validation,60,bars_since_worst_fraction,lower,22,0.25,0.4,-0.15000000000000002,0.26086956521739135,True,0,0,False,False,False,False
reference_validation,60,post_worst_close_slope_R_per_bar,lower,22,0.010487992753332799,0.00720819520819389,0.003279797545138909,0.08515473604034077,False,0,0,False,False,False,False
reference_validation,120,recovery_from_worst_R,lower,19,0.14079422382670936,0.31527093596059125,-0.17447671213388188,0.6298392328008682,True,0,0,False,False,False,False
reference_validation,120,recovery_efficiency,lower,19,0.18348623853211213,0.5378151260504217,-0.3543288875183096,0.8887408075937778,True,0,0,False,False,False,False
reference_validation,120,bars_since_worst_fraction,lower,19,0.09090909090909091,0.45454545454545453,-0.36363636363636365,0.8,True,0,0,False,False,False,False
reference_validation,120,post_worst_close_slope_R_per_bar,lower,19,0.00396510705789445,0.020414544804790363,-0.01644943774689591,0.6672047870633473,True,0,0,False,False,False,False
