partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_exit_ts,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_exit_ts,control_break_ts,control_invalidation_close_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,abs_running_mae_R_match_gap,case__max_reclaim_fraction_of_mae,control__max_reclaim_fraction_of_mae,case__half_reclaim_latency_fraction,control__half_reclaim_latency_fraction,case__longest_half_reclaim_run_fraction,control__longest_half_reclaim_run_fraction,case__post_half_reclaim_hold_fraction,control__post_half_reclaim_hold_fraction,case__late_mae_extension_fraction,control__late_mae_extension_fraction
development,60,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:45:00+00:00,2022-03-06 19:40:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 17:15:00+00:00,-17.630385487528322,2022-06-30 15:25:00+00:00,2022-06-30 15:00:00+00:00,0.0,2022-06-30 23:40:00+00:00,,,2022-06-30 15:30:00+00:00,2022-06-30 16:20:00+00:00,9.349845201238383,0.46666666666666806,0.3708609271523175,0.09580573951435056,0.07936507936508581,0.9464285714285819,1.0,0.0,0.0,0.6666666666666666,0.0,0.8333333333333334,0.3333333333333333,0.1071428571428614
development,60,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:15:00+00:00,2022-03-09 19:10:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 16:45:00+00:00,-16.31165919282507,2022-02-03 15:20:00+00:00,2022-02-03 15:00:00+00:00,0.0,2022-02-03 21:50:00+00:00,,,2022-02-03 15:25:00+00:00,2022-02-03 16:15:00+00:00,10.16880622662486,0.33828996282527785,0.3578528827037795,0.019562919878501672,0.18681318681317377,0.9944444444444417,1.0,0.3333333333333333,0.0,0.42857142857142855,0.0,0.8,0.02197802197801768,0.0
development,60,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:30:00+00:00,2022-06-05 23:25:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 17:00:00+00:00,-17.508754377188573,2022-01-11 15:05:00+00:00,2022-01-11 15:00:00+00:00,0.0,2022-01-11 16:15:00+00:00,,,2022-01-11 15:10:00+00:00,2022-01-11 16:00:00+00:00,5.082407609090289,0.6349206349206337,0.5685714285714231,0.0663492063492106,0.30000000000000354,1.0050251256281504,1.0,0.75,0.0,0.4,0.0,1.0,0.0,0.5025125628140753
development,60,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:50:00+00:00,2022-07-10 00:45:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 19:25:00+00:00,-15.717598557072886,2022-10-30 23:00:00+00:00,2022-10-30 15:00:00+00:00,1.0,2022-10-31 00:10:00+00:00,,,2022-10-30 23:05:00+00:00,2022-10-30 23:55:00+00:00,4.733009708737801,0.5887850467289742,0.5384615384615399,0.05032350826743437,0.3968253968253952,0.9285714285714262,1.0,0.14285714285714285,0.0,0.875,0.0,1.0,0.5873015873015809,0.0
development,60,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:20:00+00:00,2022-07-11 00:15:00+00:00,2022-07-10 20:30:00+00:00,2022-07-10 21:20:00+00:00,-16.353887399463808,2022-12-04 15:00:00+00:00,2022-12-04 15:00:00+00:00,1.0,2022-12-04 16:00:00+00:00,,,2022-12-04 15:05:00+00:00,2022-12-04 15:55:00+00:00,2.107606679035201,0.25471698113207286,0.25352112676056143,0.001195854371511429,1.3333333333333508,1.166666666666675,0.0,0.3333333333333333,1.0,0.75,1.0,1.0,0.2222222222222338,0.05555555555557474
development,60,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 18:00:00+00:00,2022-09-20 17:55:00+00:00,2022-09-20 15:55:00+00:00,2022-09-20 16:45:00+00:00,-14.77832512315269,2022-09-04 00:25:00+00:00,2022-09-03 15:00:00+00:00,1.0,2022-09-04 02:00:00+00:00,,,2022-09-04 00:30:00+00:00,2022-09-04 01:20:00+00:00,2.5591810620601008,0.49462365591397384,0.5249999999999994,0.03037634408602552,0.5652173913043512,0.5714285714285738,1.0,1.0,0.25,0.16666666666666666,1.0,1.0,0.43478260869564883,0.1904761904761857
development,60,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:25:00+00:00,2022-11-27 23:20:00+00:00,2022-11-27 15:20:00+00:00,2022-11-27 16:10:00+00:00,-8.668105548979954,2022-09-10 18:30:00+00:00,2022-09-10 15:00:00+00:00,1.0,2022-09-10 22:40:00+00:00,,,2022-09-10 18:35:00+00:00,2022-09-10 19:25:00+00:00,3.8351459645106223,0.17808219178082102,0.19402985074626344,0.015947658965442424,2.0,1.1538461538461833,0.0,0.16666666666666666,1.0,0.14285714285714285,1.0,0.3333333333333333,0.0,0.0
development,60,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:35:00+00:00,2023-01-07 22:30:00+00:00,2023-01-07 16:00:00+00:00,2023-01-07 16:50:00+00:00,-6.367746797287078,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,0.7066666666666641,0.6103286384976502,0.09633802816901393,0.38679245283019265,0.21153846153846206,1.0,1.0,0.0,0.0,0.0,0.0,0.6132075471698073,0.41538461538462057
development,60,2023-02-21 18:00:00+00:00,2023-02-21 15:00:00+00:00,2.0,2023-02-21 21:25:00+00:00,2023-02-21 21:20:00+00:00,2023-02-21 18:05:00+00:00,2023-02-21 18:55:00+00:00,-14.591668627912446,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,4.157043879907563,0.2895805142083876,0.306666666666663,0.017086152458275383,0.7523364485981254,1.5072463768116031,0.3333333333333333,0.125,0.75,0.8888888888888888,1.0,1.0,0.21028037383176854,0.0
development,60,2023-02-28 15:25:00+00:00,2023-02-28 15:00:00+00:00,2.0,2023-02-28 20:05:00+00:00,2023-02-28 20:00:00+00:00,2023-02-28 15:30:00+00:00,2023-02-28 16:20:00+00:00,-11.032343819229073,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,4.157043879907563,0.29193899782135174,0.306666666666663,0.014727668845311237,1.5373134328358133,1.5072463768116031,0.0,0.125,1.0,0.8888888888888888,1.0,1.0,0.19402985074626672,0.0
