horizon_min,feature,dev_block,n,neutral_reference,median,p25,p75,iqr,centered_median,effect,direction_ok,adequate,block_direction_ok
30,short_close_return_R,0,3,0.0,-0.14444444444444451,-0.2357909954564223,-0.04444444444444433,0.19134655101197795,-0.14444444444444451,0.7548839719374014,False,False,False
30,short_close_return_R,1,6,0.0,-0.21064110367214794,-0.47697255574613306,-0.19827153049944343,0.2787010252466896,-0.21064110367214794,0.755795941136926,False,True,False
30,short_close_return_R,2,8,0.0,-0.0563396997363592,-0.18415643173671836,0.1087953795379483,0.29295181127466663,-0.0563396997363592,0.19231729440831502,False,True,False
30,short_close_return_R,3,8,0.0,-0.12635674726796142,-0.2190756108673624,0.19513351393189046,0.41420912479925287,-0.12635674726796142,0.3050554410871572,False,True,False
30,short_close_return_R,4,7,0.0,0.19708854028184003,0.07430235016384332,0.3912009533691368,0.3168986032052935,0.19708854028184003,0.6219293436082518,True,True,True
30,short_close_return_R,5,5,0.0,-0.1373333333333297,-0.3731580140557665,0.15299334811529913,0.5261513621710656,-0.1373333333333297,0.2610148774805966,False,True,False
30,short_excursion_dominance_R,0,3,0.0,-0.0740740740740698,-0.19317086603331557,-0.013227513227512977,0.1799433528058026,-0.0740740740740698,0.41165218341803145,False,False,False
30,short_excursion_dominance_R,1,6,0.0,-0.2664840738486559,-0.564931573802539,-0.10108446482101449,0.4638471089815245,-0.2664840738486559,0.5745084289385325,False,True,False
30,short_excursion_dominance_R,2,8,0.0,0.07092479583831421,-0.32571845532106275,0.3508745874587377,0.6765930427798004,0.07092479583831421,0.10482637472433623,True,True,True
30,short_excursion_dominance_R,3,8,0.0,-0.2313450613890396,-0.3565980905338084,0.1988956766917343,0.5554937672255427,-0.2313450613890396,0.4164674295888336,False,True,False
30,short_excursion_dominance_R,4,7,0.0,0.329300118623963,0.19411058657467756,0.5239450481924192,0.3298344616177416,0.329300118623963,0.9983799661467823,True,True,True
30,short_excursion_dominance_R,5,5,0.0,-0.1439999999999979,-0.39174790296984346,0.2328159645232783,0.6245638674931218,-0.1439999999999979,0.23056088815702064,False,True,False
30,short_capture_fraction,0,3,0.5,0.38636363636364224,0.29100790513834585,0.48729946524064155,0.1962915601022957,-0.11363636363635776,0.578916197808694,False,False,False
30,short_capture_fraction,1,6,0.5,0.09185606060605339,0.04410601265822558,0.35462735462736383,0.3105213419691383,-0.4081439393939466,1.314382891706396,False,True,False
30,short_capture_fraction,2,8,0.5,0.5928189013035401,0.20324911023640274,0.7769049975259688,0.5736558872895661,0.09281890130354009,0.16180240342706986,True,True,True
30,short_capture_fraction,3,8,0.5,0.277917554660987,0.22751322751322584,0.6383498349835075,0.41083660747028167,-0.222082445339013,0.5405614818661884,False,True,False
30,short_capture_fraction,4,7,0.5,0.9349753694581255,0.7496682442365917,0.9745624762577522,0.22489423202116043,0.43497536945812554,1.9341330613459151,True,True,True
30,short_capture_fraction,5,5,0.5,0.2522935779816558,0.10909090909090423,0.7837837837837801,0.6746928746928759,-0.2477064220183442,0.36713952571546216,False,True,False
60,short_close_return_R,0,3,0.0,-0.19841269841269873,-0.25348144214315216,-0.19179894179894186,0.0616825003442103,-0.19841269841269873,3.2166772959183767,False,False,False
60,short_close_return_R,1,6,0.0,-0.13827527612573648,-0.2205305999397053,-0.09915940224158544,0.12137119769811987,-0.13827527612573648,1.1392758640288054,False,True,False
60,short_close_return_R,2,8,0.0,0.005829150206436234,-0.12768291375822247,0.2672440087146005,0.394926922472823,0.005829150206436234,0.014760073002714492,True,True,True
60,short_close_return_R,3,8,0.0,-0.16818412203926075,-0.39396656518795853,0.23940990870032364,0.6333764738882821,-0.16818412203926075,0.2655357894914895,False,True,False
60,short_close_return_R,4,7,0.0,0.17317939609235555,0.07237036948577799,0.47708416205992865,0.40471379257415063,0.17317939609235555,0.427905841782316,True,True,True
60,short_close_return_R,5,5,0.0,-0.12533333333333302,-0.3933348447064123,0.42251971391894383,0.815854558625356,-0.12533333333333302,0.15362215239013774,False,True,False
60,short_excursion_dominance_R,0,3,0.0,-0.1746031746031796,-0.2731751932495427,-0.12433862433862469,0.148836568910918,-0.1746031746031796,1.173120126866694,False,False,False
60,short_excursion_dominance_R,1,6,0.0,-0.31892878880097486,-0.5864369501466257,-0.1899135954858008,0.3965233546608249,-0.31892878880097486,0.8043127474137752,False,True,False
60,short_excursion_dominance_R,2,8,0.0,0.04602926341310344,-0.1183038250575909,0.3137458745874576,0.4320496996450485,0.04602926341310344,0.10653696426804346,True,True,True
60,short_excursion_dominance_R,3,8,0.0,-0.1794367799040649,-0.3977802123610265,0.40614357585138816,0.8039237882124146,-0.1794367799040649,0.22320123192654387,False,True,False
60,short_excursion_dominance_R,4,7,0.0,0.329300118623963,0.19411058657467756,0.7530078669071988,0.5588972803325212,0.329300118623963,0.5891961371292465,True,True,True
60,short_excursion_dominance_R,5,5,0.0,-0.10666666666666441,-0.39174790296984346,0.3592017738359219,0.7509496768057653,-0.10666666666666441,0.14204236310531626,False,True,False
60,short_capture_fraction,0,3,0.5,0.3552631578947325,0.26529391660970686,0.37081339712918737,0.10551948051948051,-0.1447368421052675,1.3716599190283814,False,False,False
60,short_capture_fraction,1,6,0.5,0.0904471544715453,0.049314345991562855,0.2692882030861166,0.21997385709455375,-0.4095528455284547,1.8618250865711383,False,True,False
