t,period,gt,v1,broad,bull,ret4,acc,distLow8,rv24,atr,distHigh8
1701489600000,DEV,TRANSITION,1,0,0,1.9029732918945053,1.3379453169282276,2.898283182573369,0.5481706657384632,0.9968592584308402,-0.08799374266719173
1701493200000,DEV,TRANSITION,1,1,0,1.8528610354223485,1.3358609530974932,3.5074764629868804,0.5456795692555274,0.9784846863498539,-0.06966947504860599
1701496800000,DEV,SIDEWAYS,0,1,0,1.8135309743219752,0.8984680120331564,4.203937100374233,0.546644651671115,0.9396195507127663,-0.09332260659694613
1701561600000,DEV,BEAR,1,1,0,3.310126582278472,1.6969298407860212,6.338762214983729,0.6551153030165143,1.209839752846552,-0.3282091990169045
1701565200000,DEV,BEAR,0,1,0,3.1864063538271648,1.5690950133557962,5.453781104984867,0.6579835268962319,1.272615762036185,-0.6125994331169449
1701568800000,DEV,BEAR,0,1,0,3.0334345538084895,1.386631004355802,4.434775602288288,0.678458368128592,1.2939519320002904,-1.2419615372893156
1701662400000,DEV,BEAR,0,1,0,1.9691901823149838,0.8852870710625311,3.866086567068683,0.6965377833702439,1.2053812053812045,-0.5284926470588203
1701716400000,DEV,SIDEWAYS,1,0,0,0.8072370701751597,2.222651920532148,1.9397702991452936,0.8900355246590601,1.922977948917097,-1.9618546108399637
1701723600000,DEV,TRANSITION,1,0,0,1.3327855382087028,2.1655786102136774,2.933026175213671,0.9165793482101179,1.8293572922917236,-0.27333009865760927
1701730800000,DEV,TRANSITION,1,0,0,0.9907313398617834,1.2332609451072913,2.1770465728913058,0.9167654551715032,1.8748103415126813,-0.7068104975044287
1701795600000,DEV,BULL,0,1,0,2.6126171101459317,1.9105257389151178,3.449259315181097,0.8315154009762574,1.3296929624386933,-0.4391700976830615
1701820800000,DEV,TRANSITION,0,1,0,3.44032194738908,1.9402448226011708,5.000000000000004,1.0228120372656813,1.7042951355234883,-1.5476839237057116
1701824400000,DEV,TRANSITION,0,1,0,5.1904136572554105,2.977732202399334,6.4131517768183155,0.9918291024131973,1.7609134724705398,-0.5293140648526262
1701828000000,DEV,SIDEWAYS,0,1,0,5.259416024602359,3.5335215497776256,5.717369644636339,0.9471932810392688,1.8834667366781772,-1.1797029011378024
1701831600000,DEV,TRANSITION,1,1,0,5.505969440395675,3.634900515768498,6.9794088342743255,0.9609552483469598,1.913912733030128,-0.1967467079783014
1701853200000,DEV,BEAR,0,1,0,3.3710353555327144,0.949280048025599,4.555272884366146,1.302643207858329,2.1884605462789275,-2.172253244906197
1701889200000,DEV,BEAR,1,1,0,2.8657135562930813,2.3186279302978376,3.312446915914813,1.4525906720028825,2.0763346599420305,-0.031013521895539853
1701918000000,DEV,BULL,1,0,0,1.737289505155304,1.5878341396544944,2.4358890913824593,1.349444123348763,1.709665487404435,-2.648996381405988
1701925200000,DEV,BULL,0,1,0,1.1052891430027412,1.2099743284787208,3.298294714917982,1.3149402017612892,1.6403716630549012,-1.0027134079780509
1701950400000,DEV,BULL,0,1,0,2.706150632285631,2.0146227730635826,4.392505186722007,0.9531325789748867,1.7919803390101172,-1.2919738233535982
1701957600000,DEV,BULL,0,1,0,1.8173463890737374,1.0548989167701603,4.157481846473021,0.9532742336207162,1.6318495777265463,-1.5141994513325874
1701961200000,DEV,BULL,0,1,0,2.5323150150103446,0.9628902060258682,6.841610477178439,1.0646969316012425,1.6805766559244408,-0.5941698963972897
