scope,horizon_min,n,spearman_rho,sign_agreement
2022,15,2189,0.015233011286191122,0.514846962083143
2022,30,2189,0.035340600567292,0.5207857469164002
2022,60,2189,0.03131572296410607,0.5089081772498858
2022,120,2189,0.034183453069803006,0.5285518501598904
2022,360,2189,0.012688365273861689,0.5121059844677935
2023,15,2190,0.040233544211856674,0.5187214611872146
2023,30,2190,0.05343438699823252,0.5191780821917809
2023,60,2190,0.008600392547932918,0.5159817351598174
2023,120,2190,0.0038336117057419495,0.4908675799086758
2023,360,2190,0.02906576427803161,0.5077625570776255
2024,15,2195,0.0063987472280694615,0.5006833712984055
2024,30,2195,0.014086097931571713,0.496127562642369
2024,60,2195,0.01992150011967874,0.5029612756264237
2024,120,2195,-0.010397569910854814,0.5006833712984055
2024,360,2195,0.01904833228221196,0.508883826879271
2025,15,2190,0.011083802025180962,0.5013698630136987
2025,30,2190,-0.0024478164400640523,0.4904109589041096
2025,60,2190,0.038385486212507036,0.4986301369863014
2025,120,2190,0.03503040271938815,0.5114155251141552
2025,360,2190,-0.02178768477270484,0.4945205479452055
2026,15,1421,0.03708275099729984,0.49612948627726955
2026,30,1421,0.027451021393592186,0.5221674876847291
2026,60,1421,-0.006905882345376416,0.5045742434904996
2026,120,1421,-0.0417257158728986,0.4848698099929627
2026,360,1421,-0.04764542655701982,0.4904996481351161
POOLED,15,10185,0.020869959472165883,0.5071183112420226
POOLED,30,10185,0.02698095530176949,0.5087874324987727
POOLED,60,10185,0.01980769025004708,0.5063328424153166
POOLED,120,10185,0.009698804620430821,0.5046637211585665
POOLED,360,10185,0.003412068642901484,0.5036818851251841
