family,direction,fold,n,hit_60,median_signed_60
SWEEP_LOW_RECLAIM,LONG,2022,1775,0.5380281690140845,0.0004817452943808309
SWEEP_LOW_RECLAIM,LONG,2023,1670,0.5407185628742515,0.0002824532126245449
SWEEP_LOW_RECLAIM,LONG,2024,1796,0.5662583518930958,0.0006461990235817616
SWEEP_LOW_RECLAIM,LONG,2025,1728,0.5266203703703703,0.00020258423652708135
SWEEP_LOW_RECLAIM,LONG,2026,1115,0.5300448430493273,0.00020375244078452148
SWEEP_HIGH_REJECT,SHORT,2022,1879,0.5444385311335816,0.0004288872026655399
SWEEP_HIGH_REJECT,SHORT,2023,1784,0.5213004484304933,0.00014440869510440324
SWEEP_HIGH_REJECT,SHORT,2024,1874,0.503735325506937,1.8490549862082428e-05
SWEEP_HIGH_REJECT,SHORT,2025,1827,0.48111658456486045,-0.00010225994477974787
SWEEP_HIGH_REJECT,SHORT,2026,1170,0.5290598290598291,0.00017850836366828382
BREAK_HIGH_HOLD,LONG,2022,261,0.4674329501915709,-0.0003783937186642161
BREAK_HIGH_HOLD,LONG,2023,362,0.4530386740331492,-0.00019472717037866127
BREAK_HIGH_HOLD,LONG,2024,427,0.49882903981264637,0.0
BREAK_HIGH_HOLD,LONG,2025,374,0.46524064171123,-0.0002234621193407671
BREAK_HIGH_HOLD,LONG,2026,152,0.48026315789473684,-0.0001386927213467004
BREAK_LOW_HOLD,SHORT,2022,228,0.42543859649122806,-0.0012766671822017628
BREAK_LOW_HOLD,SHORT,2023,244,0.430327868852459,-0.0005928556640167892
BREAK_LOW_HOLD,SHORT,2024,273,0.45054945054945056,-0.0005381950284233383
BREAK_LOW_HOLD,SHORT,2025,294,0.47619047619047616,-0.00036083556343791123
BREAK_LOW_HOLD,SHORT,2026,165,0.47878787878787876,-0.00029986506072288144
BREAK_HIGH_FAIL,SHORT,2022,1089,0.48943985307621674,-0.0001347391113957208
BREAK_HIGH_FAIL,SHORT,2023,1231,0.5093419983753046,8.944943870492494e-05
BREAK_HIGH_FAIL,SHORT,2024,1293,0.494199535962877,-5.249803132367781e-05
BREAK_HIGH_FAIL,SHORT,2025,1234,0.4967585089141005,-1.298330171317641e-05
BREAK_HIGH_FAIL,SHORT,2026,700,0.5071428571428571,5.913324706424694e-05
BREAK_LOW_FAIL,LONG,2022,1035,0.5285024154589372,0.0002524869969198207
BREAK_LOW_FAIL,LONG,2023,1141,0.5188431200701139,0.00013241525423746126
BREAK_LOW_FAIL,LONG,2024,1135,0.5268722466960353,0.000270709258257007
BREAK_LOW_FAIL,LONG,2025,1120,0.55,0.000451614334884054
BREAK_LOW_FAIL,LONG,2026,671,0.4858420268256334,-6.987265708235935e-05
COMPRESSION_EXPAND_UP,LONG,2022,7,1.0,0.010221944357611923
COMPRESSION_EXPAND_UP,LONG,2023,10,0.6,0.0010286723225477745
COMPRESSION_EXPAND_UP,LONG,2024,6,0.5,0.00029062125141299244
COMPRESSION_EXPAND_UP,LONG,2025,7,0.5714285714285714,0.010026238509791563
COMPRESSION_EXPAND_UP,LONG,2026,7,0.42857142857142855,-0.0014427109545376293
COMPRESSION_EXPAND_DOWN,SHORT,2022,12,0.4166666666666667,-0.003726453637373117
COMPRESSION_EXPAND_DOWN,SHORT,2023,16,0.375,-0.0012874468461102628
COMPRESSION_EXPAND_DOWN,SHORT,2024,3,0.6666666666666666,0.0015581864065169482
COMPRESSION_EXPAND_DOWN,SHORT,2025,7,0.42857142857142855,-0.00024579260887169774
COMPRESSION_EXPAND_DOWN,SHORT,2026,6,0.6666666666666666,0.0012908096828707638
PULLBACK_UP_RESUME,LONG,2022,907,0.46747519294377066,-0.0003745973078940201
PULLBACK_UP_RESUME,LONG,2023,945,0.4455026455026455,-0.0003722661703119412
PULLBACK_UP_RESUME,LONG,2024,959,0.516162669447341,0.00013899092587821293
PULLBACK_UP_RESUME,LONG,2025,978,0.483640081799591,-0.0001557365258779142
PULLBACK_UP_RESUME,LONG,2026,598,0.5033444816053512,2.3690510044693802e-05
PULLBACK_DOWN_RESUME,SHORT,2022,829,0.47165259348612787,-0.00045934772622868714
PULLBACK_DOWN_RESUME,SHORT,2023,877,0.45610034207525657,-0.0003082342580360553
PULLBACK_DOWN_RESUME,SHORT,2024,869,0.4718066743383199,-0.00026155187445531247
PULLBACK_DOWN_RESUME,SHORT,2025,855,0.4608187134502924,-0.00029457009131728107
PULLBACK_DOWN_RESUME,SHORT,2026,571,0.46059544658493873,-0.00034309597330106634
