structure_id,structure,direction,policy_id,policy,n,parent_n,participation,hit_60,wilson_60,median_signed_60,hit_30,hit_120,n_2022,n_2023,n_2024,hit_2022,hit_2023,hit_2024,worst_dev_hit,aux_ge53,dev_gate
S01,SWEEP_LOW_RECLAIM,LONG,E0,STRUCTURE_CLOSE,5245,5245,1.0,0.5466158245948523,0.5331140513087503,0.0004391164976069728,0.5397521448999046,0.5378455672068637,1777,1671,1797,0.5368598761958356,0.5374027528426092,0.5648302726766834,0.5368598761958356,2,False
S01,SWEEP_LOW_RECLAIM,LONG,E1,DELAY_15,5245,5245,1.0,0.5458531935176358,0.5323500638007824,0.00045883837418259077,0.5428026692087703,0.5273593898951382,1777,1671,1797,0.5413618458075408,0.5362058647516457,0.5592654424040067,0.5362058647516457,1,False
S01,SWEEP_LOW_RECLAIM,LONG,E2,ONE_BAR_DIRECTION_CONFIRM,2776,5245,0.5292659675881792,0.537463976945245,0.5188774341736196,0.0003221285117493977,0.5277377521613833,0.5122478386167147,924,898,954,0.5324675324675324,0.5278396436525612,0.5513626834381551,0.5278396436525612,0,False
S01,SWEEP_LOW_RECLAIM,LONG,E3,FIRST_PATH_CONTINUATION_30,609,5245,0.11611058150619638,0.5008210180623974,0.4612297054047517,4.1985053321091925e-05,0.5057471264367817,0.5008210180623974,204,188,217,0.4950980392156863,0.5372340425531915,0.47465437788018433,0.47465437788018433,0,False
S01,SWEEP_LOW_RECLAIM,LONG,E4,FIRST_LIQUIDITY_BREAK_30,337,5245,0.06425166825548141,0.49554896142433236,0.4425198653213231,-4.846839860395136e-05,0.45103857566765576,0.5044510385756676,94,121,122,0.5319148936170213,0.4628099173553719,0.5,0.4628099173553719,0,False
S02,HL_CONTINUATION,LONG,E0,STRUCTURE_CLOSE,499,499,1.0,0.43887775551102204,0.39596782573540407,-0.00032738582419378215,0.4248496993987976,0.45691382765531063,154,164,181,0.37012987012987014,0.4451219512195122,0.49171270718232046,0.37012987012987014,0,False
S02,HL_CONTINUATION,LONG,E1,DELAY_15,499,499,1.0,0.4849699398797595,0.44140223531582834,-0.00014911277896523245,0.4749498997995992,0.46292585170340683,154,164,181,0.4675324675324675,0.4817073170731707,0.5027624309392266,0.4675324675324675,0,False
S02,HL_CONTINUATION,LONG,E2,ONE_BAR_DIRECTION_CONFIRM,223,499,0.4468937875751503,0.4304932735426009,0.36722493647030724,-0.0005208785484849265,0.484304932735426,0.4260089686098655,56,71,96,0.44642857142857145,0.4225352112676056,0.4270833333333333,0.4225352112676056,0,False
S02,HL_CONTINUATION,LONG,E3,FIRST_PATH_CONTINUATION_30,367,499,0.7354709418837675,0.46321525885558584,0.41284377279346074,-0.0002719272223868918,0.4822888283378747,0.4604904632152589,117,117,133,0.452991452991453,0.452991452991453,0.48120300751879697,0.452991452991453,0,False
S02,HL_CONTINUATION,LONG,E4,FIRST_LIQUIDITY_BREAK_30,89,499,0.17835671342685372,0.39325842696629215,0.2982154443824812,-0.0007994994438264014,0.4606741573033708,0.4044943820224719,22,32,35,0.5,0.4375,0.2857142857142857,0.2857142857142857,0,False
S03,BREAK_HIGH_HOLD,LONG,E0,STRUCTURE_CLOSE,1050,1051,0.9990485252140818,0.47333333333333333,0.4432856161879105,-0.00019472717037866127,0.4552380952380952,0.5085714285714286,261,362,427,0.4674329501915709,0.45027624309392267,0.4964871194379391,0.45027624309392267,0,False
S03,BREAK_HIGH_HOLD,LONG,E1,DELAY_15,1050,1051,0.9990485252140818,0.5047619047619047,0.4745581808973976,5.2842869933011904e-05,0.49333333333333335,0.5019047619047619,261,362,427,0.5363984674329502,0.5165745856353591,0.47540983606557374,0.47540983606557374,0,False
S03,BREAK_HIGH_HOLD,LONG,E2,ONE_BAR_DIRECTION_CONFIRM,484,1051,0.4605137963843958,0.4793388429752066,0.43517022728773175,-0.00013948008303965587,0.44834710743801653,0.4855371900826446,105,173,206,0.5142857142857142,0.4913294797687861,0.45145631067961167,0.45145631067961167,0,False
S03,BREAK_HIGH_HOLD,LONG,E3,FIRST_PATH_CONTINUATION_30,734,1051,0.698382492863939,0.5,0.46392248896406985,1.5211439002071891e-05,0.48637602179836514,0.4986376021798365,177,250,307,0.5536723163841808,0.5,0.46905537459283386,0.46905537459283386,0,False
S03,BREAK_HIGH_HOLD,LONG,E4,FIRST_LIQUIDITY_BREAK_30,258,1051,0.24548049476688868,0.4573643410852713,0.39764536825746205,-0.00043452974861851734,0.42248062015503873,0.4573643410852713,56,82,120,0.5357142857142857,0.4878048780487805,0.4,0.4,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E0,STRUCTURE_CLOSE,3314,3314,1.0,0.5226312613156306,0.5056091073665635,0.00020778900308227044,0.5168980084490042,0.5268557634278818,1036,1142,1136,0.5260617760617761,0.5166374781085814,0.5255281690140845,0.5166374781085814,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E1,DELAY_15,3314,3314,1.0,0.5413397706698854,0.52433672236944,0.00037875277618149017,0.5181050090525046,0.5277610138805069,1036,1142,1136,0.5415057915057915,0.5201401050788091,0.5625,0.5201401050788091,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E2,ONE_BAR_DIRECTION_CONFIRM,1706,3314,0.5147857573928787,0.52989449003517,0.5061700750321348,0.0003021237857326886,0.4976553341148886,0.522274325908558,520,588,598,0.5134615384615384,0.5051020408163265,0.568561872909699,0.5051020408163265,0,False
