zone_id,activation_ts,origin_ts,h4_bos_ts,broken_h4_swing_ts,broken_h4_level,h4_bos_close,demand_low,demand_high,first_touch_ts,touch_open,touch_high,touch_low,touch_close,retest_exists,retest_close_holds,expansion_high_exists,expansion_pivot_ts,expansion_confirm_ts,expansion_high,pullback_ge2_h1_bars,has_lower_high,has_lower_low,has_any_correction,visual_equivalent,strict_exact,family
H4D_2022-01-01T20:00:00+00:00,2022-01-01 20:00:00+00:00,2022-01-01 12:00:00+00:00,2022-01-01 20:00:00+00:00,2022-01-01 08:00:00+00:00,521.77,524.21,512.35,516.08,2022-01-03 20:00:00+00:00,517.3,519.01,514.44,514.52,True,True,True,2022-01-03 15:00:00+00:00,2022-01-03 17:00:00+00:00,533.0,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-01-02T20:00:00+00:00,2022-01-02 20:00:00+00:00,2022-01-02 08:00:00+00:00,2022-01-02 20:00:00+00:00,2022-01-02 00:00:00+00:00,528.16,528.89,518.01,523.14,2022-01-03 04:00:00+00:00,526.06,526.79,523.0,524.37,True,True,True,2022-01-03 00:00:00+00:00,2022-01-03 02:00:00+00:00,532.4,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-01-09T20:00:00+00:00,2022-01-09 20:00:00+00:00,2022-01-09 16:00:00+00:00,2022-01-09 20:00:00+00:00,2022-01-09 08:00:00+00:00,437.95,443.32,426.75,434.98,2022-01-10 12:00:00+00:00,435.89,436.08,432.35,433.8,True,True,True,2022-01-10 06:00:00+00:00,2022-01-10 08:00:00+00:00,445.21,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-01-11T12:00:00+00:00,2022-01-11 12:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-11 12:00:00+00:00,2022-01-10 08:00:00+00:00,445.21,447.85,406.46,433.8,2022-01-21 02:00:00+00:00,441.94,442.4,423.19,424.05,True,True,True,2022-01-20 16:00:00+00:00,2022-01-20 18:00:00+00:00,475.78,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-01-12T16:00:00+00:00,2022-01-12 16:00:00+00:00,2022-01-12 08:00:00+00:00,2022-01-12 16:00:00+00:00,2022-01-11 20:00:00+00:00,467.4,481.64,456.26,458.9,2022-01-18 17:00:00+00:00,460.71,463.25,456.8,461.66,True,True,True,2022-01-17 07:00:00+00:00,2022-01-17 09:00:00+00:00,486.19,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-01-16T16:00:00+00:00,2022-01-16 16:00:00+00:00,2022-01-16 12:00:00+00:00,2022-01-16 16:00:00+00:00,2022-01-15 16:00:00+00:00,500.27,500.73,490.15,495.56,2022-01-17 01:00:00+00:00,497.94,498.2,492.76,493.18,True,True,True,2022-01-16 17:00:00+00:00,2022-01-16 19:00:00+00:00,504.87,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-01-25T20:00:00+00:00,2022-01-25 20:00:00+00:00,2022-01-25 16:00:00+00:00,2022-01-25 20:00:00+00:00,2022-01-25 00:00:00+00:00,376.33,383.72,364.59,371.41,2022-01-26 22:00:00+00:00,377.49,379.0,366.75,367.11,True,True,True,2022-01-26 15:00:00+00:00,2022-01-26 17:00:00+00:00,398.8,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-01-26T12:00:00+00:00,2022-01-26 12:00:00+00:00,2022-01-26 04:00:00+00:00,2022-01-26 12:00:00+00:00,2022-01-25 20:00:00+00:00,387.9,388.63,377.01,384.8,2022-01-26 19:00:00+00:00,387.44,389.17,381.47,386.29,True,True,True,2022-01-26 15:00:00+00:00,2022-01-26 17:00:00+00:00,398.8,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-02-04T00:00:00+00:00,2022-02-04 00:00:00+00:00,2022-02-03 20:00:00+00:00,2022-02-04 00:00:00+00:00,2022-02-03 12:00:00+00:00,370.04,372.08,361.56,367.97,2022-02-21 13:00:00+00:00,370.03,372.59,366.76,367.93,True,True,True,2022-02-21 08:00:00+00:00,2022-02-21 10:00:00+00:00,393.41,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-02-07T04:00:00+00:00,2022-02-07 04:00:00+00:00,2022-02-06 16:00:00+00:00,2022-02-07 04:00:00+00:00,2022-02-06 16:00:00+00:00,421.57,426.75,406.28,416.19,2022-02-08 16:00:00+00:00,418.93,418.96,413.11,417.92,True,True,True,2022-02-08 07:00:00+00:00,2022-02-08 09:00:00+00:00,445.48,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-02-15T04:00:00+00:00,2022-02-15 04:00:00+00:00,2022-02-14 20:00:00+00:00,2022-02-15 04:00:00+00:00,2022-02-14 16:00:00+00:00,404.42,412.62,395.62,401.17,2022-02-17 22:00:00+00:00,404.66,405.84,399.52,404.47,True,True,True,2022-02-17 13:00:00+00:00,2022-02-17 15:00:00+00:00,424.99,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-02-26T00:00:00+00:00,2022-02-26 00:00:00+00:00,2022-02-25 20:00:00+00:00,2022-02-26 00:00:00+00:00,2022-02-25 00:00:00+00:00,370.77,374.67,362.78,369.4,2022-02-27 01:00:00+00:00,373.46,374.45,366.71,368.15,True,True,True,2022-02-26 22:00:00+00:00,2022-02-27 00:00:00+00:00,378.23,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-02-28T16:00:00+00:00,2022-02-28 16:00:00+00:00,2022-02-28 00:00:00+00:00,2022-02-28 16:00:00+00:00,2022-02-27 16:00:00+00:00,381.17,382.52,357.87,360.55,2022-03-14 00:00:00+00:00,361.7,362.85,359.53,361.06,True,True,True,2022-03-10 02:00:00+00:00,2022-03-10 04:00:00+00:00,394.36,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-03-16T12:00:00+00:00,2022-03-16 12:00:00+00:00,2022-03-16 04:00:00+00:00,2022-03-16 12:00:00+00:00,2022-03-15 04:00:00+00:00,374.71,377.44,369.17,371.51,2022-03-16 19:00:00+00:00,377.48,377.96,371.45,376.11,True,True,True,2022-03-16 15:00:00+00:00,2022-03-16 17:00:00+00:00,381.0,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-03-17T00:00:00+00:00,2022-03-17 00:00:00+00:00,2022-03-16 04:00:00+00:00,2022-03-17 00:00:00+00:00,2022-03-16 04:00:00+00:00,383.18,385.25,369.17,371.51,2022-05-05 19:00:00+00:00,376.3,377.82,371.0,376.18,True,True,True,2022-05-05 11:00:00+00:00,2022-05-05 13:00:00+00:00,414.0,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-03-18T16:00:00+00:00,2022-03-18 16:00:00+00:00,2022-03-18 12:00:00+00:00,2022-03-18 16:00:00+00:00,2022-03-18 04:00:00+00:00,392.46,393.02,384.01,386.8,2022-03-20 18:00:00+00:00,390.83,391.69,386.22,387.71,True,True,True,2022-03-20 09:00:00+00:00,2022-03-20 11:00:00+00:00,398.37,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-03-21T12:00:00+00:00,2022-03-21 12:00:00+00:00,2022-03-21 04:00:00+00:00,2022-03-21 12:00:00+00:00,2022-03-21 00:00:00+00:00,394.23,394.26,385.14,390.74,2022-04-25 01:00:00+00:00,398.62,399.14,390.56,391.44,True,True,True,2022-04-24 20:00:00+00:00,2022-04-24 22:00:00+00:00,403.27,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-03-22T04:00:00+00:00,2022-03-22 04:00:00+00:00,2022-03-22 00:00:00+00:00,2022-03-22 04:00:00+00:00,2022-03-21 16:00:00+00:00,399.16,404.95,394.76,397.76,2022-03-23 06:00:00+00:00,399.96,400.79,397.74,400.63,True,True,True,2022-03-22 22:00:00+00:00,2022-03-23 00:00:00+00:00,407.0,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-03-24T16:00:00+00:00,2022-03-24 16:00:00+00:00,2022-03-24 12:00:00+00:00,2022-03-24 16:00:00+00:00,2022-03-23 16:00:00+00:00,411.87,414.11,409.04,410.5,2022-03-25 09:00:00+00:00,412.39,412.46,409.38,411.89,True,True,True,2022-03-25 02:00:00+00:00,2022-03-25 04:00:00+00:00,415.87,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-03-25T12:00:00+00:00,2022-03-25 12:00:00+00:00,2022-03-25 08:00:00+00:00,2022-03-25 12:00:00+00:00,2022-03-24 20:00:00+00:00,416.55,418.91,412.2,413.49,2022-03-25 16:00:00+00:00,418.92,419.05,411.86,413.11,True,True,True,2022-03-25 13:00:00+00:00,2022-03-25 15:00:00+00:00,421.62,True,True,True,True,True,False,VISUAL_ONLY
