period,candidate,plans,resolved,wins,losses,ambiguous,unresolved,wr,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,baseline_wins,baseline_win_retained_as_win,baseline_win_to_loss,baseline_losses,baseline_loss_to_win
DEV,A_TOUCH_LOW__TOUCH__TP1,440,440,325,115,0,0,0.7386363636363636,0.22391857506361168,0.0347999323641206,15.311970240213064,1.1331475673062004,5,15.587691457252985,325,325,0,115,0
DEV,B_TOUCH_LOW__TOUCH__CAP1ZW,440,440,346,94,0,0,0.7863636363636364,0.15868205030809812,0.00033803488477542987,0.14873534930118915,1.0015822909500125,3,13.101343457983003,325,325,0,115,21
DEV,C_TOUCH_LOW__CLOSE15__TP1,440,440,341,99,0,0,0.775,0.24293785310735097,0.04089704818519961,17.99470120148783,1.142417310927291,4,15.063964269403362,325,325,0,115,16
DEV,D_TOUCH_LOW__CLOSE15__CAP1ZW,440,440,359,81,0,0,0.8159090909090909,0.1705426356589149,-0.0009583255380430114,-0.42166323673892503,0.9959413866537696,3,13.279359636582072,325,325,0,115,34
DEV,E_RECLAIM_LOW__TOUCH__TP1,440,440,318,122,0,0,0.7227272727272728,0.2267557651991705,0.030789227730509686,13.547260201424262,1.1110431164051169,5,16.833970886896225,325,318,7,115,0
DEV,F_RECLAIM_LOW__TOUCH__CAP1ZW,440,440,339,101,0,0,0.7704545454545455,0.16990291262134247,-0.003375623049475197,-1.4852741417690867,0.9852943154280289,3,16.028568247891272,325,320,5,115,19
DEV,G_RECLAIM_LOW__CLOSE15__TP1,440,440,336,104,0,0,0.7636363636363637,0.24675354066287158,0.0496266357350341,21.835719723415004,1.164643951828871,4,15.002358238317653,325,321,4,115,15
DEV,H_RECLAIM_LOW__CLOSE15__CAP1ZW,440,440,353,87,0,0,0.8022727272727272,0.18137254901960825,-0.0048445873287756794,-2.131618424661299,0.9809539702731184,3,16.317403941046937,325,321,4,115,32
REF,A_TOUCH_LOW__TOUCH__TP1,272,272,201,71,0,0,0.7389705882352942,0.1827079934747154,-0.0019093964179548303,-0.5193558256837139,0.9926851292157223,4,10.562542390565484,201,201,0,71,0
REF,B_TOUCH_LOW__TOUCH__CAP1ZW,272,272,214,58,0,0,0.7867647058823529,0.1283311198048176,-0.01491808826578922,-4.057720008294668,0.930039310201816,3,8.643265498245102,201,201,0,71,13
REF,C_TOUCH_LOW__CLOSE15__TP1,272,272,207,65,0,0,0.7610294117647058,0.19314641744548208,-0.016504282595870695,-4.4891648660768295,0.9445805560315045,4,13.930884663989474,201,201,0,71,6
REF,D_TOUCH_LOW__CLOSE15__CAP1ZW,272,272,220,52,0,0,0.8088235294117647,0.1363122171945922,-0.017141043532194013,-4.662363840756772,0.9260598944044486,2,10.851111108561838,201,201,0,71,19
REF,E_RECLAIM_LOW__TOUCH__TP1,272,272,197,75,0,0,0.7242647058823529,0.1827079934747154,-0.009942521629973307,-2.7043658833527395,0.9639417882219635,4,12.491348677460726,201,197,4,71,0
REF,F_RECLAIM_LOW__TOUCH__CAP1ZW,272,272,211,61,0,0,0.7757352941176471,0.12997903563941135,-0.019040417880436946,-5.178993663478849,0.9150984645331336,3,10.292787995339602,201,198,3,71,13
REF,G_RECLAIM_LOW__CLOSE15__TP1,272,272,204,68,0,0,0.75,0.19687440971565973,-0.019253068572440857,-5.236834651703913,0.9383936932793333,4,15.769588318008823,201,199,2,71,5
REF,H_RECLAIM_LOW__CLOSE15__CAP1ZW,272,272,217,55,0,0,0.7977941176470589,0.13782051282056945,-0.022079593191981144,-6.0056493482188715,0.9102096524134076,2,14.250537056545719,201,199,2,71,18
