period,candidate,plans,resolved,wins,losses,wr,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,ambiguous,partial_open,baseline_wins,baseline_win_still_win,baseline_win_to_loss,baseline_losses,baseline_loss_to_win
DEV,T1_FULL_TP1,440,440,325,115,0.7386363636363636,0.22391857506361168,0.0347999323641206,15.311970240213064,1.1331475673062004,5,15.587691457252985,0,0,325,325,0,115,0
DEV,T2_FULL_TP2_FALLBACK_TP1,440,439,278,161,0.6332574031890661,0.39290799944157384,-0.01194639926834186,-5.244469278802077,0.9674256566534032,7,26.411958191671264,1,0,325,278,46,115,0
DEV,T3_FULL_TP3_FALLBACK_HIGHEST,440,439,252,187,0.5740318906605922,0.48586743044189185,-0.041364970962401444,-18.159222252494235,0.9028918596123303,8,36.21455468597916,1,0,325,252,72,115,0
DEV,T4_FULL_EXPANSION_FALLBACK_TP1,440,440,234,206,0.5318181818181819,0.5767799369859014,-0.04865290040590769,-21.407276178599382,0.8960811835990322,7,45.801951977699325,0,0,325,234,91,115,0
DEV,T5_FULL_H1_NEAREST_FALLBACK_TP1,440,440,236,204,0.5363636363636364,0.5313453285765946,-0.06266256684967325,-27.571529413856233,0.8648454440497243,7,46.88180724948705,0,0,325,236,89,115,0
DEV,T6_FULL_MAJOR_NEAREST_FALLBACK_TP1,440,440,258,182,0.5863636363636363,0.4762854609929058,-0.03358354381202997,-14.776759277293188,0.9188090149599275,7,33.3782796099394,0,0,325,258,67,115,0
DEV,R1_HALF_TP1_HALF_TP2_BE,440,422,307,115,0.7274881516587678,0.22912205567452343,0.02631842697375922,11.106376182926391,1.09657718419936,5,17.346949970129835,18,0,325,307,0,115,0
DEV,R2_HALF_TP1_HALF_MAJOR_BE,440,433,318,115,0.7344110854503464,0.2117359612156101,0.035841896948448915,15.51954137867838,1.134952533727638,5,16.53351566659294,7,0,325,318,0,115,0
REF,T1_FULL_TP1,272,272,201,71,0.7389705882352942,0.1827079934747154,-0.0019093964179548303,-0.5193558256837139,0.9926851292157223,4,10.562542390565484,0,0,201,201,0,71,0
REF,T2_FULL_TP2_FALLBACK_TP1,272,272,185,87,0.6801470588235294,0.343267108167774,0.03157708915669199,8.588968250620221,1.0987237729956347,5,9.633358747163633,0,0,201,185,16,71,0
REF,T3_FULL_TP3_FALLBACK_HIGHEST,272,272,165,107,0.6066176470588235,0.46273291925466276,-0.0086719397377631,-2.358767608671563,0.9779554429096114,5,15.171826587845413,0,0,201,165,36,71,0
REF,T4_FULL_EXPANSION_FALLBACK_TP1,272,272,153,119,0.5625,0.5714285714286101,0.01381926346450811,3.7588396623462064,1.0315868879188757,7,13.72101291782617,0,0,201,153,48,71,0
REF,T5_FULL_H1_NEAREST_FALLBACK_TP1,272,272,161,111,0.5919117647058824,0.4963981663392305,0.01700473497324349,4.6252879127222295,1.041669260474975,6,9.808241674109555,0,0,201,161,40,71,0
REF,T6_FULL_MAJOR_NEAREST_FALLBACK_TP1,272,272,167,105,0.6139705882352942,0.4640657084188889,0.009266629872564932,2.5205233253376615,1.0240049840508347,6,13.13125346792398,0,0,201,167,34,71,0
REF,R1_HALF_TP1_HALF_TP2_BE,272,261,190,71,0.7279693486590039,0.19681970349115407,-0.0028745660777921844,-0.7502617463037602,0.9894329331506512,4,11.585770366297087,11,0,201,190,0,71,0
REF,R2_HALF_TP1_HALF_MAJOR_BE,272,266,195,71,0.7330827067669173,0.1969592259847934,0.011255529760407173,2.993970916268308,1.0421686044544831,4,10.606959547186694,6,0,201,195,0,71,0
