period,baseline_outcome,target,available,median_distance_r,hit_before_sl,hit_before_sl_rate,hit_24h,hit_24h_rate,median_touch_hours_when_hit,ambiguous
DEV,ALL,TP1,440,0.29440747046381155,325,0.7386363636363636,321,0.7295454545454545,0.6666666666666666,0
DEV,ALL,TP2,382,0.5334141791044698,241,0.6308900523560209,236,0.6178010471204188,1.1666666666666667,1
DEV,ALL,TP3,319,0.6701570680628339,180,0.5642633228840125,176,0.5517241379310345,1.7083333333333335,1
DEV,ALL,EXPANSION,423,0.8846153846154855,223,0.5271867612293144,210,0.49645390070921985,2.5833333333333335,0
DEV,ALL,H1_NEAREST,404,0.7824562130575945,214,0.5297029702970297,210,0.5198019801980198,2.208333333333333,0
DEV,ALL,MAJOR_NEAREST,439,0.6793286219081358,258,0.5876993166287016,254,0.5785876993166287,1.7083333333333335,0
DEV,WIN,TP1,325,0.22391857506361168,325,1.0,321,0.9876923076923076,0.6666666666666666,0
DEV,WIN,TP2,288,0.44711049468333597,241,0.8368055555555556,236,0.8194444444444444,1.1666666666666667,1
DEV,WIN,TP3,243,0.5350609756097545,180,0.7407407407407407,176,0.7242798353909465,1.7083333333333335,1
DEV,WIN,EXPANSION,314,0.8243142516398336,223,0.7101910828025477,210,0.6687898089171974,2.5833333333333335,0
DEV,WIN,H1_NEAREST,303,0.7263593380614662,214,0.7062706270627063,210,0.693069306930693,2.208333333333333,0
DEV,WIN,MAJOR_NEAREST,325,0.5397489539749071,258,0.7938461538461539,254,0.7815384615384615,1.7083333333333335,0
DEV,LOSS,TP1,115,0.5609756097561119,0,0.0,0,0.0,,0
DEV,LOSS,TP2,94,0.8028314917127134,0,0.0,0,0.0,,0
DEV,LOSS,TP3,76,0.9612783409053324,0,0.0,0,0.0,,0
DEV,LOSS,EXPANSION,109,1.0420000000000074,0,0.0,0,0.0,,0
DEV,LOSS,H1_NEAREST,101,1.1047120418848184,0,0.0,0,0.0,,0
DEV,LOSS,MAJOR_NEAREST,114,0.9547311050404383,0,0.0,0,0.0,,0
REF,ALL,TP1,272,0.31851205666371124,201,0.7389705882352942,200,0.7352941176470589,0.5,0
REF,ALL,TP2,241,0.5111607142857041,162,0.6721991701244814,161,0.6680497925311203,0.9166666666666666,0
REF,ALL,TP3,211,0.689320388349506,125,0.5924170616113744,124,0.5876777251184834,2.0,0
REF,ALL,EXPANSION,267,0.8914473684210046,149,0.5580524344569289,134,0.50187265917603,2.4166666666666665,0
REF,ALL,H1_NEAREST,252,0.8411008118967092,145,0.5753968253968254,142,0.5634920634920635,2.0,0
REF,ALL,MAJOR_NEAREST,272,0.6627838350271176,167,0.6139705882352942,164,0.6029411764705882,1.75,0
REF,WIN,TP1,201,0.1827079934747154,201,1.0,200,0.9950248756218906,0.5,0
REF,WIN,TP2,178,0.35047634250223325,162,0.9101123595505618,161,0.9044943820224719,0.9166666666666666,0
REF,WIN,TP3,157,0.5423076923077428,125,0.7961783439490446,124,0.7898089171974523,2.0,0
REF,WIN,EXPANSION,197,0.7255289139633307,149,0.7563451776649747,134,0.6802030456852792,2.4166666666666665,0
REF,WIN,H1_NEAREST,185,0.6032967032967028,145,0.7837837837837838,142,0.7675675675675676,2.0,0
REF,WIN,MAJOR_NEAREST,201,0.5310734463276878,167,0.8308457711442786,164,0.8159203980099502,1.75,0
REF,LOSS,TP1,71,0.6407185628742413,0,0.0,0,0.0,,0
REF,LOSS,TP2,63,1.0129870129870198,0,0.0,0,0.0,,0
REF,LOSS,TP3,54,1.2342648397230338,0,0.0,0,0.0,,0
REF,LOSS,EXPANSION,70,1.2823126971608723,0,0.0,0,0.0,,0
REF,LOSS,H1_NEAREST,67,1.4101265822784486,0,0.0,0,0.0,,0
REF,LOSS,MAJOR_NEAREST,71,1.1742857142857182,0,0.0,0,0.0,,0
