year,state,eligible,signals,signal_coverage,success_rate_after_signal,strict_success_rate,tp2_before_signal
2022,ACCEPT,103,23,0.22330097087378642,0.782608695652174,0.391304347826087,37
2022,ACCEPT_HOLD,103,11,0.10679611650485436,0.6363636363636364,0.36363636363636365,47
2022,ACCEPT_HOLD_BREAK,103,2,0.019417475728155338,0.5,0.5,25
2022,RECLAIM_HOLD_BREAK,103,12,0.11650485436893204,0.8333333333333334,0.5833333333333334,77
2023,ACCEPT,91,38,0.4175824175824176,0.7105263157894737,0.42105263157894735,33
2023,ACCEPT_HOLD,91,23,0.25274725274725274,0.6086956521739131,0.43478260869565216,42
2023,ACCEPT_HOLD_BREAK,91,5,0.054945054945054944,0.8,0.6,31
2023,RECLAIM_HOLD_BREAK,91,15,0.16483516483516483,0.6666666666666666,0.6,67
2024,ACCEPT,94,19,0.20212765957446807,0.7894736842105263,0.5263157894736842,37
2024,ACCEPT_HOLD,94,7,0.07446808510638298,0.5714285714285714,0.2857142857142857,46
2024,ACCEPT_HOLD_BREAK,94,1,0.010638297872340425,0.0,0.0,24
2024,RECLAIM_HOLD_BREAK,94,9,0.09574468085106383,0.5555555555555556,0.2222222222222222,73
2025,ACCEPT,120,23,0.19166666666666668,0.9130434782608695,0.7391304347826086,47
2025,ACCEPT_HOLD,120,10,0.08333333333333333,0.8,0.6,62
2025,ACCEPT_HOLD_BREAK,120,2,0.016666666666666666,1.0,1.0,48
2025,RECLAIM_HOLD_BREAK,120,13,0.10833333333333334,1.0,0.8461538461538461,99
2026,ACCEPT,58,16,0.27586206896551724,0.8125,0.3125,18
2026,ACCEPT_HOLD,58,9,0.15517241379310345,0.7777777777777778,0.3333333333333333,22
2026,ACCEPT_HOLD_BREAK,58,3,0.05172413793103448,1.0,0.3333333333333333,14
2026,RECLAIM_HOLD_BREAK,58,7,0.1206896551724138,0.8571428571428571,0.5714285714285714,44
