period,state,status,n
DEV,ACCEPT,NO_SIGNAL,101
DEV,ACCEPT,SIGNAL,80
DEV,ACCEPT,TP2_BEFORE_SIGNAL,107
DEV,ACCEPT_HOLD,NO_SIGNAL,112
DEV,ACCEPT_HOLD,SIGNAL,41
DEV,ACCEPT_HOLD,TP2_BEFORE_SIGNAL,135
DEV,ACCEPT_HOLD_BREAK,NO_SIGNAL,200
DEV,ACCEPT_HOLD_BREAK,SIGNAL,8
DEV,ACCEPT_HOLD_BREAK,TP2_BEFORE_SIGNAL,80
DEV,RECLAIM_HOLD_BREAK,SIGNAL,36
DEV,RECLAIM_HOLD_BREAK,SL_BEFORE_SIGNAL,35
DEV,RECLAIM_HOLD_BREAK,TP2_BEFORE_SIGNAL,217
REF,ACCEPT,NO_SIGNAL,74
REF,ACCEPT,SIGNAL,39
REF,ACCEPT,TP2_BEFORE_SIGNAL,65
REF,ACCEPT_HOLD,NO_SIGNAL,75
REF,ACCEPT_HOLD,SIGNAL,19
REF,ACCEPT_HOLD,TP2_BEFORE_SIGNAL,84
REF,ACCEPT_HOLD_BREAK,NO_SIGNAL,111
REF,ACCEPT_HOLD_BREAK,SIGNAL,5
REF,ACCEPT_HOLD_BREAK,TP2_BEFORE_SIGNAL,62
REF,RECLAIM_HOLD_BREAK,SIGNAL,20
REF,RECLAIM_HOLD_BREAK,SL_BEFORE_SIGNAL,15
REF,RECLAIM_HOLD_BREAK,TP2_BEFORE_SIGNAL,143
