year,policy,plans,resolved,wins,losses,be,wr_ex_be,win_rate_all,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,ambiguous,partial_open,baseline_wins,baseline_win_still_profitable,baseline_win_to_loss,baseline_win_to_be,baseline_losses,baseline_loss_to_win,cluster_trades,cluster_resolved,cluster_total_r,cluster_expectancy_r
2022,P0_BASELINE_TP1,151,151,116,35,0,0.7682119205298014,0.7682119205298014,0.28207423320207736,0.14097014016133655,21.28649116436182,1.608185461838909,5,7.5568300880379855,0,0,116,116,0,0,35,0,59,59,9.714202632906405,0.16464750225265093
2022,P1_CLUSTER_FULL_TP2,151,150,114,36,0,0.76,0.76,0.2931304748732108,0.14539772372117107,21.809658558175663,1.6058238488382128,5,7.5568300880379855,1,0,116,114,1,0,35,0,59,58,10.237370026720248,0.17650637977103875
2022,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,151,149,111,38,0,0.7449664429530202,0.7449664429530202,0.28205128205127494,0.12766387989235717,19.02191810396122,1.5260059284995355,5,7.5568300880379855,2,0,116,111,3,0,35,0,59,57,7.449629572505806,0.1306952556579966
2022,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,151,148,113,35,0,0.7635135135135135,0.7635135135135135,0.25517241379310857,0.13172728665666045,19.495638425185746,1.5570182407195927,5,7.5568300880379855,3,0,116,113,0,0,35,0,59,56,7.923349893730331,0.1414883909594702
2023,P0_BASELINE_TP1,144,144,101,43,0,0.7013888888888888,0.7013888888888888,0.15210355987054963,-0.05336533205134683,-7.684607815393943,0.8212881903396757,3,10.026648050786187,0,0,101,101,0,0,43,0,51,51,3.292638299171483,0.06456153527787221
2023,P1_CLUSTER_FULL_TP2,144,144,100,44,0,0.6944444444444444,0.6944444444444444,0.16476922577924774,-0.046591342380551355,-6.709153302799395,0.8475192431181956,3,10.422931646226484,0,0,101,100,1,0,43,0,51,51,4.26809281176603,0.08368809434835352
2023,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,144,144,99,45,0,0.6875,0.6875,0.15681233933162358,-0.05415168123304308,-7.7978420975582035,0.8225254770613912,3,10.224789848506333,0,0,101,99,2,0,43,0,51,51,3.1794040170072226,0.06234125523543574
2023,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,144,136,93,43,0,0.6838235294117647,0.6838235294117647,0.18137254901960825,-0.05716094252187074,-7.773888182974421,0.8192119027215252,3,10.10285522422131,8,0,101,93,0,0,43,0,51,43,3.203357931591002,0.07449669608351167
2024,P0_BASELINE_TP1,145,145,108,37,0,0.7448275862068966,0.7448275862068966,0.22888534335591773,0.011793702698242672,1.7100868912451874,1.0462185646282485,4,8.053493337207367,0,0,108,108,0,0,37,0,67,67,-0.5529657948467306,-0.00825322081860792
2024,P1_CLUSTER_FULL_TP2,145,145,105,40,0,0.7241379310344828,0.7241379310344828,0.2581673306772925,-0.0014871634266835554,-0.21563869686911552,0.9946090325782722,5,10.213670731518631,0,0,108,105,3,0,37,0,67,67,-2.478691382961035,-0.03699539377553784
2024,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,145,145,104,41,0,0.7172413793103448,0.7172413793103448,0.23685836246581093,-0.0006089808179409391,-0.08830221860143617,0.9976897334073316,5,9.133582034362998,0,0,108,104,4,0,37,0,67,67,-2.351354904693354,-0.03509484932378141
2024,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,145,138,101,37,0,0.7318840579710145,0.7318840579710145,0.24572930354796335,0.0013378382501535461,0.18462167852118938,1.0049897750951673,4,8.834187239220242,7,0,108,101,0,0,37,0,67,60,-2.0784310075707295,-0.034640516792845494
2025,P0_BASELINE_TP1,186,186,137,49,0,0.7365591397849462,0.7365591397849462,0.16577540106952965,-0.027650810624505393,-5.143050776158003,0.895039780078408,4,9.090043770098966,0,0,137,137,0,0,49,0,87,87,1.7969403483949808,0.0206544867631607
2025,P1_CLUSTER_FULL_TP2,186,186,135,51,0,0.7258064516129032,0.7258064516129032,0.20840950639853395,-0.021593843463319395,-4.016454884177407,0.9212459826631881,4,8.02262054095793,0,0,137,135,2,0,49,0,87,87,2.9235362403755762,0.033603864831903175
2025,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,186,186,131,55,0,0.7043010752688172,0.7043010752688172,0.19849874895746877,-0.036739632181584464,-6.833571585774711,0.8679882392743111,4,10.14059223866499,0,0,137,131,6,0,49,0,87,87,0.10641953877827293,0.0012232130894054359
2025,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,186,176,127,49,0,0.7215909090909091,0.7215909090909091,0.20840950639853395,-0.02876007556880862,-5.061773300110318,0.8966985040793812,4,9.141232204304924,10,0,137,127,0,0,49,0,87,77,1.8782178244426662,0.024392439278476185
2026,P0_BASELINE_TP1,86,86,64,22,0,0.7441860465116279,0.7441860465116279,0.19241826503492332,0.05376389477295685,4.623694950474289,1.2101679522942859,2,4.671923129021771,0,0,64,64,0,0,22,0,37,37,0.6848439811881994,0.018509296788870255
2026,P1_CLUSTER_FULL_TP2,86,86,62,24,0,0.7209302325581395,0.7209302325581395,0.24660166603558809,0.047602961401867844,4.093854680560635,1.1705772783566928,3,5.328959505210181,0,0,64,62,2,0,22,0,37,37,0.1550037112745445,0.004189289493906608
2026,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,86,86,60,26,0,0.6976744186046512,0.6976744186046512,0.22362426035504934,0.036418986299547776,3.1320328217611086,1.131779790251754,3,4.996009070571101,0,0,64,60,4,0,22,0,37,37,-0.8068181475249836,-0.02180589587905361
2026,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,86,85,63,22,0,0.7411764705882353,0.7411764705882353,0.1898454746136907,0.04898729089842905,4.163919726366469,1.1892690784712032,2,4.638875632155736,1,0,64,63,0,0,22,0,37,36,0.22506875708037724,0.006251909918899368
