period,candidate,false_stops,median_minutes_to_later_tp1,median_overshoot_pct_entry,median_overshoot_candidate_r
DEV,TOUCH_LOW_BASELINE,0,,,
DEV,RECLAIM_LOW,1,1855.0,0.005462184873949587,0.20827770360480646
DEV,HOLD_LOW,9,165.0,0.002662212246176285,0.26850937808488795
DEV,PROTECTED_PIVOT_LOW,4,1180.0,0.012197799008209729,0.8253451045970148
DEV,DEMAND_LOW_TOUCH,1,1855.0,0.005322128851540552,0.20185922974767276
DEV,DEMAND_LOW_CLOSE15,1,1790.0,0.005322128851540552,0.20185922974767276
REF,TOUCH_LOW_BASELINE,0,,,
REF,RECLAIM_LOW,0,,,
REF,HOLD_LOW,2,110.0,0.0036946634753014128,0.5173321468358588
REF,PROTECTED_PIVOT_LOW,0,,,
REF,DEMAND_LOW_TOUCH,0,,,
REF,DEMAND_LOW_CLOSE15,0,,,
