archetype,year,n,r1zw_rate,r2zw_rate,full_cont_rate,mfe_med
A_CLEAN_PROXIMAL_RECLAIM,2022,140,0.7714285714285715,0.55,0.4,2.292207792207744
A_CLEAN_PROXIMAL_RECLAIM,2023,124,0.7338709677419355,0.6209677419354839,0.4032258064516129,3.3429539295391644
A_CLEAN_PROXIMAL_RECLAIM,2024,151,0.6688741721854304,0.5298013245033113,0.3443708609271523,2.4647302904564867
B_CLEAN_IN_ZONE_HOLD,2022,89,0.5280898876404494,0.39325842696629215,0.3258426966292135,1.8147053513862024
B_CLEAN_IN_ZONE_HOLD,2023,60,0.5166666666666667,0.4,0.36666666666666664,1.1340206185566926
B_CLEAN_IN_ZONE_HOLD,2024,77,0.4675324675324675,0.3246753246753247,0.3116883116883117,1.2126479289941767
C_SWEEP_FULL_RECLAIM,2022,16,0.625,0.5,0.1875,5.586825487945212
C_SWEEP_FULL_RECLAIM,2023,28,0.75,0.6785714285714286,0.32142857142857145,6.050000000000209
C_SWEEP_FULL_RECLAIM,2024,21,0.7142857142857143,0.6666666666666666,0.47619047619047616,6.4215116279068605
D_SWEEP_PARTIAL_RECLAIM,2022,30,0.4,0.3,0.16666666666666666,1.2988505747126318
D_SWEEP_PARTIAL_RECLAIM,2023,30,0.5,0.43333333333333335,0.16666666666666666,2.567321178120695
D_SWEEP_PARTIAL_RECLAIM,2024,22,0.3181818181818182,0.18181818181818182,0.045454545454545456,1.0160889847512429
