scope,period,candidate,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,signal_precision_loss,median_signal_r_all,median_signal_r_loss,median_signal_r_win,median_minutes_signal_to_sl,median_minutes_signal_to_tp1,cf_wins,cf_losses,cf_be,cf_wr_ex_be,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r
ALL,DEV,TOUCH_BREAK_LEVEL,440,325,115,293,0.6659090909090909,114,0.991304347826087,179,0.5507692307692308,0.3890784982935154,-0.10040160642570245,-0.10923569865583008,-0.09375000000000318,102.5,105.0,146,294,0,0.33181818181818185,-0.009375870498517498,-4.125383019347699,0.8853427386533599,8.539570981888843
ALL,DEV,CLOSE5_BELOW_BREAK_LEVEL,440,325,115,254,0.5772727272727273,113,0.9826086956521739,141,0.4338461538461538,0.4448818897637795,-0.18776709401709235,-0.22212467076382578,-0.1600928074245823,95.0,115.0,184,256,0,0.41818181818181815,-0.003031801979723867,-1.3339928710785014,0.9754342295839459,10.258377615911119
ALL,DEV,CLOSE5_BELOW_HOLD_CLOSE,440,325,115,179,0.4068181818181818,104,0.9043478260869565,75,0.23076923076923078,0.5810055865921788,-0.35323383084576254,-0.4202346041055725,-0.2962962962963067,65.0,165.0,250,190,0,0.5681818181818182,0.0018981089824796143,0.8351679522910302,1.0103043572676218,13.437152309210397
ALL,DEV,CLOSE5_BELOW_RECLAIM_CLOSE,440,325,115,146,0.33181818181818185,97,0.8434782608695652,49,0.15076923076923077,0.6643835616438356,-0.44259742141100267,-0.48537234042554517,-0.36923076923078,45.0,220.0,276,164,0,0.6272727272727273,0.025609419152367207,11.268144427041571,1.1286561685555736,11.313719180538374
ALL,DEV,CLOSE5_BELOW_DEMAND_HIGH,440,325,115,86,0.19545454545454546,65,0.5652173913043478,21,0.06461538461538462,0.7558139534883721,-0.6753044463324831,-0.7041420118343191,-0.5185185185185256,30.0,230.0,304,136,0,0.6909090909090909,0.030062160055141302,13.227350424262173,1.1271922066909335,14.087676528379154
ALL,DEV,CLOSE15_BELOW_DEMAND_HIGH,440,325,115,59,0.1340909090909091,46,0.4,13,0.04,0.7796610169491526,-0.5947323704333031,-0.6175863421481829,-0.5603448275862134,27.5,360.0,312,128,0,0.7090909090909091,0.04111814318456304,18.091983001207737,1.172873798271536,10.971075709589247
ALL,REF,TOUCH_BREAK_LEVEL,272,201,71,180,0.6617647058823529,70,0.9859154929577465,110,0.5472636815920398,0.3888888888888889,-0.08621330889884368,-0.12139104778354072,-0.05895795553764635,112.5,80.0,91,181,0,0.33455882352941174,-0.019218599100383506,-5.227458955304313,0.7597455267934778,7.918751799345507
ALL,REF,CLOSE5_BELOW_BREAK_LEVEL,272,201,71,152,0.5588235294117647,70,0.9859154929577465,82,0.4079601990049751,0.4605263157894737,-0.1693253968253972,-0.20970363454023105,-0.13385765698685245,105.0,107.5,119,153,0,0.4375,0.011329883600304532,3.081728339282833,1.0935892304654478,4.506722805191991
ALL,REF,CLOSE5_BELOW_HOLD_CLOSE,272,201,71,115,0.4227941176470588,69,0.971830985915493,46,0.22885572139303484,0.6,-0.35344827586206706,-0.41017964071856033,-0.2756613819779387,65.0,155.0,155,117,0,0.5698529411764706,0.005694963638449404,1.549030109658238,1.0330478414075073,9.52673322851984
ALL,REF,CLOSE5_BELOW_RECLAIM_CLOSE,272,201,71,93,0.34191176470588236,67,0.9436619718309859,26,0.12935323383084577,0.7204301075268817,-0.4946236559139711,-0.5168776371308045,-0.44134108940595695,45.0,175.0,175,97,0,0.6433823529411765,0.001241134829643514,0.3375886736630358,1.006667811828904,10.327863493606618
ALL,REF,CLOSE5_BELOW_DEMAND_HIGH,272,201,71,62,0.22794117647058823,48,0.676056338028169,14,0.06965174129353234,0.7741935483870968,-0.5906457337395383,-0.6400594451783366,-0.46697519769949547,30.0,207.5,187,85,0,0.6875,-0.002514878115775467,-0.6840468474909269,0.988784677559845,10.193863235134286
ALL,REF,CLOSE15_BELOW_DEMAND_HIGH,272,201,71,50,0.18382352941176472,37,0.5211267605633803,13,0.06467661691542288,0.74,-0.5854037977579556,-0.5917542441390499,-0.4775641025641048,50.0,195.0,188,84,0,0.6911764705882353,-0.013315079768437354,-3.6217016970149603,0.9435243759252643,12.376290752278509
Q4_WIDE,DEV,TOUCH_BREAK_LEVEL,110,87,23,62,0.5636363636363636,23,1.0,39,0.4482758620689655,0.3709677419354839,-0.04872243141473888,-0.074349442379178,-0.042899408284026753,185.0,125.0,48,62,0,0.43636363636363634,0.013438415168374029,1.4782256685211432,1.2432762845259766,1.2093834356052153
