zone_id,period,year,entry_ts,entry_price,structural_sl,tp1,reclaim_close,break_level,failure_ts,failure_close,failure_r,baseline_outcome,baseline_realized_r,baseline_resolution_ts
D_2022-01-23T06:00:00+00:00,DEV,2022,2022-01-23 23:15:00+00:00,383.11,363.12,388.22,374.13,376.67,2022-01-24 01:45:00+00:00,373.96,-0.4577288644322176,LOSS,-1.0,2022-01-24 07:45:00+00:00
D_2022-01-31T17:00:00+00:00,DEV,2022,2022-02-02 18:00:00+00:00,374.6,368.01,381.16,372.43,373.22,2022-02-02 21:20:00+00:00,372.1,-0.3793626707132,LOSS,-1.0,2022-02-02 21:40:00+00:00
D_2022-02-04T16:00:00+00:00,DEV,2022,2022-02-20 18:45:00+00:00,383.14,374.61,384.36,379.46,382.66,2022-02-20 21:10:00+00:00,379.12,-0.47127784290738506,WIN,0.14302461899179733,2022-02-20 23:00:00+00:00
D_2022-02-15T08:00:00+00:00,DEV,2022,2022-02-15 18:45:00+00:00,431.33,422.33,433.56,426.63,431.21,2022-02-15 21:35:00+00:00,426.43,-0.544444444444442,WIN,0.2477777777777798,2022-02-15 23:40:00+00:00
D_2022-04-04T23:00:00+00:00,DEV,2022,2022-04-06 02:30:00+00:00,441.97,432.0,449.73,441.09,441.84,2022-04-06 03:00:00+00:00,441.08,-0.08926780341023478,LOSS,-1.0,2022-04-06 11:30:00+00:00
D_2022-04-18T18:00:00+00:00,DEV,2022,2022-04-22 01:30:00+00:00,408.36,400.72,416.74,406.11,408.13,2022-04-22 15:55:00+00:00,405.84,-0.3298429319371784,LOSS,-1.0,2022-04-23 04:25:00+00:00
D_2022-05-12T15:00:00+00:00,DEV,2022,2022-05-12 17:00:00+00:00,281.57,271.23,285.05,276.35,280.04,2022-05-12 17:25:00+00:00,276.3,-0.5096711798839453,LOSS,-1.0,2022-05-12 17:55:00+00:00
D_2022-05-14T23:00:00+00:00,DEV,2022,2022-05-15 04:30:00+00:00,291.2,285.26,295.57,289.31,290.87,2022-05-15 05:10:00+00:00,289.16,-0.34343434343433743,WIN,0.7356902356902367,2022-05-15 07:05:00+00:00
D_2022-06-14T06:00:00+00:00,DEV,2022,2022-06-14 13:30:00+00:00,225.48,217.87,229.38,223.5,225.19,2022-06-14 13:45:00+00:00,221.04,-0.5834428383705659,LOSS,-1.0,2022-06-14 20:30:00+00:00
D_2022-06-15T19:00:00+00:00,DEV,2022,2022-06-16 15:30:00+00:00,218.29,211.32,219.7,214.28,216.0,2022-06-16 16:15:00+00:00,214.11,-0.599713055954086,LOSS,-1.0,2022-06-16 22:55:00+00:00
D_2022-06-17T07:00:00+00:00,DEV,2022,2022-06-17 13:45:00+00:00,218.41,213.71,219.7,215.14,217.82,2022-06-17 14:20:00+00:00,214.69,-0.7914893617021294,LOSS,-1.0,2022-06-17 14:25:00+00:00
D_2022-06-22T14:00:00+00:00,DEV,2022,2022-06-22 17:30:00+00:00,217.19,212.76,220.8,216.83,217.0,2022-06-22 17:45:00+00:00,216.6,-0.1331828442437929,LOSS,-1.0,2022-06-22 20:50:00+00:00
D_2022-08-03T07:00:00+00:00,DEV,2022,2022-08-19 16:30:00+00:00,285.6,273.1,289.85,285.21,285.33,2022-08-19 17:35:00+00:00,284.89,-0.05680000000000291,WIN,0.34,2022-08-21 05:35:00+00:00
D_2022-08-10T13:00:00+00:00,DEV,2022,2022-08-12 01:00:00+00:00,325.77,319.58,326.5,322.5,325.36,2022-08-12 01:55:00+00:00,322.11,-0.5912762520193812,WIN,0.11793214862682043,2022-08-12 09:40:00+00:00
D_2022-09-23T22:00:00+00:00,DEV,2022,2022-09-26 00:15:00+00:00,276.03,270.9,276.27,273.45,274.44,2022-09-26 01:00:00+00:00,273.26,-0.5399610136452211,LOSS,-1.0,2022-09-26 05:30:00+00:00
D_2023-01-06T16:00:00+00:00,DEV,2023,2023-06-07 18:00:00+00:00,262.94,253.39,264.0,260.45,262.64,2023-06-07 19:00:00+00:00,260.42,-0.263874345549736,WIN,0.11099476439790587,2023-06-08 11:05:00+00:00
D_2023-02-02T01:00:00+00:00,DEV,2023,2023-02-09 08:30:00+00:00,323.58,316.55,323.81,319.84,323.33,2023-02-09 12:30:00+00:00,319.4,-0.5945945945945978,LOSS,-1.0,2023-02-09 16:30:00+00:00
D_2023-03-11T22:00:00+00:00,DEV,2023,2023-06-06 17:30:00+00:00,283.45,271.51,286.5,282.12,283.43,2023-06-06 17:50:00+00:00,282.0,-0.12144053601339941,LOSS,-1.0,2023-06-07 10:00:00+00:00
D_2024-01-10T22:00:00+00:00,DEV,2024,2024-01-12 19:30:00+00:00,302.18,296.75,306.58,298.86,302.06,2024-01-12 21:40:00+00:00,297.5,-0.8618784530386742,LOSS,-1.0,2024-01-12 21:45:00+00:00
D_2024-01-11T09:00:00+00:00,DEV,2024,2024-01-12 03:15:00+00:00,313.17,301.4,315.22,308.34,312.7,2024-01-12 07:40:00+00:00,308.18,-0.4239592183517411,LOSS,-1.0,2024-01-12 16:55:00+00:00
D_2024-03-11T23:00:00+00:00,DEV,2024,2024-03-19 08:00:00+00:00,529.85,512.55,531.07,525.78,527.2,2024-03-19 08:05:00+00:00,525.65,-0.24277456647399012,LOSS,-1.0,2024-03-19 08:35:00+00:00
D_2024-03-16T00:00:00+00:00,DEV,2024,2024-03-16 16:00:00+00:00,601.7,590.28,604.49,598.93,599.72,2024-03-16 16:20:00+00:00,597.43,-0.37390542907180985,LOSS,-1.0,2024-03-16 17:30:00+00:00
D_2024-03-25T03:00:00+00:00,DEV,2024,2024-03-27 15:00:00+00:00,576.22,562.7,577.01,569.13,575.64,2024-03-27 16:15:00+00:00,568.22,-0.5917159763313617,WIN,0.058431952662719285,2024-03-28 00:10:00+00:00
D_2024-04-10T16:00:00+00:00,DEV,2024,2024-04-12 20:15:00+00:00,595.32,563.33,600.69,587.74,591.85,2024-04-13 00:35:00+00:00,586.07,-0.2891528602688339,LOSS,-1.0,2024-04-13 19:55:00+00:00
D_2024-04-19T07:00:00+00:00,DEV,2024,2024-05-01 12:15:00+00:00,554.79,535.91,556.5,548.27,551.32,2024-05-01 13:50:00+00:00,548.07,-0.355932203389826,WIN,0.09057203389830704,2024-05-01 18:05:00+00:00
D_2024-06-12T13:00:00+00:00,DEV,2024,2024-06-12 21:15:00+00:00,621.5,609.5,625.75,616.71,621.31,2024-06-13 00:15:00+00:00,615.64,-0.48833333333333445,LOSS,-1.0,2024-06-13 02:10:00+00:00
D_2024-09-06T02:00:00+00:00,DEV,2024,2024-09-06 10:30:00+00:00,505.88,496.9,507.15,503.7,504.8,2024-09-06 12:15:00+00:00,502.95,-0.3262806236080179,WIN,0.14142538975500882,2024-09-06 12:35:00+00:00
D_2024-09-18T23:00:00+00:00,DEV,2024,2024-10-01 18:00:00+00:00,551.66,538.02,557.71,548.15,551.47,2024-10-01 20:05:00+00:00,547.05,-0.3379765395894442,LOSS,-1.0,2024-10-01 20:45:00+00:00
D_2024-11-13T14:00:00+00:00,DEV,2024,2024-11-13 20:45:00+00:00,618.41,607.02,633.48,614.36,618.17,2024-11-13 21:05:00+00:00,610.03,-0.7357330992098337,LOSS,-1.0,2024-11-13 21:10:00+00:00
D_2024-11-21T13:00:00+00:00,DEV,2024,2024-11-26 14:45:00+00:00,619.03,608.18,622.54,612.24,615.3,2024-11-26 18:20:00+00:00,609.75,-0.8552995391705026,LOSS,-1.0,2024-11-26 18:30:00+00:00
D_2024-12-03T18:00:00+00:00,DEV,2024,2024-12-10 00:45:00+00:00,700.15,633.0,717.64,681.12,698.57,2024-12-10 03:00:00+00:00,679.72,-0.3042442293373039,WIN,0.26046165301563684,2024-12-12 00:35:00+00:00
D_2025-02-21T10:00:00+00:00,REF,2025,2025-02-21 16:15:00+00:00,661.53,648.14,664.77,652.89,659.08,2025-02-21 17:15:00+00:00,652.44,-0.678864824495887,LOSS,-1.0,2025-02-21 17:40:00+00:00
D_2025-03-01T02:00:00+00:00,REF,2025,2025-03-03 17:45:00+00:00,596.71,586.0,596.78,592.94,595.95,2025-03-03 18:05:00+00:00,592.62,-0.3818860877684424,LOSS,-1.0,2025-03-03 18:30:00+00:00
D_2025-03-07T06:00:00+00:00,REF,2025,2025-03-08 17:45:00+00:00,601.65,589.79,602.55,598.07,601.62,2025-03-08 20:20:00+00:00,597.43,-0.3558178752107945,LOSS,-1.0,2025-03-09 01:50:00+00:00
D_2025-09-17T22:00:00+00:00,REF,2025,2025-09-25 19:00:00+00:00,968.67,950.84,982.14,962.93,966.37,2025-09-25 19:55:00+00:00,958.55,-0.5675827257431322,LOSS,-1.0,2025-09-25 21:40:00+00:00
D_2025-11-09T17:00:00+00:00,REF,2025,2025-11-10 23:00:00+00:00,994.49,975.01,999.03,991.45,992.13,2025-11-10 23:55:00+00:00,991.35,-0.1611909650924016,WIN,0.23305954825461803,2025-11-11 01:20:00+00:00
