year,config,trades,positive,negative,zero,positive_rate,median_positive_r,expectancy_r,total_r,profit_factor,max_drawdown_r,max_loss_streak,promoted,promoted_share,promoted_tp1_reached,runner_major_hit,runner_be,runner_ambiguous,runner_partial_open,runner_same_tp1_bar_major,s20_positive,s20_positive_retained,s20_positive_to_negative,s20_negative_to_positive,incremental_r_vs_s20
2022,BASELINE_TP1,151,116,35,0,0.7682119205298014,0.28207423320207736,0.14097014016133655,21.28649116436182,1.608185461838909,7.5568300880379855,5,38,0.25165562913907286,33,0,0,0,0,0,,,,,
2022,S20_IMMEDIATE,151,111,40,0,0.7350993377483444,0.28344671201814264,0.15417993997468254,23.281170936177062,1.7409454951840722,5.750726680963168,5,38,0.25165562913907286,33,0,0,0,0,0,,,,,
2022,S23_ADAPTIVE_MAJOR_50_50_BE,151,111,40,0,0.7350993377483444,0.28070175438601214,0.16378831034647914,24.73203486231835,1.787120624998053,5.7742838567577595,5,38,0.25165562913907286,33,8,16,1,0,6,111.0,111.0,0.0,0.0,1.4508639261412881
2023,BASELINE_TP1,144,101,43,0,0.7013888888888888,0.15210355987054963,-0.05336533205134683,-7.684607815393943,0.8212881903396757,10.026648050786187,3,38,0.2638888888888889,30,0,0,0,0,0,,,,,
2023,S20_IMMEDIATE,144,100,44,0,0.6944444444444444,0.1544579496010866,-0.047052167055205436,-6.775512055949583,0.8386010798856607,9.11755229134183,3,38,0.2638888888888889,30,0,0,0,0,0,,,,,
2023,S23_ADAPTIVE_MAJOR_50_50_BE,144,100,44,0,0.6944444444444444,0.16784012516889682,-0.04549138524548275,-6.5507594753495155,0.8439548927786522,8.999657429468957,3,38,0.2638888888888889,30,7,16,2,0,5,100.0,100.0,0.0,0.0,0.2247525806000672
2024,BASELINE_TP1,145,108,37,0,0.7448275862068966,0.22888534335591773,0.011793702698242672,1.7100868912451874,1.0462185646282485,8.053493337207367,4,41,0.2827586206896552,32,0,0,0,0,0,,,,,
2024,S20_IMMEDIATE,145,104,41,0,0.7172413793103448,0.24326598956662168,0.027393170970612713,3.972009790738843,1.116184168608363,6.331492423490401,4,41,0.2827586206896552,32,0,0,0,0,0,,,,,
2024,S23_ADAPTIVE_MAJOR_50_50_BE,145,104,41,0,0.7172413793103448,0.24326598956662168,0.03490491224957593,5.0612122761885106,1.1480441316711911,6.147202585725705,4,41,0.2827586206896552,32,10,11,0,0,8,104.0,104.0,0.0,0.0,1.0892024854496674
2025,BASELINE_TP1,186,137,49,0,0.7365591397849462,0.16577540106952965,-0.027650810624505393,-5.143050776158003,0.895039780078408,9.090043770098966,4,49,0.26344086021505375,40,0,0,0,0,0,,,,,
2025,S20_IMMEDIATE,186,136,50,0,0.7311827956989247,0.16540001580569452,-0.018932541950125156,-3.521452802723279,0.9253064540926108,9.051877009189113,4,49,0.26344086021505375,40,0,0,0,0,0,,,,,
2025,S23_ADAPTIVE_MAJOR_50_50_BE,186,136,50,0,0.7311827956989247,0.17433171251899074,-0.014660475079714063,-2.726848364826816,0.9421608111961153,8.874370081475,4,49,0.26344086021505375,40,9,23,0,0,7,136.0,136.0,0.0,0.0,0.7946044378964632
2026,BASELINE_TP1,86,64,22,0,0.7441860465116279,0.19241826503492332,0.05376389477295685,4.623694950474289,1.2101679522942859,4.671923129021771,2,22,0.2558139534883721,17,0,0,0,0,0,,,,,
2026,S20_IMMEDIATE,86,63,23,0,0.7325581395348837,0.1898454746136907,0.05728229941516642,4.926277749704312,1.2314451094496677,4.920399682506139,2,22,0.2558139534883721,17,0,0,0,0,0,,,,,
2026,S23_ADAPTIVE_MAJOR_50_50_BE,86,63,23,0,0.7325581395348837,0.1827079934747154,0.05347261564298396,4.598644945296621,1.216052349615939,4.998582193576056,2,22,0.2558139534883721,17,3,11,1,0,2,63.0,63.0,0.0,0.0,-0.32763280440769105
