year,candidate,family,n,loss_captured,baseline_losses,loss_capture_rate,winner_false_exit,baseline_wins,winner_false_exit_rate,precision_loss,cf_expectancy_r,cf_total_r
2022,D1_TWO_CLOSES_BELOW,D1,57,9,19,0.47368421052631576,1,38,0.02631578947368421,0.9,-0.000589146096496809,-0.033581327500318114
2022,D1_NO_RECLAIM_15M,D1,57,4,19,0.21052631578947367,1,38,0.02631578947368421,0.8,-0.04847165840333625,-2.762884528990166
2022,D1_RECLAIM_ATTEMPT_REJECT,D1,57,5,19,0.2631578947368421,1,38,0.02631578947368421,0.8333333333333334,-0.028597182380007174,-1.630039395660409
2022,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,57,11,19,0.5789473684210527,2,38,0.05263157894736842,0.8461538461538461,0.003622021770899162,0.20645524094125223
2022,ANCHOR_NO_RECLAIM_15M,ANCHOR,57,7,19,0.3684210526315789,1,38,0.02631578947368421,0.875,-0.01976130533916862,-1.1263944043326113
2022,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,57,6,19,0.3157894736842105,1,38,0.02631578947368421,0.8571428571428571,-0.011843196985117157,-0.6750622281516779
2023,D1_TWO_CLOSES_BELOW,D1,42,7,12,0.5833333333333334,4,30,0.13333333333333333,0.6363636363636364,-0.013725092510054885,-0.5764538854223051
2023,D1_NO_RECLAIM_15M,D1,42,1,12,0.08333333333333333,1,30,0.03333333333333333,0.5,-0.014566162877342158,-0.6117788408483706
2023,D1_RECLAIM_ATTEMPT_REJECT,D1,42,1,12,0.08333333333333333,2,30,0.06666666666666667,0.3333333333333333,-0.01691410307577038,-0.710392329182356
2023,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,42,8,12,0.6666666666666666,6,30,0.2,0.5714285714285714,-0.01951231947475081,-0.8195174179395339
2023,ANCHOR_NO_RECLAIM_15M,ANCHOR,42,4,12,0.3333333333333333,2,30,0.06666666666666667,0.6666666666666666,-0.000650580216083816,-0.02732436907552027
2023,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,42,5,12,0.4166666666666667,3,30,0.1,0.625,0.02362302634842463,0.9921671066338345
2024,D1_TWO_CLOSES_BELOW,D1,52,10,12,0.8333333333333334,5,40,0.125,0.6666666666666666,0.09044968830417166,4.703383791816926
2024,D1_NO_RECLAIM_15M,D1,52,3,12,0.25,1,40,0.025,0.75,0.10784388100979451,5.607881812509315
2024,D1_RECLAIM_ATTEMPT_REJECT,D1,52,3,12,0.25,2,40,0.05,0.6,0.09088097316645814,4.725810604655823
2024,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,52,9,12,0.75,8,40,0.2,0.5294117647058824,0.032181630765374045,1.6734447997994502
2024,ANCHOR_NO_RECLAIM_15M,ANCHOR,52,2,12,0.16666666666666666,2,40,0.05,0.5,0.0802757953830397,4.174341359918064
2024,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,52,3,12,0.25,5,40,0.125,0.375,0.04999103966464077,2.59953406256132
2025,D1_TWO_CLOSES_BELOW,D1,62,5,9,0.5555555555555556,6,52,0.11538461538461539,0.45454545454545453,0.10433202519970869,6.468585562381938
2025,D1_NO_RECLAIM_15M,D1,62,3,9,0.3333333333333333,6,52,0.11538461538461539,0.3333333333333333,0.07892463828324835,4.893327573561398
2025,D1_RECLAIM_ATTEMPT_REJECT,D1,62,1,9,0.1111111111111111,3,52,0.057692307692307696,0.25,0.12747234608384791,7.903285457198571
2025,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,62,5,9,0.5555555555555556,6,52,0.11538461538461539,0.45454545454545453,0.10476270669056748,6.495287814815184
2025,ANCHOR_NO_RECLAIM_15M,ANCHOR,62,2,9,0.2222222222222222,6,52,0.11538461538461539,0.25,0.08287730794949344,5.1383930928685935
2025,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,62,0,9,0.0,3,52,0.057692307692307696,0.0,0.12868658174584383,7.978568068242318
2026,D1_TWO_CLOSES_BELOW,D1,39,4,8,0.5,5,31,0.16129032258064516,0.4444444444444444,0.07643118465866926,2.9808162016881012
2026,D1_NO_RECLAIM_15M,D1,39,1,8,0.125,3,31,0.0967741935483871,0.25,0.10110108873996597,3.942942460858673
2026,D1_RECLAIM_ATTEMPT_REJECT,D1,39,1,8,0.125,1,31,0.03225806451612903,0.5,0.1441925502664364,5.62350946039102
2026,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,39,5,8,0.625,7,31,0.22580645161290322,0.4166666666666667,0.05813753094104544,2.267363706700772
2026,ANCHOR_NO_RECLAIM_15M,ANCHOR,39,1,8,0.125,4,31,0.12903225806451613,0.2,0.07954996081147844,3.102448471647659
2026,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,39,2,8,0.25,4,31,0.12903225806451613,0.3333333333333333,0.1053040999891082,4.10685989957522
