year,policy,n,runner_n,runner_rate,target_hits,protection_exits,catastrophic_exits,unresolved,samebar_stop_first,positive_n,negative_n,zero_n,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,median_realized_r,median_protection_r,mean_protection_r,delta_vs_fixed_t1_mean_r,delta_vs_matching_base_mean_r,continuation_retention_rate
2022,BASE_XP1_T15_UNPROTECTED,88,22,0.25,49,0,34,5,0,49,34,5,0.022639188030463196,1.9922485466807611,1.044965353832098,10.6295849795304,5,0.7034832451499201,,,0.05292862732046304,0.050883868968669525,1.0
2022,PROTECT_T05_TOUCH_T15,88,22,0.25,42,9,32,5,0,51,32,5,-0.00927090146272565,-0.8158393287198571,0.9805707166075434,12.417026382096973,5,0.331908344733239,0.2189097103918269,0.23032091237024843,0.021018537827274215,-0.031910089493188826,0.8571428571428571
2022,PROTECT_ANCHOR_TOUCH_T15,88,22,0.25,47,4,32,5,0,47,36,5,0.016669986755472547,1.4669588344815843,1.034443113472112,11.282729401576065,5,0.6409094158861859,-0.15183629808644428,-0.15014544816332573,0.04695942604547241,-0.005969201274990629,0.9591836734693877
2022,PROTECT_HL5_TOUCH_T15,88,22,0.25,38,13,32,5,0,51,32,5,-0.00890103508114649,-0.7832910871408911,0.9813458557646079,12.25515698656579,5,0.4713769553186091,0.4940617577197069,0.5978077186184706,0.02138840420885336,-0.03154022311160967,0.7755102040816326
2022,BASE_XP1_T2_UNPROTECTED,88,22,0.25,45,0,37,6,0,45,37,6,-0.028244680938206323,-2.4855319225621564,0.9514488904398802,17.34735648497768,5,0.5089759797724431,,,0.0020447583517935186,0.0,1.0
2022,PROTECT_T05_TOUCH_T2,88,22,0.25,40,11,32,5,0,51,32,5,0.025202733522740665,2.2178405500011786,1.0528180623908745,13.217794785305342,5,0.2856230676166148,0.2189097103918269,0.23452749077473553,0.05549217281274053,0.05344741446094702,0.8888888888888888
2022,PROTECT_ANCHOR_TOUCH_T2,88,22,0.25,43,8,32,5,0,43,40,5,0.02672915265864876,2.352165433961091,1.054363390711456,12.408590184010023,5,0.0,-0.15183629808644428,-0.15965765533986528,0.05701859194864862,0.0549738335968551,0.9555555555555556
2022,PROTECT_HL5_TOUCH_T2,88,22,0.25,34,16,33,5,0,50,33,5,-0.01748661917255256,-1.5388224871846252,0.9645203116352541,13.656008240867822,5,0.43863179074446834,0.5778480244055901,0.6243517776571308,0.012802820117447293,0.010758061765653764,0.7555555555555555
2023,BASE_XP1_T15_UNPROTECTED,98,24,0.24489795918367346,51,0,33,14,0,51,33,14,-0.025434272703652214,-2.492558724957917,0.9484062580088515,15.015052195948364,5,0.5523163893740186,,,0.0161705338308095,-0.017222737224580873,1.0
2023,PROTECT_T05_TOUCH_T15,98,24,0.24489795918367346,46,9,30,13,0,55,30,13,-0.016769137067874314,-1.6433754326516827,0.9627642845960409,15.16301879808269,3,0.31193721195888624,0.17672413793107028,0.24266361998826078,0.02483566946658741,0.008665135635777907,0.9019607843137255
