decision,feature,q25,q50,q75,dev_n
TOUCH_CLOSE,touch_penetration_zone_r,0.06190476190475991,0.15681818181818008,0.3471074380165268,657
TOUCH_CLOSE,touch_floor_sweep_depth_zone_r,0.0,0.0,0.0,657
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,-0.07762557077626306,0.026915113871635074,0.19387755102040788,657
TOUCH_CLOSE,touch_close_vs_floor_zone_r,0.9223744292237369,1.026915113871635,1.1938775510204078,657
TOUCH_CLOSE,touch_recovery_from_low_event_r,0.09195402298848898,0.1926605504587223,0.42631578947367776,657
TOUCH_CLOSE,touch_lower_wick_event_r,0.0819964349376177,0.17529215358930766,0.40298507462686783,657
TOUCH_CLOSE,touch_upper_wick_event_r,0.01764057331863563,0.04782608695652773,0.12114771519660436,657
TOUCH_CLOSE,touch_body_event_r,-0.7241379310344286,-0.3157894736842263,-0.10886075949366494,657
TOUCH_CLOSE,touch_range_event_r,0.3616298811545089,0.6211583924349904,1.155660377358493,657
TOUCH_CLOSE,touch_close_location_in_candle,0.1574803149606309,0.3273809523809578,0.550000000000005,657
PLUS5_CLOSE,p5_close_r,-0.09780469868024258,0.01208333903086499,0.10269093787099842,602
PLUS5_CLOSE,p5_high_r,0.04460970321181597,0.10320771440797945,0.20000000000000645,602
PLUS5_CLOSE,p5_low_r,-0.2274801825606798,-0.10898671529044177,-0.0483009808400015,602
PLUS5_CLOSE,p5_body_r,-0.1029436572199787,0.012107553568250797,0.10168102250624583,602
PLUS5_CLOSE,p5_range_r,0.15798753967321033,0.2513273443747248,0.39941338282569827,602
PLUS5_CLOSE,p5_recovery_from_low_r,0.05757713248638746,0.12500000000000802,0.24863024513480578,602
PLUS5_CLOSE,p5_close_location,0.27272727272723246,0.5578927773641207,0.8500000000000162,602
PLUS5_CLOSE,p5_close_vs_zone_high_zone_r,-0.10375324281527651,0.047932558945905875,0.27242972660761594,602
PLUS15_CLOSE,p15_close_r,-0.13811310598146462,0.010093325218096222,0.13186115422604902,532
PLUS15_CLOSE,p15_high_r,0.07452724471214678,0.15440241576605954,0.256675406970412,532
PLUS15_CLOSE,p15_low_r,-0.319041560644606,-0.1661821705426357,-0.07120946538123994,532
PLUS15_CLOSE,p15_body_r,-0.13755739210284432,0.010230713018060712,0.1333844243665684,532
PLUS15_CLOSE,p15_range_r,0.22989681203881254,0.3632116004296452,0.5423460106428228,532
PLUS15_CLOSE,p15_close_location,0.3139876516925708,0.5840854392298485,0.8213859020310578,532
PLUS15_CLOSE,p15_green_rate,0.3333333333333333,0.6666666666666666,0.6666666666666666,532
PLUS15_CLOSE,p15_close_slope_r_per_bar,-0.056619496855321166,0.00437283428455705,0.05765474835931064,532
PLUS15_CLOSE,p15_path_efficiency,-0.7512755102039734,0.07964734010766217,1.0,532
PLUS15_CLOSE,p15_min_close_r,-0.2129249427043579,-0.06939783743474831,0.023933679360279497,532
PLUS15_CLOSE,p15_max_close_r,-0.013544242828424168,0.07754922605656578,0.17347826086956125,532
PLUS15_CLOSE,p15_close_above_anchor_rate,0.0,0.6666666666666666,1.0,532
PLUS15_CLOSE,p15_close_above_zone_rate,0.0,0.6666666666666666,1.0,532
