decision,feature,period,band,n,survive,survival_rate
TOUCH_CLOSE,touch_penetration_zone_r,DEV,Q1,165,121,0.7333333333333333
TOUCH_CLOSE,touch_penetration_zone_r,DEV,Q2,164,119,0.725609756097561
TOUCH_CLOSE,touch_penetration_zone_r,DEV,Q3,164,125,0.7621951219512195
TOUCH_CLOSE,touch_penetration_zone_r,DEV,Q4,164,135,0.823170731707317
TOUCH_CLOSE,touch_penetration_zone_r,REF,Q1,116,87,0.75
TOUCH_CLOSE,touch_penetration_zone_r,REF,Q2,103,78,0.7572815533980582
TOUCH_CLOSE,touch_penetration_zone_r,REF,Q3,96,79,0.8229166666666666
TOUCH_CLOSE,touch_penetration_zone_r,REF,Q4,88,65,0.7386363636363636
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,DEV,Q1,165,130,0.7878787878787878
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,DEV,Q2,164,124,0.7560975609756098
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,DEV,Q3,164,126,0.7682926829268293
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,DEV,Q4,164,120,0.7317073170731707
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,REF,Q1,100,77,0.77
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,REF,Q2,82,60,0.7317073170731707
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,REF,Q3,111,89,0.8018018018018018
TOUCH_CLOSE,touch_close_vs_zone_high_zone_r,REF,Q4,110,83,0.7545454545454545
TOUCH_CLOSE,touch_close_vs_floor_zone_r,DEV,Q1,165,130,0.7878787878787878
TOUCH_CLOSE,touch_close_vs_floor_zone_r,DEV,Q2,164,124,0.7560975609756098
TOUCH_CLOSE,touch_close_vs_floor_zone_r,DEV,Q3,164,126,0.7682926829268293
TOUCH_CLOSE,touch_close_vs_floor_zone_r,DEV,Q4,164,120,0.7317073170731707
TOUCH_CLOSE,touch_close_vs_floor_zone_r,REF,Q1,100,77,0.77
TOUCH_CLOSE,touch_close_vs_floor_zone_r,REF,Q2,82,60,0.7317073170731707
TOUCH_CLOSE,touch_close_vs_floor_zone_r,REF,Q3,111,89,0.8018018018018018
TOUCH_CLOSE,touch_close_vs_floor_zone_r,REF,Q4,110,83,0.7545454545454545
TOUCH_CLOSE,touch_recovery_from_low_event_r,DEV,Q1,165,118,0.7151515151515152
TOUCH_CLOSE,touch_recovery_from_low_event_r,DEV,Q2,164,127,0.774390243902439
TOUCH_CLOSE,touch_recovery_from_low_event_r,DEV,Q3,164,123,0.75
TOUCH_CLOSE,touch_recovery_from_low_event_r,DEV,Q4,164,132,0.8048780487804879
TOUCH_CLOSE,touch_recovery_from_low_event_r,REF,Q1,105,75,0.7142857142857143
TOUCH_CLOSE,touch_recovery_from_low_event_r,REF,Q2,97,81,0.8350515463917526
TOUCH_CLOSE,touch_recovery_from_low_event_r,REF,Q3,105,76,0.7238095238095238
TOUCH_CLOSE,touch_recovery_from_low_event_r,REF,Q4,96,77,0.8020833333333334
TOUCH_CLOSE,touch_lower_wick_event_r,DEV,Q1,165,114,0.6909090909090909
TOUCH_CLOSE,touch_lower_wick_event_r,DEV,Q2,164,129,0.7865853658536586
TOUCH_CLOSE,touch_lower_wick_event_r,DEV,Q3,164,122,0.7439024390243902
TOUCH_CLOSE,touch_lower_wick_event_r,DEV,Q4,164,135,0.823170731707317
TOUCH_CLOSE,touch_lower_wick_event_r,REF,Q1,106,78,0.7358490566037735
TOUCH_CLOSE,touch_lower_wick_event_r,REF,Q2,93,75,0.8064516129032258
TOUCH_CLOSE,touch_lower_wick_event_r,REF,Q3,113,83,0.7345132743362832
TOUCH_CLOSE,touch_lower_wick_event_r,REF,Q4,91,73,0.8021978021978022
TOUCH_CLOSE,touch_upper_wick_event_r,DEV,Q1,165,123,0.7454545454545455
TOUCH_CLOSE,touch_upper_wick_event_r,DEV,Q2,164,123,0.75
TOUCH_CLOSE,touch_upper_wick_event_r,DEV,Q3,164,121,0.7378048780487805
TOUCH_CLOSE,touch_upper_wick_event_r,DEV,Q4,164,133,0.8109756097560976
TOUCH_CLOSE,touch_upper_wick_event_r,REF,Q1,130,95,0.7307692307692307
TOUCH_CLOSE,touch_upper_wick_event_r,REF,Q2,72,57,0.7916666666666666
TOUCH_CLOSE,touch_upper_wick_event_r,REF,Q3,116,96,0.8275862068965517
TOUCH_CLOSE,touch_upper_wick_event_r,REF,Q4,85,61,0.7176470588235294
TOUCH_CLOSE,touch_body_event_r,DEV,Q1,165,135,0.8181818181818182
TOUCH_CLOSE,touch_body_event_r,DEV,Q2,164,123,0.75
TOUCH_CLOSE,touch_body_event_r,DEV,Q3,164,121,0.7378048780487805
TOUCH_CLOSE,touch_body_event_r,DEV,Q4,164,121,0.7378048780487805
TOUCH_CLOSE,touch_body_event_r,REF,Q1,93,71,0.7634408602150538
TOUCH_CLOSE,touch_body_event_r,REF,Q2,100,72,0.72
TOUCH_CLOSE,touch_body_event_r,REF,Q3,103,79,0.7669902912621359
