decision,feature,period,true_n,false_n,survival_true,survival_false,rate_diff
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,DEV,392,265,0.7525510204081632,0.7735849056603774,-0.02103388525221417
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,REF,247,156,0.7530364372469636,0.7884615384615384,-0.03542510121457487
TOUCH_CLOSE,TOUCH_BULLISH,DEV,86,571,0.7093023255813954,0.7688266199649737,-0.05952429438357831
TOUCH_CLOSE,TOUCH_BULLISH,REF,54,349,0.7962962962962963,0.7621776504297995,0.03411864586649682
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,DEV,31,626,0.8387096774193549,0.7571884984025559,0.081521179016799
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,REF,20,383,0.95,0.7571801566579635,0.1928198433420365
PLUS5_CLOSE,CLOSE5_ABOVE_ANCHOR,DEV,323,279,0.7616099071207431,0.7132616487455197,0.048348258375223385
PLUS5_CLOSE,CLOSE5_ABOVE_ANCHOR,REF,199,167,0.8542713567839196,0.6107784431137725,0.24349291367014714
PLUS5_CLOSE,CLOSE5_ABOVE_ZONE,DEV,351,251,0.7492877492877493,0.7250996015936255,0.024188147694123807
PLUS5_CLOSE,CLOSE5_ABOVE_ZONE,REF,220,146,0.7909090909090909,0.6712328767123288,0.11967621419676211
PLUS5_CLOSE,CLOSE5_BREAK_TOUCH_HIGH,DEV,47,555,0.7659574468085106,0.736936936936937,0.029020509871573674
PLUS5_CLOSE,CLOSE5_BREAK_TOUCH_HIGH,REF,31,335,0.967741935483871,0.7223880597014926,0.24535387578237844
PLUS5_CLOSE,CLOSE5_BULLISH,DEV,320,282,0.765625,0.7092198581560284,0.05640514184397161
PLUS5_CLOSE,CLOSE5_BULLISH,REF,199,167,0.8542713567839196,0.6107784431137725,0.24349291367014714
PLUS5_CLOSE,LOW5_HOLDS_TOUCH_LOW,DEV,396,206,0.7424242424242424,0.7330097087378641,0.009414533686378346
PLUS5_CLOSE,LOW5_HOLDS_TOUCH_LOW,REF,234,132,0.8034188034188035,0.6363636363636364,0.1670551670551671
PLUS5_CLOSE,RETEST5_ZONE_RECLAIM,DEV,145,457,0.7862068965517242,0.7242888402625821,0.06191805628914204
PLUS5_CLOSE,RETEST5_ZONE_RECLAIM,REF,85,281,0.7529411764705882,0.7402135231316725,0.012727653338915679
PLUS15_CLOSE,CLOSE15_ABOVE_ANCHOR,DEV,286,246,0.8216783216783217,0.6341463414634146,0.18753198021490702
PLUS15_CLOSE,CLOSE15_ABOVE_ANCHOR,REF,160,147,0.85625,0.6190476190476191,0.2372023809523809
PLUS15_CLOSE,CLOSE15_ABOVE_ZONE,DEV,309,223,0.7831715210355987,0.6681614349775785,0.11501008605802021
PLUS15_CLOSE,CLOSE15_ABOVE_ZONE,REF,191,116,0.8272251308900523,0.603448275862069,0.2237768550279834
PLUS15_CLOSE,CLOSE15_BREAK_TOUCH_HIGH,DEV,58,474,0.8793103448275862,0.7172995780590717,0.16201076676851445
PLUS15_CLOSE,CLOSE15_BREAK_TOUCH_HIGH,REF,43,264,0.9069767441860465,0.7159090909090909,0.19106765327695552
PLUS15_CLOSE,ALL3_CLOSES_ABOVE_ANCHOR,DEV,158,374,0.8481012658227848,0.6871657754010695,0.1609354904217153
PLUS15_CLOSE,ALL3_CLOSES_ABOVE_ANCHOR,REF,101,206,0.900990099009901,0.6650485436893204,0.2359415553205806
PLUS15_CLOSE,ALL3_CLOSES_ABOVE_ZONE,DEV,240,292,0.7666666666666667,0.708904109589041,0.057762557077625676
PLUS15_CLOSE,ALL3_CLOSES_ABOVE_ZONE,REF,146,161,0.8287671232876712,0.6645962732919255,0.16417084999574572
PLUS15_CLOSE,RECLAIM_ZONE_THEN_HOLD,DEV,280,252,0.7857142857142857,0.6785714285714286,0.1071428571428571
PLUS15_CLOSE,RECLAIM_ZONE_THEN_HOLD,REF,166,141,0.8373493975903614,0.6312056737588653,0.20614372383149615
PLUS15_CLOSE,BREAK_TOUCH_HIGH_WITHIN15,DEV,81,451,0.7901234567901234,0.7250554323725056,0.06506802441761783
PLUS15_CLOSE,BREAK_TOUCH_HIGH_WITHIN15,REF,55,252,0.9090909090909091,0.7063492063492064,0.20274170274170267
