decision,feature,feature_type,year,state,n,survive,survival_rate
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2022,False,204,147,0.7205882352941176
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2022,True,5,3,0.6
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2023,False,194,155,0.7989690721649485
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2023,True,16,13,0.8125
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2024,False,228,172,0.7543859649122807
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2024,True,10,10,1.0
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2025,False,241,184,0.7634854771784232
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2025,True,13,12,0.9230769230769231
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2026,False,142,106,0.7464788732394366
TOUCH_CLOSE,TOUCH_SWEEP_FLOOR_RECLAIM,BINARY,2026,True,7,7,1.0
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2022,Q1,54,42,0.7777777777777778
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2022,Q2,48,35,0.7291666666666666
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2022,Q3,53,35,0.660377358490566
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2022,Q4,54,38,0.7037037037037037
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2023,Q1,46,34,0.7391304347826086
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2023,Q2,56,44,0.7857142857142857
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2023,Q3,51,38,0.7450980392156863
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2023,Q4,57,52,0.9122807017543859
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2024,Q1,65,47,0.7230769230769231
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2024,Q2,60,44,0.7333333333333333
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2024,Q3,60,48,0.8
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2024,Q4,53,43,0.8113207547169812
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2025,Q1,86,64,0.7441860465116279
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2025,Q2,51,41,0.803921568627451
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2025,Q3,70,59,0.8428571428571429
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2025,Q4,47,32,0.6808510638297872
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2026,Q1,44,31,0.7045454545454546
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2026,Q2,21,16,0.7619047619047619
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2026,Q3,46,37,0.8043478260869565
TOUCH_CLOSE,touch_upper_wick_event_r,NUMERIC,2026,Q4,38,29,0.7631578947368421
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2022,Q1,56,40,0.7142857142857143
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2022,Q2,55,40,0.7272727272727273
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2022,Q3,48,33,0.6875
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2022,Q4,50,37,0.74
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2023,Q1,54,44,0.8148148148148148
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2023,Q2,44,35,0.7954545454545454
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2023,Q3,50,38,0.76
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2023,Q4,62,51,0.8225806451612904
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2024,Q1,55,37,0.6727272727272727
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2024,Q2,65,44,0.676923076923077
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2024,Q3,66,54,0.8181818181818182
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2024,Q4,52,47,0.9038461538461539
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2025,Q1,77,61,0.7922077922077922
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2025,Q2,74,54,0.7297297297297297
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2025,Q3,53,45,0.8490566037735849
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2025,Q4,50,36,0.72
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2026,Q1,39,26,0.6666666666666666
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2026,Q2,29,24,0.8275862068965517
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2026,Q3,43,34,0.7906976744186046
TOUCH_CLOSE,touch_penetration_zone_r,NUMERIC,2026,Q4,38,29,0.7631578947368421
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2022,False,90,63,0.7
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2022,True,119,87,0.7310924369747899
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2023,False,78,63,0.8076923076923077
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2023,True,132,105,0.7954545454545454
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2024,False,97,79,0.8144329896907216
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2024,True,141,103,0.7304964539007093
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2025,False,97,76,0.7835051546391752
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2025,True,157,120,0.7643312101910829
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2026,False,59,47,0.7966101694915254
TOUCH_CLOSE,TOUCH_CLOSE_ABOVE_ZONE,BINARY,2026,True,90,66,0.7333333333333333
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q1,58,37,0.6379310344827587
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q2,48,32,0.6666666666666666
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q3,48,28,0.5833333333333334
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q4,43,41,0.9534883720930233
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q1,42,30,0.7142857142857143
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q2,44,32,0.7272727272727273
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q3,55,45,0.8181818181818182
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q4,48,40,0.8333333333333334
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q1,51,36,0.7058823529411765
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q2,58,42,0.7241379310344828
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q3,47,37,0.7872340425531915
