year,detector,role,eligible,eligible_survive,eligible_consumed,base_survival_rate,pass_n,pass_rate,pass_survive,pass_consumed,pass_survival_precision,pass_precision_wilson_lo,pass_precision_wilson_hi,uplift_pp,relative_lift,survivor_retention,consumed_rejection,false_pass_consumed_rate,rejected_survive,rejected_consumed,too_fast_survive,whole_parent_survive,whole_parent_survivor_capture
2022,SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,173,120,53,0.6936416184971098,88,0.5086705202312138,68,20,0.7727272727272727,0.6748572348431645,0.8477825469759852,7.90856542301629,1.1140151515151515,0.5666666666666667,0.6226415094339622,0.37735849056603776,52,33,30,150,0.4533333333333333
2022,B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,173,120,53,0.6936416184971098,39,0.2254335260115607,32,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,12.687120201571068,1.182905982905983,0.26666666666666666,0.8679245283018868,0.1320754716981132,88,46,30,150,0.21333333333333335
2022,B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,173,120,53,0.6936416184971098,8,0.046242774566473986,7,1,0.875,0.5291118177871464,0.9775825085499433,18.13583815028902,1.2614583333333333,0.058333333333333334,0.9811320754716981,0.018867924528301886,113,52,30,150,0.04666666666666667
2023,SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,165,129,36,0.7818181818181819,98,0.593939393939394,83,15,0.8469387755102041,0.7627113247514552,0.9049931718988073,6.512059369202228,1.0832937826293307,0.6434108527131783,0.5833333333333334,0.4166666666666667,46,21,39,168,0.49404761904761907
2023,B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,165,129,36,0.7818181818181819,60,0.36363636363636365,52,8,0.8666666666666667,0.7583484032350039,0.9308589051941303,8.484848484848484,1.1085271317829457,0.40310077519379844,0.7777777777777778,0.2222222222222222,77,28,39,168,0.30952380952380953
2023,B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,165,129,36,0.7818181818181819,22,0.13333333333333333,19,3,0.8636363636363636,0.6666501283342828,0.9525099628594474,8.18181818181818,1.1046511627906976,0.14728682170542637,0.9166666666666666,0.08333333333333333,110,33,39,168,0.1130952380952381
2024,SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,194,142,52,0.7319587628865979,100,0.5154639175257731,84,16,0.84,0.7557973061072976,0.8990471151119521,10.804123711340207,1.1476056338028169,0.5915492957746479,0.6923076923076923,0.3076923076923077,58,36,40,182,0.46153846153846156
2024,B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,194,142,52,0.7319587628865979,59,0.30412371134020616,50,9,0.847457627118644,0.7348201621622644,0.9176153600140352,11.549886423204613,1.157794222964908,0.352112676056338,0.8269230769230769,0.17307692307692307,92,43,40,182,0.27472527472527475
2024,B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,194,142,52,0.7319587628865979,28,0.14432989690721648,25,3,0.8928571428571429,0.7280414845132785,0.9628816331707,16.089837997054502,1.2198189134808854,0.176056338028169,0.9423076923076923,0.057692307692307696,117,49,40,182,0.13736263736263737
2025,SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,200,153,47,0.765,106,0.53,95,11,0.8962264150943396,0.8236781566158943,0.9410604120617315,13.122641509433963,1.1715377975089407,0.6209150326797386,0.7659574468085106,0.23404255319148937,58,36,43,196,0.4846938775510204
2025,B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,200,153,47,0.765,61,0.305,57,4,0.9344262295081968,0.8431719832010424,0.9742062955104335,16.942622950819676,1.2214721954355512,0.37254901960784315,0.9148936170212766,0.0851063829787234,96,43,43,196,0.29081632653061223
2025,B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,200,153,47,0.765,32,0.16,29,3,0.90625,0.7578184527161212,0.9675984487016337,14.124999999999998,1.184640522875817,0.1895424836601307,0.9361702127659575,0.06382978723404255,124,44,43,196,0.14795918367346939
2026,SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,107,75,32,0.7009345794392523,54,0.5046728971962616,42,12,0.7777777777777778,0.6506132834036111,0.8680458343236688,7.684319833852548,1.1096296296296297,0.56,0.625,0.375,33,20,38,113,0.37168141592920356
2026,B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,107,75,32,0.7009345794392523,40,0.37383177570093457,34,6,0.85,0.709276756335103,0.9293881228267964,14.906542056074768,1.2126666666666668,0.4533333333333333,0.8125,0.1875,41,26,38,113,0.3008849557522124
2026,B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,107,75,32,0.7009345794392523,11,0.102803738317757,10,1,0.9090909090909091,0.6226415635484043,0.9837678271141151,20.815632965165676,1.2969696969696969,0.13333333333333333,0.96875,0.03125,65,31,38,113,0.08849557522123894
