family,decision,label,feature,period,band,n,success,success_rate
FORMATION,BOS_CLOSE,GE1R,base_candles,DEV,Q1,164,123,0.75
FORMATION,BOS_CLOSE,GE1R,base_candles,DEV,Q2,105,77,0.7333333333333333
FORMATION,BOS_CLOSE,GE1R,base_candles,DEV,Q3,231,161,0.696969696969697
FORMATION,BOS_CLOSE,GE1R,base_candles,REF,Q1,99,72,0.7272727272727273
FORMATION,BOS_CLOSE,GE1R,base_candles,REF,Q2,70,56,0.8
FORMATION,BOS_CLOSE,GE1R,base_candles,REF,Q3,140,103,0.7357142857142858
FORMATION,BOS_CLOSE,GE1R,base_width_pct,DEV,Q1,125,98,0.784
FORMATION,BOS_CLOSE,GE1R,base_width_pct,DEV,Q2,125,91,0.728
FORMATION,BOS_CLOSE,GE1R,base_width_pct,DEV,Q3,125,92,0.736
FORMATION,BOS_CLOSE,GE1R,base_width_pct,DEV,Q4,125,80,0.64
FORMATION,BOS_CLOSE,GE1R,base_width_pct,REF,Q1,110,90,0.8181818181818182
FORMATION,BOS_CLOSE,GE1R,base_width_pct,REF,Q2,84,59,0.7023809523809523
FORMATION,BOS_CLOSE,GE1R,base_width_pct,REF,Q3,60,46,0.7666666666666667
FORMATION,BOS_CLOSE,GE1R,base_width_pct,REF,Q4,55,36,0.6545454545454545
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,DEV,Q1,125,100,0.8
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,DEV,Q2,125,85,0.68
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,DEV,Q3,126,86,0.6825396825396826
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,DEV,Q4,124,90,0.7258064516129032
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,REF,Q1,81,62,0.7654320987654321
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,REF,Q2,72,54,0.75
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,REF,Q3,81,61,0.7530864197530864
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,REF,Q4,75,54,0.72
FORMATION,BOS_CLOSE,GE1R,departure_bars,DEV,Q1,218,160,0.7339449541284404
FORMATION,BOS_CLOSE,GE1R,departure_bars,DEV,Q2,113,77,0.6814159292035398
FORMATION,BOS_CLOSE,GE1R,departure_bars,DEV,Q3,73,59,0.8082191780821918
FORMATION,BOS_CLOSE,GE1R,departure_bars,DEV,Q4,96,65,0.6770833333333334
FORMATION,BOS_CLOSE,GE1R,departure_bars,REF,Q1,141,105,0.7446808510638298
FORMATION,BOS_CLOSE,GE1R,departure_bars,REF,Q2,63,54,0.8571428571428571
FORMATION,BOS_CLOSE,GE1R,departure_bars,REF,Q3,50,33,0.66
FORMATION,BOS_CLOSE,GE1R,departure_bars,REF,Q4,55,39,0.7090909090909091
FORMATION,BOS_CLOSE,GE1R,departure_net_progress_zone_r,DEV,Q1,125,76,0.608
