family,feature,feature_type,year,state,n,success,rate
FORMATION,base_width_pct,NUMERIC,2022,Q1,24,19,0.7916666666666666
FORMATION,base_width_pct,NUMERIC,2022,Q2,27,16,0.5925925925925926
FORMATION,base_width_pct,NUMERIC,2022,Q3,50,43,0.86
FORMATION,base_width_pct,NUMERIC,2022,Q4,49,34,0.6938775510204082
FORMATION,base_width_pct,NUMERIC,2023,Q1,61,46,0.7540983606557377
FORMATION,base_width_pct,NUMERIC,2023,Q2,54,42,0.7777777777777778
FORMATION,base_width_pct,NUMERIC,2023,Q3,24,17,0.7083333333333334
FORMATION,base_width_pct,NUMERIC,2023,Q4,29,16,0.5517241379310345
FORMATION,base_width_pct,NUMERIC,2024,Q1,40,33,0.825
FORMATION,base_width_pct,NUMERIC,2024,Q2,44,33,0.75
FORMATION,base_width_pct,NUMERIC,2024,Q3,51,32,0.6274509803921569
FORMATION,base_width_pct,NUMERIC,2024,Q4,47,30,0.6382978723404256
FORMATION,base_width_pct,NUMERIC,2025,Q1,50,43,0.86
FORMATION,base_width_pct,NUMERIC,2025,Q2,60,43,0.7166666666666667
FORMATION,base_width_pct,NUMERIC,2025,Q3,43,33,0.7674418604651163
FORMATION,base_width_pct,NUMERIC,2025,Q4,43,29,0.6744186046511628
FORMATION,base_width_pct,NUMERIC,2026,Q1,60,47,0.7833333333333333
FORMATION,base_width_pct,NUMERIC,2026,Q2,24,16,0.6666666666666666
FORMATION,base_width_pct,NUMERIC,2026,Q3,17,13,0.7647058823529411
FORMATION,base_width_pct,NUMERIC,2026,Q4,12,7,0.5833333333333334
FORMATION,departure_efficiency,NUMERIC,2022,Q1,34,22,0.6470588235294118
FORMATION,departure_efficiency,NUMERIC,2022,Q2,45,32,0.7111111111111111
FORMATION,departure_efficiency,NUMERIC,2022,Q3,71,58,0.8169014084507042
FORMATION,departure_efficiency,NUMERIC,2023,Q1,46,31,0.6739130434782609
FORMATION,departure_efficiency,NUMERIC,2023,Q2,36,24,0.6666666666666666
FORMATION,departure_efficiency,NUMERIC,2023,Q3,86,66,0.7674418604651163
FORMATION,departure_efficiency,NUMERIC,2024,Q1,45,33,0.7333333333333333
FORMATION,departure_efficiency,NUMERIC,2024,Q2,44,30,0.6818181818181818
FORMATION,departure_efficiency,NUMERIC,2024,Q3,93,65,0.6989247311827957
FORMATION,departure_efficiency,NUMERIC,2025,Q1,47,36,0.7659574468085106
FORMATION,departure_efficiency,NUMERIC,2025,Q2,38,29,0.7631578947368421
FORMATION,departure_efficiency,NUMERIC,2025,Q3,111,83,0.7477477477477478
FORMATION,departure_efficiency,NUMERIC,2026,Q1,28,18,0.6428571428571429
FORMATION,departure_efficiency,NUMERIC,2026,Q2,29,21,0.7241379310344828
FORMATION,departure_efficiency,NUMERIC,2026,Q3,56,44,0.7857142857142857
PLUS15_REACTION,p15_range_r,NUMERIC,2022,Q1,26,21,0.8076923076923077
PLUS15_REACTION,p15_range_r,NUMERIC,2022,Q2,40,25,0.625
PLUS15_REACTION,p15_range_r,NUMERIC,2022,Q3,42,34,0.8095238095238095
PLUS15_REACTION,p15_range_r,NUMERIC,2022,Q4,34,24,0.7058823529411765
PLUS15_REACTION,p15_range_r,NUMERIC,2023,Q1,47,24,0.5106382978723404
PLUS15_REACTION,p15_range_r,NUMERIC,2023,Q2,36,27,0.75
PLUS15_REACTION,p15_range_r,NUMERIC,2023,Q3,36,29,0.8055555555555556
PLUS15_REACTION,p15_range_r,NUMERIC,2023,Q4,35,27,0.7714285714285715
PLUS15_REACTION,p15_range_r,NUMERIC,2024,Q1,44,29,0.6590909090909091
PLUS15_REACTION,p15_range_r,NUMERIC,2024,Q2,40,26,0.65
PLUS15_REACTION,p15_range_r,NUMERIC,2024,Q3,38,25,0.6578947368421053
PLUS15_REACTION,p15_range_r,NUMERIC,2024,Q4,47,35,0.7446808510638298
PLUS15_REACTION,p15_range_r,NUMERIC,2025,Q1,49,34,0.6938775510204082
PLUS15_REACTION,p15_range_r,NUMERIC,2025,Q2,59,43,0.7288135593220338
PLUS15_REACTION,p15_range_r,NUMERIC,2025,Q3,37,29,0.7837837837837838
PLUS15_REACTION,p15_range_r,NUMERIC,2025,Q4,34,25,0.7352941176470589
PLUS15_REACTION,p15_range_r,NUMERIC,2026,Q1,30,18,0.6
