period,candidate,signals,available,availability_rate,median_level_distance_event_r,median_risk_compression,resolved,wins,losses,ambiguous,unresolved,wr,median_win_r,mean_win_r,median_loss_r,mean_loss_r,loss_r_q10,expectancy_per_signal,total_r,pf,max_dd_r,max_loss_streak,ge1_available,ge1_retained_win,ge1_false_stop,ge1_false_stop_rate,median_stop_to_later_target_min,median_false_stop_overshoot_r,survive_available,survive_stopped,survive_stop_rate,consumed_available,consumed_stopped,consumed_catch_rate,consumed_won_target_first,local_only_available,local_only_stopped,local_only_stop_rate
DEV,PROTECTED_LOW_TOUCH,286,286,1.0,1.1210456210456283,0.0,264,149,115,0,22,0.5643939393939394,0.7609907120743092,0.7372404204344508,-1.0,-1.0,-1.0,-0.018011109633800086,-5.1511773552668245,0.9552071534324624,16.601166579917685,5,163,149,14,0.08588957055214724,690.0,0.1634063700022503,235,64,0.2723404255319149,51,51,1.0,0,72,50,0.6944444444444444
DEV,PROTECTED_LOW_CLOSE5,286,286,1.0,1.1210456210456283,0.0,258,156,102,0,28,0.6046511627906976,0.7619182809383122,0.7391766151440539,-1.1629556325251516,-1.2603288428385242,-1.475366556739182,-0.0463006643603394,-13.241990007057069,0.8969924141787103,25.335891235622583,5,163,156,7,0.04294478527607362,565.0,0.3333333333333333,235,51,0.2170212765957447,51,51,1.0,0,72,44,0.6111111111111112
DEV,PROTECTED_LOW_CLOSE15,286,286,1.0,1.1210456210456283,0.0,257,163,94,0,29,0.6342412451361867,0.7628458498023151,0.7414982686185666,-1.1838603606072173,-1.3306223232927823,-1.68318965517243,-0.014735246869563585,-4.214280604695185,0.9663069139863592,25.38834890887889,5,163,163,0,0.0,,,235,43,0.1829787234042553,51,51,1.0,0,72,43,0.5972222222222222
DEV,REACTION_LOW_TOUCH,286,286,1.0,0.23610492819573792,0.7880336717242273,286,67,219,0,0,0.23426573426573427,2.1126760563380445,2.9862624258597563,-1.0,-1.0,-1.0,-0.06615530583005716,-18.920417467396348,0.9136053996922542,39.37502444928626,19,163,67,96,0.588957055214724,337.5,1.7524515966808853,235,168,0.7148936170212766,51,51,1.0,0,72,72,1.0
DEV,REACTION_LOW_CLOSE5,286,286,1.0,0.23610492819573792,0.7880336717242273,285,79,206,0,1,0.2771929824561403,2.1359223300971015,2.949683308560044,-1.2952599929253863,-1.4759295521933384,-2.091985723556138,-0.24830946285169306,-71.01650637558421,0.7664249477901809,84.32174361625155,19,163,79,84,0.5153374233128835,382.5,2.0163850486431283,235,155,0.6595744680851063,51,51,1.0,0,72,71,0.9861111111111112
DEV,REACTION_LOW_CLOSE15,286,286,1.0,0.23610492819573792,0.7880336717242273,283,89,194,0,3,0.31448763250883394,2.1418439716312814,3.4349970375140337,-1.488202511489888,-1.8393155180837677,-2.86647727272725,-0.17871494464860818,-51.112474169501944,0.8567584739496203,82.30126532212334,14,163,89,74,0.4539877300613497,415.0,2.267945287632085,235,143,0.6085106382978723,51,51,1.0,0,72,69,0.9583333333333334
REF,PROTECTED_LOW_TOUCH,160,160,1.0,1.120901571546736,0.0,146,87,59,0,14,0.5958904109589042,0.7836593785960763,0.762451101289452,-1.0,-1.0,-1.0,0.04583278632613949,7.3332458121823185,1.1242923019013953,7.349134688308306,4,99,87,12,0.12121212121212122,275.0,0.24034017466624324,137,36,0.26277372262773724,23,23,1.0,0,38,24,0.631578947368421
REF,PROTECTED_LOW_CLOSE5,160,160,1.0,1.120901571546736,0.0,145,92,53,0,15,0.6344827586206897,0.7859530443078695,0.7690418630512369,-1.0636704119850178,-1.1366475425790126,-1.2892947501581293,0.06568457277516324,10.509531644026119,1.17445429868028,7.077011401866237,4,99,92,7,0.0707070707070707,290.0,0.21896955503512736,137,30,0.21897810218978103,23,23,1.0,0,38,23,0.6052631578947368
REF,PROTECTED_LOW_CLOSE15,160,160,1.0,1.120901571546736,0.0,143,99,44,0,17,0.6923076923076923,0.7870090634441137,0.7697093673557804,-1.1536528962532102,-1.2420279987653753,-1.4287889293366256,0.13469997139091092,21.551995422545748,1.3943695941412184,8.233218295573959,3,99,99,0,0.0,,,137,21,0.15328467153284672,23,23,1.0,0,38,21,0.5526315789473685
REF,REACTION_LOW_TOUCH,160,160,1.0,0.22047381764141033,0.8055336492796963,160,42,118,0,0,0.2625,3.3378410022246072,4.068429356037614,-1.0,-1.0,-1.0,0.33046270595987354,52.874032953579764,1.448085025030337,18.59829059829046,14,99,42,57,0.5757575757575758,370.0,1.9491525423727376,137,95,0.6934306569343066,23,23,1.0,0,38,38,1.0
REF,REACTION_LOW_CLOSE5,160,160,1.0,0.22047381764141033,0.8055336492796963,158,46,112,0,2,0.2911392405063291,3.4388226152932972,4.140423361616385,-1.2612910189982462,-1.3960040679821386,-1.8331081081081035,0.2131688688772137,34.107019020354194,1.2181418826229187,25.162526911200143,11,99,46,53,0.5353535353535354,360.0,2.0,137,89,0.6496350364963503,23,23,1.0,0,38,36,0.9473684210526315
REF,REACTION_LOW_CLOSE15,160,160,1.0,0.22047381764141033,0.8055336492796963,158,57,101,0,2,0.36075949367088606,3.475935828877058,3.9639283892426405,-1.426229508196697,-1.6751829770339253,-2.452674897119292,0.35469023441502523,56.75043750640403,1.3354174007070319,27.7290010066113,9,99,57,42,0.42424242424242425,365.0,2.9465852130329258,137,78,0.5693430656934306,23,23,1.0,0,38,36,0.9473684210526315
