period,side,character,direction,tf,latency_min,n,n60,median60,hit60,n180,median180,hit180,median_mfe,median_mae,favdom
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,5,120,114,-0.003960970649247601,0.47368421052631576,109,0.10502429161820477,0.6146788990825688,0.5337259916549231,0.35628285293785367,0.5833333333333334
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF15,15,88,83,0.014786785209525373,0.5301204819277109,79,0.0936469200784638,0.5822784810126582,0.4873493630854998,0.39165583934643644,0.5795454545454546
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF30,30,70,64,-0.03506519108905613,0.359375,64,0.045724377521018544,0.546875,0.49250591339960453,0.45179271383391484,0.4857142857142857
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF60,60,50,47,-0.008409006050422595,0.46808510638297873,46,0.06014124317434241,0.5869565217391305,0.42815695529907255,0.4116105959660723,0.48
DEV,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF05,5,113,110,0.055268710890604096,0.5636363636363636,104,0.02754929355188806,0.5480769230769231,0.5566357512533219,0.37184335728843276,0.5486725663716814
DEV,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF15,15,84,83,0.0724232434472803,0.5903614457831325,81,-0.004984645823876375,0.48148148148148145,0.594798308434656,0.4152929469519444,0.5357142857142857
DEV,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF30,30,80,80,-0.010406065732168934,0.4625,77,0.023754937118981048,0.5324675324675324,0.5145212154407106,0.5523960204659063,0.475
DEV,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF60,60,100,93,-0.038871715285602,0.45161290322580644,90,-0.025587583169879448,0.4777777777777778,0.4644292494087736,0.4265581116164341,0.48
DEV,LOWER,C1_CLEAN_REJECTION,LONG,TF05,5,132,127,0.039402419573335415,0.5433070866141733,118,0.026177975263980656,0.559322033898305,0.41463993163596236,0.5033906595878008,0.48484848484848486
DEV,LOWER,C1_CLEAN_REJECTION,LONG,TF15,15,89,87,0.02977612190364118,0.5632183908045977,81,0.02786557041539548,0.5432098765432098,0.3822777086023615,0.34882647368985464,0.5280898876404494
DEV,LOWER,C1_CLEAN_REJECTION,LONG,TF30,30,71,69,0.05062240812713091,0.6086956521739131,64,0.025463828332095248,0.515625,0.3813987278437364,0.366124145480743,0.5352112676056338
DEV,LOWER,C1_CLEAN_REJECTION,LONG,TF60,60,52,51,0.040980606205443505,0.5686274509803921,46,0.034448831577281624,0.6086956521739131,0.3848581300762906,0.39962902531126676,0.46153846153846156
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF05,5,0,0,,,0,,,,,
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF15,15,49,48,0.03651834276802055,0.5625,42,0.1518383126618741,0.6666666666666666,0.446755320939688,0.4331222440778835,0.4489795918367347
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF30,30,64,63,0.019284410096269716,0.5396825396825397,56,0.06776484144671055,0.6071428571428571,0.30261445941812404,0.3667970341428609,0.4375
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,60,83,79,0.033755746821126545,0.5569620253164557,76,0.1215300823794129,0.6447368421052632,0.3899566686435478,0.3437655712813894,0.5421686746987951
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,5,58,55,0.04430098107621514,0.5454545454545454,53,0.0745618443808222,0.5471698113207547,0.4298253273558723,0.481518837427361,0.5172413793103449
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF15,15,33,33,0.013715452120662506,0.5757575757575758,32,0.1502631561144101,0.78125,0.5406179497801377,0.2645272833465298,0.6363636363636364
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF30,30,29,29,0.013299926426011693,0.5862068965517241,29,0.10987693396513686,0.6551724137931034,0.5044515779704186,0.3879807472083694,0.5517241379310345
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF60,60,25,25,0.05799894997641285,0.6,25,0.08674106401686224,0.68,0.48120585636510055,0.44504168955419904,0.48
REF,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF05,5,68,67,0.008551602054297969,0.5074626865671642,62,-0.1087505429177511,0.3870967741935484,0.4066815839794985,0.48806537264614425,0.5
REF,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF15,15,49,46,0.012607747052733504,0.5217391304347826,43,-0.07905896826475815,0.3953488372093023,0.45245749050963524,0.566940601197798,0.4897959183673469
REF,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF30,30,56,52,-0.030988219921193043,0.46153846153846156,47,-0.026197004005566734,0.48936170212765956,0.35061042081130306,0.3791225500023868,0.4642857142857143
REF,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF60,60,52,50,-0.008588513923768155,0.48,46,-0.05643662889783915,0.45652173913043476,0.42259321270446554,0.46181422023813523,0.5192307692307693
REF,LOWER,C1_CLEAN_REJECTION,LONG,TF05,5,62,59,0.03422027199770237,0.5423728813559322,58,0.0944175777237177,0.6379310344827587,0.5387365215236872,0.3843940136609737,0.5483870967741935
REF,LOWER,C1_CLEAN_REJECTION,LONG,TF15,15,36,33,0.03732396979312439,0.6060606060606061,32,0.011075765288024664,0.5,0.5918228780945741,0.39434387035486246,0.4722222222222222
REF,LOWER,C1_CLEAN_REJECTION,LONG,TF30,30,25,23,0.03288266125053465,0.6086956521739131,23,-0.03495515619665719,0.43478260869565216,0.5450258240429398,0.3066313386860715,0.52
REF,LOWER,C1_CLEAN_REJECTION,LONG,TF60,60,19,19,-0.022941580744491576,0.42105263157894735,19,-0.06603471578783647,0.42105263157894735,0.41348226208284417,0.44237867044695167,0.47368421052631576
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF05,5,0,0,,,0,,,,,
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF15,15,27,27,0.048488366321016343,0.5555555555555556,27,0.11449389548990484,0.6296296296296297,0.5960256377656197,0.40068520764426574,0.5925925925925926
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF30,30,40,40,0.009193340440955707,0.525,40,0.09497742215720056,0.6,0.5317379054865319,0.42929099008860605,0.55
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,60,44,43,-0.02534940416147495,0.46511627906976744,42,0.028980597245939772,0.5714285714285714,0.5779363717951188,0.3646515056866899,0.5454545454545454
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,5,178,169,-0.0003436691607120144,0.4970414201183432,162,0.0846771805573866,0.5925925925925926,0.4922059808188015,0.3925714514527929,0.5617977528089888
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF15,15,121,116,0.014251118665093938,0.5431034482758621,111,0.09917919523099067,0.6396396396396397,0.5211959305285622,0.3802066378427899,0.5950413223140496
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF30,30,99,93,-0.015759860635972973,0.43010752688172044,93,0.05294087123460863,0.5806451612903226,0.49448240717319636,0.44021705051357773,0.5050505050505051
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF60,60,75,72,0.013334883986178485,0.5138888888888888,71,0.07415768985347759,0.6197183098591549,0.4586687524890429,0.4179208050314669,0.48
ALL,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF05,5,181,177,0.03289656386803222,0.5423728813559322,166,-0.010888344196803814,0.4879518072289157,0.44347938838620204,0.4177020076748947,0.5303867403314917
ALL,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF15,15,133,129,0.034889201972232234,0.5658914728682171,124,-0.05796989046795335,0.45161290322580644,0.5468567482895892,0.4450102910615769,0.518796992481203
ALL,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF30,30,136,132,-0.01972342116517769,0.4621212121212121,124,0.00717287693662353,0.5161290322580645,0.42276265994462103,0.45774330631187826,0.47058823529411764
ALL,UPPER,C3_ACCEPTANCE_HOLD,LONG,TF60,60,152,143,-0.019538267677589732,0.46153846153846156,136,-0.03100899005971155,0.47058823529411764,0.45922631770373745,0.437604511208631,0.4934210526315789
ALL,LOWER,C1_CLEAN_REJECTION,LONG,TF05,5,194,186,0.03877054599720324,0.543010752688172,176,0.05225573314355547,0.5852272727272727,0.4492435451866618,0.4448297274075392,0.5051546391752577
ALL,LOWER,C1_CLEAN_REJECTION,LONG,TF15,15,125,120,0.03256617461775118,0.575,113,0.02786557041539548,0.5309734513274337,0.45748437662996566,0.3890430670471209,0.512
ALL,LOWER,C1_CLEAN_REJECTION,LONG,TF30,30,96,92,0.04343269319100129,0.6086956521739131,87,-0.00440937036309618,0.4942528735632184,0.4628135093311433,0.35907235248911934,0.53125
ALL,LOWER,C1_CLEAN_REJECTION,LONG,TF60,60,71,70,0.011510914081362528,0.5285714285714286,65,0.026731189078642942,0.5538461538461539,0.4115474993719857,0.406198150046712,0.4647887323943662
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF05,5,0,0,,,0,,,,,
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF15,15,76,75,0.04827485181453776,0.56,69,0.1504039110395466,0.6521739130434783,0.46777455266907164,0.43112117301730635,0.5
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF30,30,104,103,0.01820803761540111,0.5339805825242718,96,0.07166551212865695,0.6041666666666666,0.4044110766055016,0.37435331041049197,0.4807692307692308
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,60,127,122,0.027691248804687863,0.5245901639344263,118,0.09511661335031162,0.6186440677966102,0.4348469160641214,0.3444835523020708,0.5433070866141733
