horizon_min,feature,kind,dev_mechanism_candidate,ref_directionally_consistent,dev_strength,ref_strength
15,close_progress,CONT,False,False,0.5416666666666666,0.5
15,mfe_from_alarm,CONT,True,False,0.7083333333333334,0.375
15,recovery_ratio,CONT,False,False,0.625,0.5
15,up_slope_3,CONT,False,False,0.4583333333333333,0.4375
15,mae_from_alarm,CONT,False,False,0.6666666666666666,0.1875
15,close_above_alarm,BINARY,False,False,0.125,0.0
15,touch_reclaim_entry,BINARY,False,False,0.16666666666666666,0.5
15,close_reclaim_entry,BINARY,False,False,0.0,0.0
15,touch_reclaim_wall,BINARY,False,False,0.125,0.375
15,close_reclaim_wall,BINARY,False,False,-0.041666666666666685,0.875
15,close_break_pre15_high,BINARY,False,False,0.375,-0.125
15,no_new_low_after_alarm,BINARY,True,True,0.6666666666666666,0.25
30,close_progress,CONT,False,False,0.5833333333333334,0.5625
30,mfe_from_alarm,CONT,True,False,0.7708333333333334,0.375
30,recovery_ratio,CONT,False,False,0.6875,0.5625
30,up_slope_3,CONT,False,False,0.6875,0.6875
30,mae_from_alarm,CONT,False,False,0.6458333333333334,0.375
30,close_above_alarm,BINARY,True,True,0.41666666666666663,0.125
30,touch_reclaim_entry,BINARY,False,False,0.20833333333333331,0.5
30,close_reclaim_entry,BINARY,False,False,0.04166666666666666,0.0
30,touch_reclaim_wall,BINARY,False,False,0.45833333333333337,0.375
30,close_reclaim_wall,BINARY,False,False,0.45833333333333337,0.875
30,close_break_pre15_high,BINARY,True,False,0.5416666666666666,-0.25
30,no_new_low_after_alarm,BINARY,True,True,0.5,0.375
45,close_progress,CONT,True,False,0.8125,0.5
45,mfe_from_alarm,CONT,True,False,0.7083333333333334,0.4375
45,recovery_ratio,CONT,True,False,0.7916666666666666,0.5
45,up_slope_3,CONT,True,False,0.8333333333333334,0.5
45,mae_from_alarm,CONT,False,False,0.6666666666666666,0.3125
45,close_above_alarm,BINARY,False,False,0.625,0.25
45,touch_reclaim_entry,BINARY,False,False,0.08333333333333331,0.5
45,close_reclaim_entry,BINARY,False,False,0.3333333333333333,0.0
45,touch_reclaim_wall,BINARY,False,False,0.45833333333333337,0.375
45,close_reclaim_wall,BINARY,True,True,0.5833333333333334,0.875
45,close_break_pre15_high,BINARY,False,False,0.29166666666666663,-0.25
45,no_new_low_after_alarm,BINARY,True,True,0.5,0.375
60,close_progress,CONT,True,True,0.9791666666666666,0.75
60,mfe_from_alarm,CONT,True,False,0.8541666666666666,0.5
60,recovery_ratio,CONT,True,True,0.9791666666666666,0.5625
60,up_slope_3,CONT,True,True,0.9791666666666666,0.625
60,mae_from_alarm,CONT,True,False,0.7083333333333334,0.375
60,close_above_alarm,BINARY,False,False,0.625,0.25
60,touch_reclaim_entry,BINARY,True,True,0.5833333333333334,0.5
60,close_reclaim_entry,BINARY,True,False,0.6666666666666666,0.0
60,touch_reclaim_wall,BINARY,False,False,0.45833333333333337,0.375
60,close_reclaim_wall,BINARY,True,True,0.5833333333333334,0.375
60,close_break_pre15_high,BINARY,True,False,0.5416666666666666,-0.25
60,no_new_low_after_alarm,BINARY,True,False,0.5,-0.125
